fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g541,chr12-g542,chr12-g543,chr12-g544,chr12-g545,chr12-g546,chr12-g547,chr12-g548,chr12-g549,chr12-g550,chr12-g551,chr12-g552,chr12-g553,chr12-g554,chr12-g555,chr12-g556,chr12-g557,chr12-g558,chr12-g559,chr12-g560,chr12-g561,chr12-g562,chr12-g563,chr12-g564,chr12-g565,chr12-g566,chr12-g567,chr12-g568,chr12-g569,chr12-g570,chr12-g571,chr12-g572,chr12-g573,chr12-g574,chr12-g575,chr12-g576,chr12-g577,chr12-g578,chr12-g579,chr12-g580,chr12-g581,chr12-g582,chr12-g583,chr12-g584,chr12-g585,chr12-g586,chr12-g587,chr12-g588,chr12-g589,chr12-g590,chr12-g591,chr12-g592,chr12-g593,chr12-g594,chr12-g595,chr12-g596,chr12-g597,chr12-g598,chr12-g599,chr12-g600
1,663,1,1,,0.27383,,,1.0728,0.8578933333333333,0.99565,,0.37301,,,,-0.023717,0.042404,,,,,,,,,,,,,,,,,,,,,,,,-1.007245,,,,,,,-0.22208,,,,,,,,,0.37301999999999996,,,,,,
3,455,2,1,,0.36798333333333333,,,,,,,,0.5807133333333333,,,,,,,,,,,,,,,,,,,,,,,-0.61251,-0.6988800000000001,,,-0.4013755,,-1.0108,,0.47195,,0.6710849999999999,,,-0.48775,-0.10387,2.3146,,,,0.22002999999999995,,,,,0.035286,,,
0,215,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57691,,,,,,,,,,,,,,,,,,,,,,,,,,
1,942,2,1,,,1.0729,,,0.99986,1.3467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49692,-0.54255,,,,,0.1602,,0.52527,,-0.99888,,,,,,,,,,,,
1,84,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4657199999999999,,,,,,,-0.34839,-0.45355,-0.35061,-0.17794,,-0.22221,-0.39046,,,,,,,,,,,,,,-0.6605300000000001,,,,,,,
0,55,2,2,,-0.31049,-0.4364866666666667,,-0.2574099999999999,-0.55819,,,,,,-0.34749,,-0.4343399999999999,,-0.46973,,,,,-0.18504,,,,,,,,,,,,,,,,-0.20273,,,,-0.033843,,,-0.17699,,,-0.39735,,-0.67561,0.012801,,-0.268675,-0.123913,-0.59036,,,-0.26787,,-0.23168,
1,142,2,3,,-0.15508,-0.0013250000000000067,-0.190275,,,-0.118645,-0.21991,-0.1167945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058752,,,,,,,,-0.094565,,,,,-0.026644,,-0.0606045,,,,-0.050107,,
2,1001,1,1,,,,,,,,,,0.80624,1.4868,,0.54268,,,,,,,,,,,,,,-0.043438,,,,,,,,,-0.013935000000000048,,,,,,,,,,,,,,,,,,,,,,,,
0,89,2,1,,,,,,,,0.39974,,,,,,,0.12596,,,,,,,,,,,,,,,,,,0.0477445,,,,,,,0.017521,,,,,0.0130765,-0.10159,,,,,-0.08381,,-0.066033,,,0.1384099999999999,,0.0424089999999999,,
1,144,1,2,-0.14876,,0.14735,0.14735,-0.11335,,,,,,,,,,,,,,,,,,,,,0.099072,0.1055099999999999,-0.084385,,,,0.21172049999999998,,,,,,,,,,,,,-0.003921,-0.1906,,,,,,,,,,,,,,
