gene,gene_ID,chrom,strand,gene_start,gene_end,name
Xkr4,NM_001011874,chr1,-,3214481,3671498,chr1-27
Rp1,NM_001195662,chr1,-,4290845,4409241,chr1-57
Sox17,NM_001289465,chr1,-,4490927,4497354,chr1-60
Mrpl15,NM_001177658,chr1,-,4773199,4785726,chr1-72
Lypla1,NM_008866,chr1,+,4807822,4846735,chr1-73
Tcea1,NM_001159751,chr1,+,4858327,4897909,chr1-75
Rgs20,NM_001177795,chr1,-,4909575,5070285,chr1-83
Atp6v1h,NM_001310442,chr1,+,5083085,5162549,chr1-84
Oprk1,NM_011011,chr1,+,5588492,5606133,chr1-104
Npbwr1,NM_010342,chr1,-,5913706,5917398,chr1-117
Rb1cc1,NM_009826,chr1,+,6214661,6276104,chr1-129
Alkal1,NM_001195732,chr1,+,6359330,6394731,chr1-135
St18,NM_001244693,chr1,+,6487230,6860940,chr1-140
Pcmtd1,NM_183028,chr1,+,7088919,7173628,chr1-164
Sntg1,NM_001290393,chr1,-,8359738,9299877,chr1-252
Rrs1,NM_021511,chr1,+,9545407,9547455,chr1-262
Adhfe1,NM_001357378,chr1,+,9547947,9577970,chr1-262
Vxn,NM_178399,chr1,+,9601266,9627142,chr1-265
2610203C22Rik,NR_015470,chr1,-,9560832,9631092,chr1-266
Mybl1,NM_001290397,chr1,-,9667410,9700209,chr1-269
1700034P13Rik,NR_040462,chr1,+,9747647,9771256,chr1-270
Vcpip1,NM_173443,chr1,-,9718621,9748382,chr1-270
Sgk3,NM_177547,chr1,+,9798129,9902568,chr1-272
Mcmdc2,NM_177722,chr1,+,9908637,9940954,chr1-277
Snhg6,NR_024067,chr1,-,9942024,9944118,chr1-278
Snord87,NR_004410,chr1,-,9942469,9942543,chr1-278
Tcf24,NM_001285425,chr1,-,9960162,9967810,chr1-279
Ppp1r42,NM_145692,chr1,-,9968621,10009136,chr1-281
Cspp1,NM_026493,chr1,+,10038217,10136768,chr1-282
Cops5,NR_102282,chr1,-,10024599,10038159,chr1-282
Arfgef1,NM_001102430,chr1,-,10137506,10232670,chr1-290
Cpa6,NM_001289497,chr1,-,10324718,10719945,chr1-309
Mir467e,NR_030645,chr1,-,10708386,10865874,chr1-315
Prex2,NM_029525,chr1,+,10993464,11303682,chr1-320
A830018L16Rik,NM_001160371,chr1,+,11414104,11601821,chr1-337
Mir6341,NR_105759,chr1,+,12425985,12426106,chr1-378
Gm17644,NR_045297,chr1,+,12667562,12673090,chr1-387
Sulf1,NM_001198566,chr1,+,12692429,12860372,chr1-388
Slco5a1,NM_172841,chr1,-,12866549,12991135,chr1-400
Prdm14,NM_001081209,chr1,-,13113427,13127163,chr1-406
Ncoa2,NM_008678,chr1,-,13139104,13374083,chr1-415
Tram1,NM_028173,chr1,-,13564692,13589910,chr1-424
Xkr9,NM_001011873,chr1,+,13668770,13701723,chr1-427
Lactb2,NM_145381,chr1,-,13625899,13660509,chr1-427
Gm5523,NR_004447,chr1,-,13785684,13786929,chr1-432
Eya1,NM_001252192,chr1,-,14168957,14310199,chr1-453
Msc,NM_010827,chr1,-,14753345,14755966,chr1-471
Trpa1,NM_001348288,chr1,-,14872643,14918862,chr1-477
Kcnb2,NM_001098528,chr1,+,15286924,15723750,chr1-492
Terf1,NM_001286628,chr1,+,15805645,15844052,chr1-513
Sbspon,NM_001033288,chr1,-,15853861,15892722,chr1-516
4930444P10Rik,NM_001305227,chr1,-,16065978,16093325,chr1-524
Rdh10,NM_133832,chr1,+,16105881,16132550,chr1-525
Rpl7,NM_011291,chr1,-,16101295,16104433,chr1-525
Stau2,NM_001111272,chr1,-,16228809,16519302,chr1-541
Ube2w,NM_025773,chr1,-,16568673,16619291,chr1-545
Tmem70,NM_027415,chr1,+,16665190,16678275,chr1-547
D030040B21Rik,NR_037998,chr1,+,16657551,16662278,chr1-547
Eloc,NM_001310470,chr1,-,16641724,16657119,chr1-547
Ly96,NM_001159711,chr1,+,16688455,16709605,chr1-548
Jph1,NM_020604,chr1,-,16994939,17097889,chr1-564
Gdap1,NM_010267,chr1,+,17145372,17164270,chr1-566
Pi15,NM_053191,chr1,+,17601900,17630939,chr1-585
Crispld1,NM_031402,chr1,+,17727416,17766207,chr1-590
Gm16070,NR_130314,chr1,-,17676026,17727646,chr1-590
Crisp4,NM_001347047,chr1,-,18115190,18145902,chr1-606
Defb44-ps,NR_002879,chr1,-,18210052,18223564,chr1-609
Defb18,NM_001039123,chr1,-,18236401,18237476,chr1-610
Defb41,NM_183124,chr1,-,18250977,18265138,chr1-611
Tfap2d,NM_153154,chr1,+,19103021,19168587,chr1-645
Gm15825,NR_151619,chr1,-,19063299,19104840,chr1-645
Tfap2b,NM_001286340,chr1,+,19208913,19238845,chr1-649
4930486I03Rik,NR_045734,chr1,+,20356453,20392300,chr1-695
Pkhd1,NM_153179,chr1,-,20057778,20618057,chr1-705
Lincmd1,NR_131249,chr1,+,20669881,20682958,chr1-707
Mir206,NR_029593,chr1,+,20679009,20679082,chr1-708
Mir133b,NR_029902,chr1,+,20682768,20682887,chr1-708
Il17a,NM_010552,chr1,+,20730904,20734496,chr1-710
Il17f,NM_145856,chr1,-,20777145,20784270,chr1-712
Mcm3,NM_008563,chr1,-,20802967,20820312,chr1-713
Paqr8,NM_028829,chr1,+,20890547,20939650,chr1-716
