fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g68,chr9-g69,chr9-g70,chr9-g71,chr9-g72,chr9-g73,chr9-g74,chr9-g75,chr9-g76,chr9-g77,chr9-g78,chr9-g79,chr9-g80,chr9-g81,chr9-g82,chr9-g83,chr9-g84,chr9-g85,chr9-g86,chr9-g87,chr9-g88,chr9-g89,chr9-g90,chr9-g91,chr9-g92,chr9-g93,chr9-g94,chr9-g95,chr9-g96,chr9-g97,chr9-g98,chr9-g99,chr9-g100,chr9-g101,chr9-g102,chr9-g103,chr9-g104,chr9-g105,chr9-g106,chr9-g107,chr9-g108,chr9-g109,chr9-g110,chr9-g111,chr9-g112,chr9-g113,chr9-g114,chr9-g115,chr9-g116,chr9-g117,chr9-g118,chr9-g119,chr9-g120,chr9-g121,chr9-g122,chr9-g123,chr9-g124,chr9-g125,chr9-g126,chr9-g127,chr9-g128
2,711,2,2,,,,,,,,0.4641399999999999,,,,,0.3234,,0.03317,,,1.1416,,1.4231,,0.75516,,,0.36156,-0.76198,,,,,,,,,,,,,-0.6140800000000001,,,-0.26342,,,-0.5942033333333333,,-0.37077,-0.55683,,-0.29682,-0.369575,-0.3970066666666667,-0.325445,,,,,,,,
3,455,2,1,0.27521,,1.3501,1.5852,,1.4124,,,1.1389,,,,,1.2133,1.3405,0.22241,-0.6988800000000001,-0.6988800000000001,-0.38458000000000003,-1.0876,-0.084675,-0.8908200000000001,-0.91959,-0.07028,0.17683999999999994,,-0.6077100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.70848,0.46954999999999997,0.95662,,0.37118,0.6818925,0.958995,1.5036
2,569,2,1,-0.07857,,,,,,,,-0.027724,,,,-0.24578,,-0.32302,,,,-0.34454,,,,,,,,,,,,,,,,-0.58117,-0.62028,,,-0.005233500000000002,,-0.59877,,,,,,,,-0.057058,,-0.26436,-0.14115,-0.20372999999999997,,,,-0.278045,,,,-0.3054199999999999
2,841,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57044,,,,-0.586525,,,,,,,,,,,,,,,,,-0.2434,,,,,,,
1,53,1,3,,,,,,,,,,,,-0.64844,,-0.71555,,,,,-1.0036800000000001,-0.56745,-0.79655,,-0.92845,,-0.35456,,,,,,,-0.5304300000000001,,,-0.45638,,,-0.59522,,,,,,,,,,,,,-0.5119100000000001,,,,,-0.51886,,,,,
2,260,1,1,,1.044755,1.36415,,0.7352166666666666,0.9134450000000001,0.60824,2.747,-0.022285,-0.11021333333333337,-0.26952,0.07590666666666661,1.2186,0.7967066666666667,0.57985,0.1066599999999999,-0.3263,-0.3255133333333333,-0.29555,,,0.18118999999999996,,-0.20327499999999998,-0.455835,-0.51794,-0.4658899999999999,-0.371255,,,-0.50059,-0.477725,-0.48836499999999994,-0.515575,-0.40438,,,,,,,0.86849,,,0.3976733333333333,,,1.3914,,,1.295545,0.6461,0.359815,0.7916000000000001,,1.2352233333333333,1.4552,,,,0.70287
2,648,2,1,,,,,,,,,-0.42762,-0.39064,-0.312975,,,-0.4621399999999999,,,,,,-0.17861,-0.23037999999999997,,,,,,,,-0.37584,,,,,,,,,,,,,,,-0.69307,-0.590345,,-0.3068099999999999,,,-0.2279199999999999,,,-0.27723,,,,,,,,
1,713,1,1,,,,,,,,,,-0.40427499999999994,-0.43309333333333333,,,,,,,,,,,,,,,,,,,,,,,,,-0.31782,,,,,,,,,,,,,,,,,,,,,,,,,
1,826,1,1,-0.37144,,,,-0.26361,,,-0.52959,,-0.188125,-0.17015550000000002,,-0.16296,,,-0.5224,-0.2540233333333333,-0.45050999999999997,-0.17015349999999999,-0.10905000000000001,-0.6230399999999999,-0.14859,,-0.2708,,-0.55115,,,,,-0.08927799999999994,-0.265405,-0.18273299999999995,,-0.4577,,,,,,,,0.21804,,,,,,,,,0.2324099999999999,,,,,,-0.19052133333333332,-0.15937,,-0.23845
1,194,1,1,-0.53715,1.5382,,,0.5195,,,0.260355,,-1.0621,,,-0.66005,,,0.095045,,-0.40536,,-1.0711,-0.31154,-0.66003,,-0.7553566666666667,-1.013,0.056310000000000006,-0.016666666666666607,-0.91917,-1.013,-0.6511,0.61332,0.032494,,,,,,0.4167399999999999,1.1673,1.3461,,,1.1807,1.3639,1.288,,,,,,,,,,,,,,,,
0,275,1,2,,,0.49861,,,,0.22773,,,-0.34905,-0.3210199999999999,,-0.19025699999999995,,,,,,,,,,-0.19259,,,-0.23229,,-0.15523,,,-0.1739099999999999,,,-0.286,-0.4681399999999999,,,,,,,,,-0.42377,,,0.12499,,,,,,,,,,,-0.17858,-0.047812,0.42856,
2,770,2,2,,,,,,,,-0.11534,-0.062201,,-0.1603,,,-0.06628933333333333,-0.05607,-0.019284,-0.092856,-0.15825,-0.07855,0.15852,,0.10538,0.0297649999999999,-0.21343,-0.10579799999999996,,0.020570000000000005,-0.62217,,-0.17052,,,,,,,,,-0.29518,,,-0.56699,,0.30771,0.11764,,,,,-0.22211749999999994,,-0.22161,,,,,-0.74275,,,,0.078813
0,99,2,2,,,,,,,,,,,,,,,,,,,,-0.38886499999999996,,,,,,0.1051935,,,,,,,,,-0.4768199999999999,,-0.29529,,,,,,,,,,,,,,-0.23728,,,,,,,,,0.67223,
2,591,2,1,-0.8446100000000001,,-0.30578,,-0.1491845,-0.11709,-0.42833,-0.03539,,-0.11708999999999994,-0.21240499999999995,-0.3121,-0.23671999999999999,-0.2226174999999999,-0.3155,-0.2055985,-0.10347166666666667,-0.37093999999999994,0.09980499999999999,-0.11968383333333332,-0.06327099999999997,-0.30918175,-0.18712,-0.08207399999999995,-0.1696099999999999,-0.025660000000000002,-0.11125,-0.1462655,,0.2515299999999999,-0.383585,-0.3038334,-0.2753033333333333,-0.421322,0.030748,-0.41471,-0.48863,-0.2824333333333333,-0.3738599999999999,-0.298,,-0.314535,-0.28243,-0.69093,-0.45459,,-0.10444599999999996,-0.30383,-0.11709,-0.1521,-0.007183500000000051,,-0.095692,0.2097099999999999,-0.51197,,,-0.32523,-0.40060749999999995,0.0988309999999999,
2,172,2,2,,,,,-0.060728,-0.03751499999999999,,-0.074484,,0.014926999999999998,,,,0.15077,,-0.010864999999999958,0.60642,0.12669,,0.3565266666666666,0.2304343333333333,,,,-0.13295,-0.1467,,0.26597,,,,,-0.29113999999999995,-0.27508666666666665,,-0.39086499999999996,,-0.50435,,-0.31521,-0.26964,-0.17765,-0.23783,,,,,-0.0048449999999999604,-0.044678000000000016,,-0.16905,,,0.05275833333333333,-0.062447,0.16108,0.20120333333333332,-0.007425,0.5514,,
1,942,2,1,,,,,,,,,,,,,,0.8173199999999999,,-0.5516800000000001,,,,0.34274,,,,,,,,,,-0.1592299999999999,,,,,,,,0.2149599999999999,-0.089261,-0.1592299999999999,0.0871909999999999,,,0.12825775,,,,-0.68858,,,,-0.6520699999999999,,,,,,,,,
2,578,2,1,,,,,-0.69465,,-0.1239,-0.8730100000000001,-0.32484999999999997,,-0.21189,,-0.18097,,-0.10487,,,-0.24399,0.125016,-0.083467,-0.45446,-0.39025,,,-0.29988,,-0.30463,,,,-0.035904,,-0.26421,-0.00261,,,,,-0.0073659999999999,-0.23567,,,-0.25945,,-0.32723,-0.26777,-0.39263,,-0.33079,-0.26183,,-0.15957,,,,,-0.11675949999999995,-0.088223,-0.062064,-0.12864999999999996,
2,730,2,1,0.23095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089241,,-0.057794,,-0.25791,-0.057794,,,,,,,,,,-0.20645,-0.22075,,,,-0.10925,-0.017771,,,,,,,,-0.22361
1,826,1,2,,-0.6733600000000001,,,,-0.37503,,-0.384015,-0.56913,,,,,,-0.50203,-0.55115,,-0.31033,-0.621245,,,,-0.52599,,-0.004813,0.3043,,,,,-0.36245,-0.35706,-0.001219,,,-0.18812,0.099423,,,,0.42291,0.28274,-0.30674,,,,,,,,-0.083889,-0.004815,0.1102099999999999,,-0.1318153333333333,,,-0.18991999999999995,0.12818,0.16772,0.4804199999999999
1,612,2,1,-0.48363,-0.53517,,-0.6039,-0.019724999999999993,,,,0.65035,,,0.50431,,,,,,,,,,,,-0.63826,,,,,,,,-0.26027,,0.03182,,,,,,,,,,,,,,,,,-0.79289,,,,,0.5129,,,,,
0,407,1,1,-0.29574,,,-0.031654,,,,,-0.0242775,,,,-0.053785,-0.25148,-0.05526149999999995,,-0.31049,-0.22934500000000002,-0.092142,,-0.53179,-0.17967633333333333,,-0.27803,-0.27803,,,,-0.071487,,,,0.1026,-0.28393,,-0.080339,,-0.16886,-0.13345,,,,,,,-0.53474,,,,-0.49343,,,,,,,-0.41081,,,,
2,43,2,1,0.085988,0.52656,,0.05686,0.25469,,0.13129866666666665,0.2571199999999999,-0.023243,0.04310366666666666,-0.17374,,-0.18588,,-0.11305499999999999,-0.038412999999999996,,,,0.3882,0.162449,0.055650000000000005,0.1396356,0.57753,-0.18708999999999998,-0.16524,,-0.10213,-0.040235,,-0.09970799999999998,-0.17253,0.079315,,-0.06450833333333329,-0.096064,,-0.34123,,,-0.024457,,,,0.004671,0.11148,,,,,,,,,-0.14583,0.20978499999999994,0.24255549999999998,0.131502,0.073851,0.1988595,0.01074
3,921,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075644,,,,-0.090441,,,,,,,,,,,,,,,,,,,,,
2,569,2,2,,0.37709,0.340915,0.69195,,,,,0.44261,,-0.080526,0.24998,0.2030399999999999,0.24998,0.303755,,0.45336,0.13655,0.30278,0.128725,0.29201999999999995,0.25193,0.213795,-0.094215,,,-0.43254,,-0.13137,0.083748,-0.082479,0.025079,0.09303675,,-0.0658595,,,,,,0.17371,0.15415,0.31157999999999997,,0.011389,,,,,,,,0.32625,0.20304,0.07397066666666667,,0.10134800000000001,0.056368499999999995,0.19228499999999998,0.21673,-0.041413
2,584,2,1,-0.43438,-0.48786,,,,,,,-0.53878,,-0.49040333333333336,,-0.51332,,-0.39364,-0.3401633333333334,,-0.43438,-0.3529,-0.229395,-0.522235,-0.522235,-0.39873,,-0.13136,-0.29815,,0.044345499999999954,-0.034595499999999994,0.17421,0.018881,-0.114381,-0.18229,,,0.018881,-0.146636,-0.13136,,,-0.22685,,,,,,,,,-0.32998,,,-0.559155,-0.5379366666666666,,-0.43183,,,-0.4623899999999999,,-0.53114
