200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2M
chr1-g17,chr1,3400000,3600000,0.383925,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,-2.201818447753059
chr1-g32,chr1,6400000,6600000,0.400595,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,4.607152252933711
chr1-g33,chr1,6600000,6800000,0.3847250000000001,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,4.607152252933711
chr1-g34,chr1,6800000,7000000,0.39825,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,4.607152252933711
chr1-g41,chr1,8200000,8400000,0.38193,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g42,chr1,8400000,8600000,0.370575,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g43,chr1,8600000,8800000,0.385165,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g44,chr1,8800000,9000000,0.38213,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g45,chr1,9000000,9200000,0.3801249999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g46,chr1,9200000,9400000,0.38951,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,-5.031301129690382
chr1-g64,chr1,12800000,13000000,0.43009,"Sulf1, Slco5a1",2.0,"167943, 124586",167943.0,124586.0,146264.5,146264.5,1,0,0,0,0,-4.346728734120278
chr1-g76,chr1,15200000,15400000,0.40198,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,3.855735130970524
chr1-g77,chr1,15400000,15600000,0.40193,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,3.855735130970524
chr1-g78,chr1,15600000,15800000,0.4077449999999999,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,3.855735130970524
chr1-g96,chr1,19200000,19400000,0.40071,Tfap2b,1.0,29932,29932.0,29932.0,29932.0,29932.0,1,0,0,0,0,-7.868477987274799
chr1-g106,chr1,21200000,21400000,0.431165,"Tmem14a, Gsta3, Gm4956, Khdc1a, Khdc1c, Khdc1b, Kcnq5",7.0,"11593, 24991, 13067, 2523, 1413, 2829, 564252",564252.0,1413.0,88666.85714285714,11593.0,1,0,0,0,0,-2.8203486900865338
chr1-g107,chr1,21400000,21600000,0.398215,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-2.92897523246828
chr1-g108,chr1,21600000,21800000,0.37926,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-2.92897523246828
chr1-g109,chr1,21800000,22000000,0.3846449999999999,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,-2.92897523246828
chr1-g111,chr1,22200000,22400000,0.39374,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,2.768646817700539
chr1-g112,chr1,22400000,22600000,0.313335,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,2.768646817700539
chr1-g113,chr1,22600000,22800000,0.391615,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,1,0,2.768646817700539
chr1-g114,chr1,22800000,23000000,0.39441,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1,0,0,1,0,2.768646817700539
chr1-g121,chr1,24200000,24400000,0.404475,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1,0,0,0,0,5.832901661072599
chr1-g122,chr1,24400000,24600000,0.3896,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1,0,0,0,0,5.832901661072599
chr1-g187,chr1,37400000,37600000,0.4479350000000001,"Inpp4a, Coa5, Unc50, Mgat4a, 4930594C11Rik",5.0,"110903, 13019, 8848, 101677, 2755",110903.0,2755.0,47440.4,13019.0,1,0,0,0,0,2.289915244163792
chr1-g195,chr1,39000000,39200000,0.454925,"Npas2, Mir6349",2.0,"168969, 97",168969.0,97.0,84533.0,84533.0,1,0,0,0,0,-2.3079872260930565
chr1-g196,chr1,39200000,39400000,0.4640499999999999,"Npas2, Rpl31, Tbc1d8",3.0,"168969, 4060, 107260",168969.0,4060.0,93429.66666666669,107260.0,1,0,0,0,0,0.5253299588232464
chr1-g197,chr1,39400000,39600000,0.4545850000000001,"Tbc1d8, Cnot11, Snord89, Rnf149",4.0,"107260, 11177, 94, 26052",107260.0,94.0,36145.75,18614.5,1,0,0,0,0,2.0144670801422326
chr1-g212,chr1,42400000,42600000,0.420725,,,,,,,,1,0,0,0,0,-2.134564758840141
chr1-g213,chr1,42600000,42800000,0.440615,"Pantr1, Pou3f3, 2900092D14Rik, Pantr2, Dalir",5.0,"46626, 4442, 2841, 6392, 2175",46626.0,2175.0,12495.2,4442.0,1,0,0,0,0,-2.6275742377097897
chr1-g230,chr1,46000000,46200000,0.40191,"Stk-ps2, Dnah7b",2.0,"10023, 306694",306694.0,10023.0,158358.5,158358.5,1,0,0,0,0,-3.209870309435341
chr1-g231,chr1,46200000,46400000,0.396885,Dnah7b,1.0,306694,306694.0,306694.0,306694.0,306694.0,1,0,0,0,0,-3.209870309435341
chr1-g258,chr1,51600000,51800000,0.418825,Myo1b,1.0,166221,166221.0,166221.0,166221.0,166221.0,1,0,0,0,0,-2.4820114759695358
chr1-g259,chr1,51800000,52000000,0.4334100000000001,"Myo1b, Stat4",2.0,"166221, 120042",166221.0,120042.0,143131.5,143131.5,1,0,0,0,0,-2.4820114759695358
