fov,cellID,rep,dbscan_ldp_nbr_allele,chr1-g377,chr1-g378,chr1-g379,chr1-g380,chr1-g381,chr1-g382,chr1-g383,chr1-g384,chr1-g385,chr1-g386,chr1-g387,chr1-g388,chr1-g389,chr1-g390,chr1-g391,chr1-g392,chr1-g393,chr1-g394,chr1-g395,chr1-g396,chr1-g397,chr1-g398,chr1-g399,chr1-g400,chr1-g401,chr1-g402,chr1-g403,chr1-g404,chr1-g405,chr1-g406,chr1-g407,chr1-g408,chr1-g409,chr1-g410,chr1-g411,chr1-g412,chr1-g413,chr1-g414,chr1-g415,chr1-g416,chr1-g417,chr1-g418,chr1-g419,chr1-g420,chr1-g421,chr1-g422,chr1-g423,chr1-g424,chr1-g428,chr1-g429,chr1-g430,chr1-g431,chr1-g432,chr1-g433,chr1-g434,chr1-g435,chr1-g436,chr1-g437,chr1-g438,chr1-g439,chr1-g440,chr1-g441,chr1-g442,chr1-g443,chr1-g444,chr1-g445,chr1-g446,chr1-g447,chr1-g448,chr1-g449,chr1-g450,chr1-g451,chr1-g452,chr1-g453,chr1-g454,chr1-g455,chr1-g456,chr1-g457
2,181,2,1,,,0.045734,,,-0.34351,,,-0.23328,-0.44685,,,,,-0.043827,-0.004213,,,,,,,,,,,,,,,,,-0.66215,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11444,,,,,,,,,,,,,,,,,,,
0,89,2,2,,,,,,-0.16025,,,,,,-0.16025,,,,,,-0.24381,,,,,,,,,,,,,,-0.66869,-0.5798,,-0.63136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,2,2,,,,,,,-0.598465,-0.67332,-0.56852,,-0.54232,,,,-0.35236999999999996,,,,,,,,,-0.65086,,,,,-0.5928500000000001,,-0.57975,,-0.65086,-0.5123800000000001,-0.5778800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,750,1,2,,,,,,,0.65585,-0.15215999999999996,0.30882,-0.34897,,,,,,,,,,,,,,,,,,-0.76851,-0.27646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63513,,,,,,,,,,,,,0.92518,,,,0.39687,0.0602039999999999,
0,215,1,3,,,,,,-0.72654,-0.80369,-0.75342,-0.637695,,,-0.6751050000000001,,-0.514955,,,-0.65523,-0.6774399999999999,,-0.5909399999999999,,,0.1198,,,,,-0.652895,-0.6493800000000001,,,,,,,-0.74057,,,,,,0.000567,,,,,,,,,,,,,,,-0.45533,-0.6260100000000001,,,,-0.6493800000000001,-0.84811,,,,,,,,,,,,,-0.7662800000000001,,
2,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38635,,-0.625625,,,,,,,,,,,,,,,,,,,,,-0.3396,,,,-0.19177275000000002,-0.031573,0.037183,-0.2804715,0.543225,-0.13471,-0.52112,,,,-0.49911,,-0.58712,,,,,,,,-1.5442
0,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46745,-0.048306,-0.21949000000000002,,,,-0.46745,,,,,,,0.18202,-0.24439,-0.0524559999999999,-0.173845,,-0.00957233333333333,-0.4218,0.018093,0.030543,0.15089,-0.081506,-0.4052,0.06996699999999996
1,612,2,2,,,,,,,,,,,,-0.24308,,-0.6039,,,0.0490009999999999,,,,,,,,,-0.36336,-0.569535,,-0.79289,,,-0.62108,,0.03182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6898,,,,,-0.6039,,,-0.26027,,,,,,
0,353,1,2,,,,-0.12987,0.040911,,-0.1838,-0.23548,,-0.19841,0.03304499999999999,0.2184305,,,,,,-0.2265,,,,,-0.37256,,-0.37031,-0.50064,,-0.4744266666666666,-0.35289499999999996,,-0.44671,,,-0.70738,,,,-0.55457,,,,,-0.55008,,,,,,0.404945,,,,,0.1577599999999999,,,,,,0.38247,0.39146,0.2656199999999999,,0.41393,,,,,0.2341599999999999,,,0.10832,0.29595499999999997,,,,,
2,244,2,4,,,,,,,,,,-0.29481,,,,,,,,,,,-0.24255,-0.09314166666666666,-0.24456,-0.259635,-0.20235,-0.37521,,,,,,,,,,,,,,,-0.4073699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18,2,1,-0.4137,,,,,,-0.08936440000000002,,0.018891999999999968,0.3106266666666666,0.0882485,-0.38153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.31288150000000003,-0.26998,0.09683166666666665,0.49368,0.25986,,,,,0.22125,0.4314699999999999,0.26415,0.50011,,,,-0.39011,-0.17559666666666662,0.1333,-0.33648,-0.23995,,-0.29143,,,
0,26,1,2,,,,,,,,,,,,,,,,,,,,,,,-1.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3011,-0.31769,-0.3011,-0.25963500000000006,,,,,,,,,,,,,,,,-0.5797399999999999,0.19425666666666672,0.55804,,,,0.5149100000000001
