100kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id
chr1-g30,chr1,3000000,3100000,0.38743,,,,,,,,1
chr1-g31,chr1,3100000,3200000,0.38935,,,,,,,,1
chr1-g32,chr1,3200000,3300000,0.38647,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1
chr1-g33,chr1,3300000,3400000,0.38306,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1
chr1-g34,chr1,3400000,3500000,0.38152,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1
chr1-g35,chr1,3500000,3600000,0.38633,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1
chr1-g36,chr1,3600000,3700000,0.3884999999999999,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1
chr1-g37,chr1,3700000,3800000,0.38997,,,,,,,,1
chr1-g38,chr1,3800000,3900000,0.38311,,,,,,,,1
chr1-g39,chr1,3900000,4000000,0.38946,,,,,,,,1
chr1-g40,chr1,4000000,4100000,0.3877,,,,,,,,1
chr1-g41,chr1,4100000,4200000,0.38498,,,,,,,,1
chr1-g42,chr1,4200000,4300000,0.3893,Rp1,1.0,118396,118396.0,118396.0,118396.0,118396.0,1
chr1-g43,chr1,4300000,4400000,0.37663,Rp1,1.0,118396,118396.0,118396.0,118396.0,118396.0,1
chr1-g44,chr1,4400000,4500000,0.41413,"Rp1, Sox17",2.0,"118396, 6427",118396.0,6427.0,62411.5,62411.5,1
chr1-g45,chr1,4500000,4600000,0.41754,,,,,,,,1
chr1-g46,chr1,4600000,4700000,0.41187,,,,,,,,1
chr1-g47,chr1,4700000,4800000,0.4116299999999999,Mrpl15,1.0,12527,12527.0,12527.0,12527.0,12527.0,1
chr1-g48,chr1,4800000,4900000,0.4020399999999999,"Lypla1, Tcea1",2.0,"38913, 39582",39582.0,38913.0,39247.5,39247.5,1
chr1-g49,chr1,4900000,5000000,0.4082,Rgs20,1.0,160710,160710.0,160710.0,160710.0,160710.0,1
chr1-g50,chr1,5000000,5100000,0.41079,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1
chr1-g51,chr1,5100000,5200000,0.40376,Atp6v1h,1.0,79464,79464.0,79464.0,79464.0,79464.0,1
chr1-g52,chr1,5200000,5300000,0.40958,,,,,,,,1
chr1-g53,chr1,5300000,5400000,0.39093,,,,,,,,1
chr1-g54,chr1,5400000,5500000,0.38896,,,,,,,,1
