fov,cellID,rep,dbscan_ldp_nbr_allele,chr19-g15,chr19-g16,chr19-g17,chr19-g18,chr19-g19,chr19-g20,chr19-g21,chr19-g22,chr19-g23,chr19-g24,chr19-g25,chr19-g26,chr19-g27,chr19-g28,chr19-g29,chr19-g30,chr19-g31,chr19-g32,chr19-g33,chr19-g34,chr19-g35,chr19-g36,chr19-g37,chr19-g38,chr19-g39,chr19-g40,chr19-g41,chr19-g42,chr19-g43,chr19-g44,chr19-g45,chr19-g46,chr19-g47,chr19-g48,chr19-g49,chr19-g50,chr19-g51,chr19-g52,chr19-g53,chr19-g54,chr19-g55,chr19-g56,chr19-g57,chr19-g58,chr19-g59,chr19-g60,chr19-g61,chr19-g62,chr19-g63,chr19-g64,chr19-g65,chr19-g66,chr19-g67,chr19-g68,chr19-g69,chr19-g70,chr19-g71,chr19-g72,chr19-g73,chr19-g74,chr19-g75,chr19-g76,chr19-g77,chr19-g78
1,13,1,1,,,,,,,,,,,,,-1.2009999999999998,-1.3083,,-1.1243,,,,,,,,,,-1.1013,,,,,,,,,,,,,,,,1.0948,,,,,,,,,,,,,,,,,-0.38272,,,,,
2,10,2,2,,,,,,,,,,,,,,,,,,,,,,,,,-0.78057,-0.78057,,,-1.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,3,,,,,,,,,,,,,,,,,,,,,-0.5651349999999999,,,,,-0.71324,,-0.694725,,,,,,,,,,,,,,,,,,,,-0.39621,-0.3568699999999999,,,,,,,,,,,,,,,
2,566,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6058399999999999,,,-0.47301,,-0.39387,,,-0.5154000000000001,,-0.37126,,,-0.343,,,-0.4334399999999999,,,,,,,-0.45605,,,-0.43909
1,94,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39513,,,,,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46224,,,,-0.37171,,,,-0.38177,,-0.32142,,,,,,,,,-0.5648299999999999,,,-0.44011,-0.45821,,,,,,,,,,,,,
2,1229,1,1,,,1.7106,,,,0.7949600000000001,-0.01225,,,,,,-0.10435,,,,,-0.32647,,,,,,,,,,-0.3698099999999999,,,,,,,,,,,,,,,,,,,,,-0.20728,,-0.098932,,,,,,,,,,,,
1,94,1,2,,,,-0.18078,-0.23005,-0.073595,,,,,,,,,,,,,,,,,,,,,,-0.36679999999999996,,-0.32614,-0.29534499999999997,,,,-0.28179,,,,,,,,,,,,,,,,,,,,-0.31382,,-0.11425,,,,-0.19309,,,
2,117,1,1,,,,,,,,,-0.2199,0.904355,-0.4617699999999999,-0.040733,,-0.22487666666666664,-0.16316,,-0.2826,,-0.33337,,-0.21094,,,,-0.45878,,,,,,,-0.23084633333333335,-0.007886,-0.411,-0.14823,,,-0.4617699999999999,,,,,,,,,,-0.007889999999999953,-0.3572599999999999,,0.32456,0.40419,-0.2408,,0.344465,,,-0.50357,-0.41996,,,-0.32589999999999997,-0.50954,
2,1001,1,2,,,,,,,,,,,,,,,,,,-0.18899,,,,,,-0.24406,,,,,,,,,,,,,,,,,,,,,-0.43287,,,,,,,,,,,,,,,,,,,
1,94,1,3,,,,,,,,-0.0526549999999999,,,,-0.050191,,,0.133365,,,,,,,,,,,-0.1512099999999999,,,-0.01077,-0.33846,,,,,,,,,,,,,,,-0.025553,0.018797,-0.06867000000000001,,0.1617,-0.18939499999999998,0.1617,,,,,,,,,,,,,
0,158,2,1,,,,,,,,,0.1720899999999999,0.1895,0.39434,0.23593333333333333,0.37796,0.22023,,-0.25296,,,,,,,,,0.015383,-0.21609,,,-0.24477,,,,,,,,,,,,,,,,0.15877,,,,-0.011247,,,,,,0.1493512,,,0.67498,,,,,,
2,841,2,1,,,0.69214,,,,,,,,,,,,,-0.4793,,,,,-0.38949500000000004,,0.18684000000000006,,-0.0262699999999999,,,,-0.290315,,,0.103742,,,,,,-0.2568,-0.40156,-0.26753,,,,,,,-0.2166,-0.37564333333333333,-0.40692,,-0.46321,,,-0.63477,,-0.48197999999999996,,,,,-0.44981,-0.29433,,
2,603,2,1,0.72217,0.1721599999999999,-0.009404999999999997,1.3188866666666665,-0.17929,0.16049,,,,-0.81106,-0.61569,-0.525435,,-0.7388600000000001,,-0.488275,-0.6199399999999999,,,-0.39271,,-0.7268233333333334,,-0.040906333333333315,0.14667933333333336,-0.092225,,-0.18513049999999998,-0.168676,-0.067804,,,0.10633000000000001,,-0.19522,-0.53075,-0.20159,0.14031,,-0.58596,-0.350245,,-0.6560366666666667,,-0.3120199999999999,-0.2207,-0.31202,-0.2302585,-0.46279,-0.22601,-0.40067624999999996,-0.45642499999999997,-0.28299566666666665,,-0.5746333333333333,-0.235566,-0.15699,-0.7855800000000001,-0.50739,-0.65887,-0.43890250000000003,,,
0,116,1,1,,0.095922,0.6111049999999999,0.40302,0.83354,,0.09735699999999994,,,,,,,,0.18489,,,,,,,,0.03852,-0.054759999999999996,-0.16239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,144,1,2,,,,,,,,,,,,,,,,,,,,,,,,,-0.032888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.20668999999999998,,,,,,,,,,
3,937,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014695333333333333,-0.047048,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3544,-0.28646,,,-0.302635,,,,,
3,157,2,3,,,,,,,,-0.2882,,-0.25529999999999997,-0.3693099999999999,,-0.17597333333333331,,,-0.1458775,-0.4794899999999999,-0.35018,,,,,0.030109999999999998,0.0316399999999999,,,-0.008148,-0.46113,,-0.008148,,,0.24589,0.28415,-0.22009999999999996,,,,,,,0.4417666666666666,0.2918,,,,0.020928,,0.09999599999999999,0.11937966666666662,0.27037,,0.15330499999999994,0.1387633333333333,0.16886,,,-0.01427,,0.21069,0.098975,,,0.29333
