200kb name,chrom,start,end,H4K20me3_cat5
chr1-g15,chr1,3000000,3200000,0
chr1-g16,chr1,3200000,3400000,0
chr1-g17,chr1,3400000,3600000,0
chr1-g18,chr1,3600000,3800000,0
chr1-g19,chr1,3800000,4000000,0
chr1-g20,chr1,4000000,4200000,0
chr1-g21,chr1,4200000,4400000,0
chr1-g22,chr1,4400000,4600000,0
chr1-g23,chr1,4600000,4800000,0
chr1-g24,chr1,4800000,5000000,0
chr1-g25,chr1,5000000,5200000,0
chr1-g26,chr1,5200000,5400000,0
chr1-g27,chr1,5400000,5600000,0
chr1-g28,chr1,5600000,5800000,0
chr1-g29,chr1,5800000,6000000,0
chr1-g30,chr1,6000000,6200000,0
chr1-g31,chr1,6200000,6400000,0
chr1-g32,chr1,6400000,6600000,0
chr1-g33,chr1,6600000,6800000,0
chr1-g34,chr1,6800000,7000000,0
chr1-g35,chr1,7000000,7200000,0
chr1-g36,chr1,7200000,7400000,0
chr1-g37,chr1,7400000,7600000,0
chr1-g38,chr1,7600000,7800000,0
chr1-g39,chr1,7800000,8000000,0
chr1-g40,chr1,8000000,8200000,0
chr1-g41,chr1,8200000,8400000,0
chr1-g42,chr1,8400000,8600000,0
chr1-g43,chr1,8600000,8800000,0
chr1-g44,chr1,8800000,9000000,0
chr1-g45,chr1,9000000,9200000,0
chr1-g46,chr1,9200000,9400000,0
chr1-g47,chr1,9400000,9600000,0
chr1-g48,chr1,9600000,9800000,0
chr1-g49,chr1,9800000,10000000,0
chr1-g50,chr1,10000000,10200000,0
chr1-g51,chr1,10200000,10400000,0
chr1-g52,chr1,10400000,10600000,0
chr1-g53,chr1,10600000,10800000,0
chr1-g54,chr1,10800000,11000000,0
chr1-g55,chr1,11000000,11200000,0
chr1-g56,chr1,11200000,11400000,0
chr1-g57,chr1,11400000,11600000,0
chr1-g58,chr1,11600000,11800000,0
chr1-g59,chr1,11800000,12000000,0
chr1-g60,chr1,12000000,12200000,0
chr1-g61,chr1,12200000,12400000,0
chr1-g62,chr1,12400000,12600000,0
chr1-g63,chr1,12600000,12800000,0
chr1-g64,chr1,12800000,13000000,0
chr1-g65,chr1,13000000,13200000,0
chr1-g66,chr1,13200000,13400000,0
chr1-g67,chr1,13400000,13600000,0
chr1-g68,chr1,13600000,13800000,0
chr1-g69,chr1,13800000,14000000,0
chr1-g70,chr1,14000000,14200000,0
chr1-g71,chr1,14200000,14400000,0
chr1-g72,chr1,14400000,14600000,0
chr1-g73,chr1,14600000,14800000,0
chr1-g74,chr1,14800000,15000000,0
chr1-g75,chr1,15000000,15200000,0
chr1-g76,chr1,15200000,15400000,0
chr1-g77,chr1,15400000,15600000,0
chr1-g78,chr1,15600000,15800000,0
chr1-g79,chr1,15800000,16000000,0
chr1-g80,chr1,16000000,16200000,0
chr1-g81,chr1,16200000,16400000,0
chr1-g82,chr1,16400000,16600000,0
chr1-g83,chr1,16600000,16800000,0
chr1-g84,chr1,16800000,17000000,0
chr1-g85,chr1,17000000,17200000,0
chr1-g86,chr1,17200000,17400000,0
chr1-g87,chr1,17400000,17600000,0
chr1-g88,chr1,17600000,17800000,0
chr1-g89,chr1,17800000,18000000,0
chr1-g90,chr1,18000000,18200000,0
chr1-g91,chr1,18200000,18400000,0
chr1-g92,chr1,18400000,18600000,0
chr1-g93,chr1,18600000,18800000,0
