fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g534,chr4-g535,chr4-g536,chr4-g537,chr4-g538,chr4-g539,chr4-g540,chr4-g541,chr4-g542,chr4-g543,chr4-g544,chr4-g545,chr4-g546,chr4-g547,chr4-g548,chr4-g549,chr4-g550,chr4-g551,chr4-g552,chr4-g553,chr4-g554,chr4-g555,chr4-g556,chr4-g557,chr4-g558,chr4-g559,chr4-g560,chr4-g561,chr4-g562,chr4-g563,chr4-g564,chr4-g565,chr4-g566,chr4-g567,chr4-g568,chr4-g569,chr4-g570,chr4-g571,chr4-g572,chr4-g573,chr4-g574,chr4-g575,chr4-g576,chr4-g577,chr4-g578,chr4-g579,chr4-g580,chr4-g581,chr4-g582,chr4-g583,chr4-g584,chr4-g585,chr4-g586,chr4-g587,chr4-g588,chr4-g589,chr4-g590,chr4-g591,chr4-g592,chr4-g593,chr4-g594,chr4-g595,chr4-g596
1,53,1,1,,,-0.33604333333333325,,,,-0.1648,-0.2666199999999999,,0.1360299999999999,,,,,,,-0.52117,,-0.64844,-0.6739,,,-0.67853,-0.66464,,,-0.6021650000000001,,,,,,,,,,,,-0.40547,,-0.319845,-0.3615,,,-0.43477666666666664,-0.53274,,,,,,,,,,,,,,,,-0.13009,-0.23654
1,98,1,4,,,,,,-0.34991,,,,,,,,,,,,,,,,,-0.072292,,,,,-0.57817,,,,,,,,,,,,-0.5925600000000001,,-0.44656,,-0.3588166666666666,,,,,,,,,,,,,,,,,,-0.38281,
1,942,2,1,,,,,0.5161399999999999,,,,,,,0.42944,,,,,,0.6713,0.49484666666666666,,,0.333612,0.6713,0.24234,-0.30526,,,,-0.56993,,,,,,,,,,,,,,,,,,,,0.64696,1.0364,,,,,,,,,,,,,
0,648,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38836,,,,,,,,,,,,,,,,,,,0.21839,,,,,,,,0.2378,-0.34467,0.4926335,,,0.5047699999999999,0.72319,0.7499049999999999,0.5071950000000001
2,181,2,1,-0.32629,,,,,,,,,,,,,,,,-0.08171825,0.030233,,,,,,,,,-0.24017499999999997,,,,,,,0.1353,-0.078274,,,,,,,,,,,,,,,,,,,,-0.3039,,,,,-0.34179,,,
2,244,2,2,,-0.24858,,,-0.24858,,-0.2928,-0.21039,,,-0.42144,,,,,,0.066983,,,,,,,,-0.0254755,,,,-0.042559999999999945,-0.03418533333333334,-0.0616549999999999,,,,,,,,,,,,,,,,,,,,-0.58625,-0.3933,,,,,,,,,,,
2,45,2,1,,0.39763,1.2925,,,,,1.4274,1.4026999999999998,1.023366,0.7178433333333333,,0.8697299999999999,1.2727,1.1082,0.71017,1.1477,1.0457,1.1477,1.401,,1.6083,1.0852,0.7710250000000001,,,,,,-0.016894,,,,,,,,,1.3566,0.95033,,,0.44369,1.3440366666666668,0.3219599999999999,0.95033,0.62463,,0.891125,0.614765,,0.7792600000000001,,,,,,,,,,,
1,663,1,1,1.2822,,1.243605,,0.86341,0.7862600000000001,,,,0.92402,,,,,0.83585,,,1.5411,,1.3060333333333334,,,0.8909600000000001,,,,,,,,,,,,0.009344,,,,,,,,,,,,,,1.1224,,,,,,0.76973,,,,,,,,
1,144,1,3,,,,,,,,,1.232,,,,,,,,0.2278099999999999,,-0.055420000000000004,-0.195425,-0.02108766666666666,,-0.18094,,,0.021827,0.0636679999999999,,,,,,,,,-0.094041,,0.2310335,1.4036899999999999,,,1.5217,,1.2706,,,,,,-0.23029333333333332,-0.25497,,,,,,,,,,,,0.021827
0,55,2,1,0.094831,,,,,-0.51315,,,,,0.003151,,,0.016018,-0.004087250000000001,-0.01695449999999995,,,,,,,,,0.06427099999999995,,-0.18664,,0.11252,,,,,,,0.13504,0.13504,0.11413,,-0.1030099999999999,0.049795,0.14148,0.12861,,,,-0.066011,,,,,,0.083572,-0.019367,,-0.03706,-0.1094375,-0.03706,,,0.041753,,-0.093355
1,94,1,4,,,,,,,,,,,,,,,,,0.036044,,,,,-0.040336,,-0.4419399999999999,,,-0.43948,,,,0.57563,,-0.29411,0.24054,,0.2208325,0.19619,0.015100000000000002,0.12967,,,,,,,,,,,,,0.35634,,,,,,,,,,0.27257,
2,244,2,4,,,,,,,,,,,,,,-0.25461,-0.48575999999999997,-0.34104,-0.51993,,,,-0.27471,,-0.362145,,,,,,0.11522,0.056933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,94,1,1,,0.119815,,,,,,,,,,,,1.3394,,,,,0.24793,,,,0.39084,,,0.090248,0.008941,,,0.1617,0.22576,,,,,,,,,,,,,,,,,,,,-0.023089,-0.20049,,,,,,,,,,,
0,89,2,3,,,,,,,,,,,,,,,,,,,,,,,,,0.52596,,,,0.2575199999999999,0.27174,,,,-0.011812,,0.0566309999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,181,2,2,-0.4227399999999999,,,,,,-0.1661099999999999,,,-0.2884,,,-0.11271899999999994,,-0.16784,,-0.052439,0.08707,,,,-0.014547,,0.081903,,,,0.08449000000000001,0.10085,,,,0.58999,,,-0.064495,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,636,2,1,,,0.011595000000000008,,-0.18289,-0.021014999999999978,0.36912,0.463435,0.61136,0.2515,0.017416,-0.13165199999999996,0.52984,-0.31973424999999994,-0.126994,,0.25848649999999995,0.06679599999999997,0.06516499999999999,-0.1235,0.08962166666666667,-0.02528833333333334,-0.2434535,,,-0.17940099999999995,0.75925,,0.49256,0.7883889999999999,-0.32032,,-0.19687,0.521665,-0.11884249999999995,0.13387666666666667,-0.061776,,0.4543122857142857,0.9403575,0.36912500000000004,0.35437,,-0.2155,1.1255199999999999,0.13503999999999994,1.0585475,1.7782825,1.4351166666666668,0.7239523333333334,,0.30856,0.03255999999999995,,-0.20851,0.60437,,-0.28305,-0.16892,,0.89785,-0.26208549999999997,
1,142,2,2,,,,-0.1093799999999999,,,,-0.14684266666666665,-0.21559,,,,,,,,,,,,,,,0.010404,,,,,,,0.19749699999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16249,,-0.2464599999999999,,
0,89,2,2,,,,,,,,,,,,,0.067298,,,,,,,,,,,-0.12114,0.08596500000000001,,,-0.28292,0.037965,0.67173,,,,0.4157399999999999,,,0.16863,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,2,,,,,,,,,-0.06018,0.14642,,,,,-0.10762,-0.044877,-0.011209,0.07908,,,0.019397,0.0324065,,0.001033,,,,,,,,0.2214,,,,,,,,,,,,,,,,-0.098438,-0.1321099999999999,,,,,,,,,,,,,-0.078544,
0,610,2,1,,,,,,,,,,-1.0669,,-0.36762,-0.25435,-0.63848,,,0.21595999999999999,-0.35777,,,-0.36762,,,,,,,,,,0.24304,,,,,,,,,,,,,,,,0.7601399999999999,0.40802450000000007,,0.4104899999999999,0.21021233333333336,0.200365,0.028818499999999997,,,,,,,,,,
1,98,1,2,,,,,-0.11342,,,,-0.006487,,,,0.3102,,0.35955,0.0449229999999999,,,,,,,,,,,0.28347,0.2156,,,,,,,,,,,,,,,,,,,0.0058509999999999,,,,,,,,,,,,,,,0.21252,
2,172,2,1,,,,,,,,,,,0.085426,,,-0.11059,,0.27285,,,,,,0.33647,,,,,0.20063,,,,,,,,,0.4104,,,,,0.43276,,,,,,0.25393,-0.13295,,,,,,,,,,,,,,,
2,181,2,4,,,,,,0.1439099999999999,,0.28973,0.092237,,,,,,,,-0.1824775,0.21625,,,,0.28169666666666665,,,,0.10171050000000001,0.22370666666666664,0.364365,0.73725,0.76739,0.21883,-0.12994,0.24380500000000002,0.349725,0.39105999999999996,0.25413733333333327,0.28342,1.0464,0.5701849999999999,,-0.10755,,,0.37355,,-0.63631,,,-0.1290805,,-0.1351099999999999,,,,,,,,-0.19367,-0.11875125,-0.121764,-0.14028,-0.066218
2,569,2,1,,-0.79531,-0.75522,-0.2976,,,-0.763045,-0.8373550000000001,,-0.36539666666666665,-0.160218,,,-0.3210699999999999,-0.18417,-0.09226,0.035834500000000005,-0.05275700000000002,0.0685915,0.0407235,0.125795,0.15571459999999998,-0.1841735,,-0.14017500000000002,0.011389,1.4057366666666666,,0.013344999999999968,1.2551972500000002,0.31842000000000004,,-0.64766,,,,,0.26171,,1.1821733333333333,0.82787,0.79951,-0.52054,1.0792,,0.25782499999999997,-0.26631,,0.029970000000000052,-0.04581249999999998,0.46314,-0.501965,,0.8454599999999999,,-0.31911,,,,0.37905,,,
2,730,2,1,0.31671,0.070852,,,,,1.223,-0.06923,,,-0.3694,-0.28936,0.7426699999999999,0.062276,-0.21883966666666668,-0.29222,-0.16643,,0.2509574,,0.2037845,0.2366599999999999,,-0.16929,-0.26649,-0.18072000000000002,0.56543,,0.10658000000000004,0.93421,,,0.005099999999999993,,,,,0.89705,-0.003477,0.49585999999999997,0.112779,-0.20168666666666668,0.0489343333333333,0.1188806,-0.32366,-0.057794,,,0.007958,-0.30937,-0.43516,-0.30937,-0.38656,-0.1121099999999999,-0.7096,,,,-0.75249,,,,
1,831,1,1,,,,,,,,-0.48257,,,,,,,,,,,,,,,0.5442,,,,,,,0.72539,,,,,0.14825,,,,,,,,0.46366,,,,0.46366,,,1.0072,,,,,,,,,,0.63144,,,
2,210,2,1,-0.10819,,,,,,,,,,,,-0.34556,,,,,,,,,,,,,,,,,,,,,,,,0.53955,,,,,0.28206,,0.29413,,,,,,,,,,,,,,,,,,,
2,711,2,1,,-0.23003,,,-0.527015,-0.64032,0.60965,,1.8811,-0.10121,0.33294,,0.18266,-0.13937925,0.14210499999999998,-0.30874999999999997,-0.09167299999999995,,0.18861875,0.05026349999999995,-0.030840000000000055,0.041912666666666674,-0.18232,-0.1358025,,0.47463359999999993,0.39973,0.30908,0.78856,,0.9364475000000001,,0.29716,,0.57387,0.60011,,0.48084,,,0.330555,-0.079743,,0.08246666666666666,,,0.26057766666666665,-0.14415,,-0.48924666666666666,-0.33419133333333334,,,,,,,1.2537,,,,1.2298499999999999,0.6060545
1,144,1,1,,0.10872733333333334,,,,,,,,-0.039325,-0.15519,,,,0.0636679999999999,,,,,,,,,,,,,0.58829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,770,2,1,0.001153,,,,,,0.089031,0.076769,0.089031,,,,,,,,1.0455,,,2.2288,1.4777,2.68655,1.818,1.4617000000000002,,,,0.61221,,,,,,,,,,,0.43441,,,,0.56112,0.4684766666666667,0.48551,0.23822,,1.14767,1.6484,0.18917,0.49879,,0.30498,,0.042025999999999994,0.26479,0.21062999999999998,,,,0.18406,0.3669699999999999,
0,99,2,2,,,,,,-0.48805,-0.40570499999999987,-0.10815,-0.32149,-0.36266,,,,,,,-0.534835,-0.2672199999999999,,-0.25225,,-0.41318999999999995,,-0.4730749999999999,0.4314466666666667,0.334445,0.5243899999999999,0.877145,0.8406600000000001,,0.7077899999999999,0.48883,0.625445,0.1239099999999999,,,,1.0671,,0.86125,0.0939639999999999,0.3603313333333333,0.6248266666666666,0.49258,0.37281,,-0.39635,-0.28968,-0.30278,-0.2354099999999999,,-0.243825,-0.2092099999999999,-0.26909,,,,,,-0.0538785,,0.43456,
0,164,1,1,,-0.13034,0.002114,0.1180099999999999,,0.062132,,,,,,-0.08791299999999995,-0.34144,,,,,0.13457,0.3084199999999999,,0.2753,0.2008,0.23805,,,,,,,,,,1.5036,,-0.1696599999999999,,,,0.19666,,,,,,,-0.23175,,,-0.31867,,-0.24624000000000001,-0.31867,,,,,,,,,-0.22244,,-0.012373
2,648,2,1,-0.092315,,-0.060263,-0.006023,-0.10587549999999996,-0.14779,-0.10217666666666668,,-0.1021799999999999,,,,,0.15053550000000002,,,0.4846086666666667,0.06301,0.32805,0.5783,0.10739,0.16902666666666666,0.10739,,1.1306,,,,,,,,1.101,1.3229,-0.2427099999999999,1.1306,0.2134,0.61035,1.2958,0.21094,,,,0.2873699999999999,0.37613,,-0.01958449999999995,0.099992,0.04945049999999995,-0.04054,-0.13669,0.26887999999999995,0.36626,,,,,,,-0.17614,-0.15888,,
2,244,2,3,,,,-0.011406,0.024774,,0.33632,0.68605,,,,,,,,,0.90514,,-0.008054999999999998,0.44284500000000004,0.82273,0.6217299999999999,0.7574050000000001,0.8187300000000001,0.74836,1.0358,,1.0499,0.8924233333333333,0.8213833333333334,0.77047,,0.25390999999999997,,,,0.72424,0.2649625,-0.039545,,,,,,,,-0.37722,,-0.3933,-0.42545999999999995,-0.23049,,,-0.2817449999999999,,-0.28878,-0.1119,,,,,,0.29813
3,62,2,1,,,,-0.030547,,,,0.276965,0.28447999999999996,,0.563295,0.3407466666666667,0.40134000000000003,,,0.4204699999999999,,0.6610199999999999,,,0.15191049999999995,-0.003213,,,0.27833,,0.532545,,1.3929,,,,0.8387079999999999,0.98356,0.13346,0.91045,1.1574974999999998,0.8332100000000001,0.3589699999999999,0.68972,0.45327,,0.6637500000000001,0.65282,,,,,,-0.2410199999999999,,-0.16995,-0.123485,-0.075649,,,-0.23692,-0.27382,-0.15355,,,,
0,620,2,1,1.0153,0.55198,0.1091099999999999,0.7382166666666666,0.4203699999999999,0.7723599999999999,0.14457,0.6410199999999999,0.5136186666666667,,,1.1138,0.503118,,,0.97593,,0.38097,,,0.62263,0.38097333333333333,,0.32778,1.7758,1.2005,,,1.8112,0.11699,0.5609033333333334,1.7285,1.7285,1.011415,0.93653,0.79074,0.36521,0.818315,1.4881,,,,,,,,0.8840066666666667,0.70603,,0.8157000000000001,1.0173,0.8301270000000001,1.3128,,1.2202,,,1.2202,,,,,0.42431
1,142,2,1,-0.058752,0.047452,0.03633675,,0.040042,,,0.5191899999999999,-0.3008,0.27406,0.47411000000000003,1.5022,0.77235,0.781,-0.0025650000000000533,-0.1489,0.5463666666666667,0.70567,0.61552,0.62293,1.6541,1.6047,,0.593784,-0.20324,1.7751,,,1.247542,,0.95389,,,,0.2351599999999999,,,0.94895,3.3064,,0.61552,0.35495,0.38088,1.87455,0.71462,0.0845,0.4381,0.41298999999999997,1.304,0.5274163333333333,,0.27797,0.22158,-0.055047,-0.17421999999999999,0.6179899999999999,0.20429,-0.10979666666666667,0.84768,-0.27116,-0.10197,,
1,612,2,1,-0.34617299999999995,-0.1228099999999999,-0.32899,,,0.13491,,0.68472,1.5782,,,,,0.27236,,-0.6210800000000001,,1.2861,,,2.0764,,,,1.2345,,,0.54727,,,1.5266,,,,,,,,,,,,,,,,0.27236,,,,0.73626,,,0.63317,,,,,,,,,
1,81,1,3,,,,,,,,,,,-0.34462,-0.4341399999999999,0.24022,,-0.6818,,0.589336,0.5833699999999999,0.4908666666666666,,0.1686099999999999,-0.18349499999999996,,,0.826535,0.67437,,-0.8996299999999999,-0.38043000000000005,,1.1234350000000002,,1.7933499999999998,1.73813,,2.13049,,2.1529,,-0.85487,,,,,,,-0.30882,-0.42917,-0.77132,-0.5594657142857143,-0.5904947999999999,,,,,,,,,,,,
3,28,2,1,0.0045533333333333354,,0.2896,,,,,-0.5968249999999999,-0.27441,,,0.309175,,,,-0.278755,0.30328125,-0.32221,0.350861,0.11753,0.3300115,-0.14405433333333334,0.19625680000000006,,,,,0.35478,1.7248,1.7248,1.263365,0.8683799999999999,1.3351,0.9344433333333333,,0.7804125000000001,0.67545,1.23599,-0.075399,,,,,,,,0.15142333333333333,0.10449,,-0.08713075000000002,0.004900600000000002,-0.28136,,-0.589005,,,,,,,,,
3,718,2,1,,,,0.2107,0.68715,1.1445,1.1922,,,1.0278,0.19641,-0.31578,,,0.30123,,0.17655233333333334,-0.06643533333333333,0.1725799999999999,-0.19905,0.217845,0.2774,,,,1.2565,,,,,,,,,,,1.1279,1.0612,,0.008208,,,,0.53945,,-0.17523,0.6538,,,0.3584,0.56923,0.39175,0.39532500000000004,,,0.15591,0.19164,,,,,-0.22764,
2,18,1,1,,0.46269,-1.013535,,,,,0.74381,,0.1738975,,,,,,0.9558,,0.36745,0.29679,-0.13640666666666648,0.43504,0.13396,0.266065,,,,0.15546,1.067935,0.7135933333333333,0.15546,2.6256,0.26607,1.9486666666666668,1.2932533333333334,0.57329,2.0582333333333334,2.1893,1.4796,-0.24086,,1.2277,1.0956,0.871305,,0.90203,,0.513385,0.48727,0.4504,1.0372,,,0.67775,0.0003150000000000097,,,,,,0.42275,0.74842,0.4043199999999999,0.4043199999999999
2,1001,1,2,,,,,-0.13785,,,-0.39196400000000003,-0.49188,,,,-0.36207,0.99899,,-0.39747,,,0.94392,0.8573799999999999,,,0.93606,,,,0.452185,,1.9037,1.1445,0.67052,1.1445,,,1.9037,1.4454500000000001,,,0.11391,0.8091925,,-0.16932,-0.000167,-0.10506599999999999,,,,-0.36207,-0.36994,,-0.3542,,-0.24406,-0.30109499999999995,-0.50762,,,-0.06999075000000002,-0.4171399999999999,-0.30306,,,
