fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g131,chr7-g132,chr7-g133,chr7-g134,chr7-g135,chr7-g136,chr7-g137,chr7-g138,chr7-g139,chr7-g140,chr7-g141,chr7-g142,chr7-g143,chr7-g144,chr7-g145,chr7-g146,chr7-g147,chr7-g148,chr7-g149,chr7-g150,chr7-g151,chr7-g152,chr7-g153,chr7-g154,chr7-g155,chr7-g156,chr7-g157,chr7-g158,chr7-g159,chr7-g160,chr7-g161,chr7-g162,chr7-g163,chr7-g164,chr7-g165,chr7-g166,chr7-g167,chr7-g168,chr7-g169,chr7-g170,chr7-g171,chr7-g172,chr7-g173,chr7-g174,chr7-g175,chr7-g176,chr7-g177,chr7-g178,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195
1,53,1,3,,,,,-1.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.40657,,,-1.0424,-0.15359,,,,,,,,,,,0.8377899999999999,,,,,,,0.42073,,,,,,,,,0.14724
1,942,2,1,,,,,,0.92267,0.55429,0.25675,,,1.0218,,0.33231666666666665,,,,,,,,,,,,,,-0.08329,,,,,,,,,,,,,,,0.086733,,,-0.11163,0.030057,,,,,,,,,,,,,,,,,,,
0,544,1,1,0.1683295,,,,,-0.47833,-0.3805199999999999,,,,,-0.13055,,,-0.42399,-0.92393,,,,,-0.59788,,-0.85508,,,-1.2608,,,,,,,,,,,,,,,-1.1087,,,-1.2717,,0.1031175,-1.3587,-1.0435,-0.7283,,,,,,,,,,,,,,,,
1,94,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4027,-0.4027,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21047,,0.13563,,,,,0.68753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,843,2,2,,,-0.2458699999999999,,,,,,-0.097283,,,,0.26886899999999997,1.431,-0.70223,,,,,,,,,,,,,0.0513,,,,-0.017685499999999944,,,,,,,,,,-0.45813,,,,,-0.37322,-0.2034099999999999,-0.22464,-0.61732,,-0.28832,-0.45813,-0.0017649999999999888,,,,,,,,,,,
2,210,2,4,,,,,,,,,,,,,,,,,,-1.1752,,-1.3989,,,,-0.71658,,,-1.1081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,1,1,,-0.74349,,,0.4293399999999999,,,,,,,,,,,,-0.6200399999999999,-0.3878166666666667,-0.5627199999999999,-0.017450000000000004,,0.51753,-0.1614799999999999,,,-0.74349,,-0.196755,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7962,,-0.38194,,-0.27612,-0.17912,,,,,
2,210,2,3,,-0.70539,,,,,,,,-0.99622,,,-1.06895,-1.1304,-1.1416,,,,-1.3541,-1.2758,,-1.39325,-1.0633,-1.6338,,-1.1864,,,-1.6338,,,-1.0521,,,-0.58236,,,,-0.571175,,,,,-0.0902179999999999,,,,,,,,,,,,,,-0.86198,-0.9291,-0.78369,,,,,
0,620,2,1,,,,,2.939475,0.9511,,1.6745,,,,,,,,,,,-0.6968300000000001,,,,,,,,,,,,,,,,,1.5898,,,,,,,,,,0.06537,,,-0.31573,-0.45335000000000003,0.17123,,,-0.21693,-0.80269,,,,,,0.079485,,,,
