fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224,chr7-g225,chr7-g226,chr7-g227,chr7-g228,chr7-g229,chr7-g230,chr7-g231,chr7-g232,chr7-g233,chr7-g234,chr7-g235,chr7-g236,chr7-g237,chr7-g238,chr7-g239,chr7-g240,chr7-g241,chr7-g242,chr7-g243,chr7-g244,chr7-g245,chr7-g246,chr7-g247,chr7-g248,chr7-g249,chr7-g250,chr7-g251,chr7-g252,chr7-g253,chr7-g254,chr7-g255,chr7-g256,chr7-g257,chr7-g258,chr7-g259,chr7-g260,chr7-g261,chr7-g262,chr7-g263,chr7-g264,chr7-g265,chr7-g266,chr7-g267
3,455,2,1,,,,,,,,0.39037,,,,,,,,,,,,,,,,,,,,,-1.7066,,,,,,,,-1.3930333333333333,,-1.3467,,,,,,,,-1.5194,,,,,,,-1.7785,,,,
1,612,2,1,,4.0351,,,,,,,,,,,,,,,,,,,1.0455,1.65545,2.8668,2.798,4.8426,,,-1.1881,,,-0.55235,,,1.9046,,0.99398,,,,,,-0.24308,,,,,,-0.139993,-0.42349,,,,-0.44926,,,,-0.77571,
2,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6722100000000001,,,,,,,,,-0.13987,-1.0279,-0.4160525,,,,,-0.6934100000000001,-0.41546,-0.7146100000000001,-0.53088,-0.34872333333333333,-0.4539366666666667,,,-0.2705995,,-0.44372999999999996
0,620,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28884,-0.8286399999999999,,,,,-0.98624,,,,,,,-0.33612,,,,,,,,,,,,,,,,,
2,591,2,1,3.2968,4.9036,,,,,,,,,,,,,-0.4847399999999999,-0.33107,0.28459,,,,,-0.26493,-0.17739,,,-0.54504,,,,,,,,,,-0.24547,-0.23185999999999996,-0.16767,,0.119255,,,,0.0482555,0.216515,0.15913,0.22333,,-0.286325,,,,,-0.45945,-0.45751,,,
0,406,1,1,5.5016,5.7302,3.4889,6.1458,,,,,,,,,,,-0.27387,,-0.087662,,,-0.1149099999999999,0.17803,0.100816,-0.2557,-0.451,,,,,,-0.4214699999999999,,,,0.11217,0.20073249999999995,,,,,,-0.11718400000000007,,-0.581565,,-0.4668899999999999,,,,-0.39195,1.1499,0.9433,,-0.1103705,0.2881600000000001,,1.0028925,,0.996675
2,18,1,1,,-0.38219,,-0.30845,-0.6433300000000001,-0.36375,-0.66791,,-0.6633,,,,,,-0.33303,,,,,,,-0.36683,-0.054989999999999956,,,,,-0.29616,0.16775,0.115525,-0.25315,-0.52505,-0.35146,-0.35146,-0.5358,,,,,,,,,0.47805,0.252245,,,,,,,,0.61631,,,,0.48727,-0.10568
2,210,2,3,-0.15143999999999996,-0.001578,,,,-0.6171300000000001,-0.27516,,,,,,,,,,,-0.3355045,,-0.6251800000000001,,-0.58897,,,,-0.11423,,-0.13837,,,,-0.25705,,,-0.32947,-0.33752,,-0.23492,,-0.35964,,-0.22889,,-0.28522,,-0.22889,,-0.021694,-0.1589875,-0.11825,,,,,-0.18463,,,
2,636,2,2,0.992765,0.6618366666666666,,1.0376233333333333,1.55355,,0.275955,0.057012666666666705,,-0.20619,-0.269075,-0.08739666666666666,0.0442,,0.031392,,,,,-0.18755499999999994,,,,-0.33429499999999995,-0.026838,-0.0862339999999999,,,,,,,-0.2411199999999999,,,,,-0.49035,-0.4228,,-0.3529199999999999,-0.21084,,-0.28829,-0.28071999999999997,,,,-0.26674,-0.46007,-0.2411199999999999,,0.34117,,,0.33884,0.6463,0.7313125
3,157,2,3,-0.24535,-0.34176,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.096908,,,,,,,,,,,,,,,,,,-0.2882,,,,-0.4045,,,,,,
0,55,2,2,,,,0.17204,,,,,,,0.0465779999999999,,,,,,,-0.24455,,,-0.20755,-0.28154,,,,-0.62253,,,,,,0.29749,0.054621,,,,,,,0.035319,0.131825,0.12297999999999999,0.11092,0.15273,0.05864249999999999,0.059446,-0.038668,0.1463,,,0.06588,,,-0.084509,,,,
1,194,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27579,,0.12185,-0.021120499999999993,,,,,,,,,,,,,,,,,,1.200865,1.3505,0.38322749999999994,0.37428999999999996,0.8322350000000001,0.22461,,,,
2,555,1,2,,,,1.1801,,1.5577,,,,,,,,,,-0.45821,0.61217,,,,,,,,,,,-0.055646,0.047335,,,,,,,,,,,,,,,,,0.20961,0.20961,0.1393915,,,0.389045,-0.14927,0.15656,0.40933,,,,
2,569,2,1,0.56679,0.35949,,,0.57657,0.9393449999999999,,0.99507,,0.20597700000000002,0.15708299999999997,-0.18613,,,,,,0.048547999999999945,-0.31716,-0.36018,-0.07954849999999995,-0.30151,-0.055103,,0.11503999999999995,,,,0.07690499999999999,-0.3093349999999999,,0.11243000000000003,0.1756625,0.143069,0.295935,0.1743566666666667,0.1399725,-0.14506149999999995,-0.005233750000000002,,-0.059014,,-0.094215,-0.16396766666666668,-0.06684,-0.14408499999999996,0.007478,-0.2395866666666667,-0.24381999999999998,-0.332805,-0.16950850000000006,-0.24577549999999998,0.062236,0.023125,-0.059014,-0.18612974999999998,-0.15581499999999998,-0.09486733333333336
0,610,2,1,,,,,,,,,,,,,,-0.5646100000000001,,,,,,,,,,,,,,,,,,,0.09038000000000006,,,0.98668,-0.05244,,,,,,,,,,,,,,,,,-0.017967,,,,
3,157,2,2,,,,,,,,,,,,,,,,,,,,,,-0.096908,,-0.16883,,,0.13876,,0.083671,,,,,-0.006618,,,,,,,-0.121395,,-0.082371,,0.028579,,-0.083135,,0.060206,,,-0.0158,0.039292,,,0.028579,,
2,260,1,1,,0.97022,,,,0.57985,0.57038,0.42606,,0.59641,0.0889159999999999,,,,-0.040814333333333334,0.19893,,-0.080246,,,,,-0.11810133333333334,-0.44933,,,0.30658349999999995,0.41423,0.08891774999999999,0.08359475,0.4426199999999999,-0.26242,-0.00571950000000002,0.00824020000000002,-0.063685,0.03962733333333334,-0.06368400000000005,-0.14176,-0.160685,-0.282535,-0.138802,-0.18986666666666666,-0.23757999999999996,-0.275435,-0.30028,-0.20682499999999998,-0.11810200000000001,-0.11731233333333331,-0.20563900000000004,-0.17054466666666665,-0.08379500000000001,-0.27898,-0.3665199999999999,-0.3215699999999999,-0.32394,-0.203275,-0.31684,-0.25414000000000003
2,172,2,2,,9.5855,,,11.0573,,,3.4126,1.5728,,,-0.35648,,-0.48544,,,,-0.39946,-0.47856,-0.29113999999999995,0.003465666666666669,0.11982,0.30036,,0.17225849999999998,,0.04415999999999998,,,,0.26252666666666663,0.33990999999999993,,0.2247,0.078548,0.1628,0.07224333333333334,-0.0796419999999999,0.16538,0.42072,-0.0452529999999999,0.149045,0.09488200000000001,0.036708333333333336,0.23674,-0.43385,0.089727,,-0.44761,0.52045,0.445655,1.005355,0.69927,,-0.52154,1.0965,0.31970475,
0,884,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2411599999999999,,,,,,,,,,,,,1.4711,,1.9470999999999998,,,,,,,,,,,,,,
0,99,2,3,,,,,,,,,,,,,,,,,,,,-0.1175099999999999,,,,,,,,,0.2942099999999999,,,,,-0.066978,0.05965566666666666,,-0.061364,,,,,,,-0.093178,,,,,-0.24289,,,,,,,,,
1,831,1,1,,,0.8327600000000001,,0.73881,,0.71868,,,,,,,,,,,,,,,,,,,,,,,0.34958,,,,0.33616,,,0.18181,,,1.1817,,,,,,,,,,,,,,,,,,
2,648,2,1,,,,,1.1478,,1.1737125000000002,0.32353666666666664,-0.69266,0.10985449999999995,-0.22298425,-0.283387,,-0.431315,-0.5837666666666667,-0.37337750000000003,-0.16135,,,,-0.505285,,,,,0.44023,,,,,,,,,,,0.20847,0.045752,,-0.186,,,,,-0.35858999999999996,-0.076289,,,,,,,,,,0.034249999999999996,-0.02821233333333333,0.11355199999999999
2,808,2,1,,2.9548,,,,,-0.30033,,,-0.1156,-0.034431,-0.3703,-0.24715,,-0.30313,,,-0.5606300000000001,,,,,,,,,,,-0.012039,,0.97319,,,,,,0.1419,0.024347,,-0.29893000000000003,-0.32552,-0.023235,,,,,,,,,,,,,,,,
3,718,2,2,,,3.846,,,,,1.0183,,,,-0.29196,,,,,,,-0.31578,,,,,,,,,,,0.8682,0.12494,,,,,,,,-0.058495,,,0.1463799999999999,,,,,,0.94682,0.02012,0.19997999999999996,,,-0.11329,0.38460360000000005,0.91823,0.9087,0.30837,0.7121649999999999
