fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g131,chr7-g132,chr7-g133,chr7-g134,chr7-g135,chr7-g136,chr7-g137,chr7-g138,chr7-g139,chr7-g140,chr7-g141,chr7-g142,chr7-g143,chr7-g144,chr7-g145,chr7-g146,chr7-g147,chr7-g148,chr7-g149,chr7-g150,chr7-g151,chr7-g152,chr7-g153,chr7-g154,chr7-g155,chr7-g156,chr7-g157,chr7-g158,chr7-g159,chr7-g160,chr7-g161,chr7-g162,chr7-g163,chr7-g164,chr7-g165,chr7-g166,chr7-g167,chr7-g168,chr7-g169,chr7-g170,chr7-g171,chr7-g172,chr7-g173,chr7-g174,chr7-g175,chr7-g176,chr7-g177,chr7-g178,chr7-g179,chr7-g180,chr7-g181,chr7-g182,chr7-g183,chr7-g184,chr7-g185,chr7-g186,chr7-g187,chr7-g188,chr7-g189,chr7-g190,chr7-g191,chr7-g192,chr7-g193,chr7-g194,chr7-g195
1,53,1,3,,,,,-0.42398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.84746,,,-0.66001,-0.8891100000000001,,,,,,,,,,,-0.75026,,,,,,,-0.81043,,,,,,,,,-0.6391899999999999
1,942,2,1,,,,,,-0.12272,-0.2505,0.8355799999999999,,,0.63479,,0.8629433333333333,,,,,,,,,,,,,,-0.51517,,,,,,,,,,,,,,,0.598285,,,0.30623,0.27885,,,,,,,,,,,,,,,,,,,
0,544,1,1,1.0701450000000001,,,,,0.19597,-0.065063,,,,,-0.40501,,,-0.62962,-0.27753,,,,,-0.41412,,1.1976066666666665,,,-0.4657199999999999,,,,,,,,,,,,,,,3.1341,,,4.154,,-0.15005000000000002,1.8138,2.6333,1.2826,,,,,,,,,,,,,,,,
1,94,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41977,-0.41977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,157,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39532,,-0.2912599999999999,,,,,-0.52693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,843,2,2,,,0.069537,,,,,,-0.12867,,,,-0.071755,-0.2169699999999999,-0.29743,,,,,,,,,,,,,-0.33864,,,,-0.369055,,,,,,,,,,-0.26015,,,,,-0.0737179999999999,-0.010922,0.3992199999999999,0.89374,,0.31679999999999997,0.53855,0.46593999999999997,,,,,,,,,,,
2,210,2,4,,,,,,,,,,,,,,,,,,-0.37775,,-0.2329099999999999,,,,-0.39988,,,-0.31137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,1,1,,-0.5757399999999999,,,-0.52351,,,,,,,,,,,,0.18004,0.02233166666666667,-0.024263499999999993,-0.18658433333333335,,-0.016585,-0.5757399999999999,,,-0.15791,,-0.23011,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49649,,-0.35454,,-0.019657,0.038717,,,,,
2,210,2,3,,0.32028,,,,,,,,-0.030746499999999947,,,-0.48839,-0.063938,-0.086065,,,,-0.15044,-0.30734,,-0.299295,-0.37574,-0.44816,,-0.21883,,,-0.44816,,,-0.2087699999999999,,,-0.051868,,,,0.004457000000000001,,,,,-0.5769,,,,,,,,,,,,,,-0.41798,-0.69558,-0.13032,,,,,
0,620,2,1,,,,,0.4499275,-0.13518000000000002,,-0.087898,,,,,,,,,,,-0.30854,,,,,,,,,,,,,,,,,-0.12336,,,,,,,,,,-0.13518,,,-0.028797,-0.44250500000000004,-0.48585,,,-0.51737,-0.4582699999999999,,,,,,-0.60011,,,,
3,157,2,2,,,0.18161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.10303,-0.0739529999999999,,-0.042581499999999994,-0.06783,,,,,,,,,,,,,,,,,,,,,,,,,
0,55,2,2,,,,,,,,,,,,,,,-0.21881,,-0.010524999999999951,,,-0.019367,-0.18504,,,,0.0329065,0.09644000000000001,,,,,-0.16895,,,,,,,,0.17204,,,,-0.057969,,,,,,-0.156085,-0.09764233333333333,-0.2477599999999999,-0.40378,0.0648073333333333,0.114134,0.007439000000000001,0.009585,,,,,,,,,
0,99,2,2,,,,,,,,,,,,,,,,,,,,,,,,0.04905,,0.07525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,89,2,2,,,,,-0.003812,0.022854,,,,,,,,,,,,,,,,,,,0.15263,,,,,,,0.2379599999999999,0.17218,,,,,,,,,,,,,,,,,-0.34514,-0.089144,,,,,,,,0.001521,,,,,,
