fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657,chrX-g658,chrX-g659,chrX-g660,chrX-g661,chrX-g662,chrX-g663,chrX-g664,chrX-g665,chrX-g666,chrX-g667,chrX-g668,chrX-g669,chrX-g670
2,947,1,1,,,,,,,,,,,,,,-1.1308,-0.21464,,,,,-0.33679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,663,1,1,,,,,,,,,,,,-0.316175,-0.8207700000000001,-1.0148,-1.141,0.091379,,,,,,,,,0.81915,,-0.3744,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,,,,,,,,,,,,,-0.5488,-0.37356999999999996,,,,,,,,,,,,-0.8396100000000001,-0.7277600000000001,,-1.3429,,,,,,,,,,,-1.0745,,,-0.59354,-0.67184,,,,
3,28,2,1,,,,,,,,,,,,,,,,,,,1.7842,,2.6745,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,172,2,3,,,,0.11622,,,,,,,,0.44272,-0.79187,,,,,,,,,,,-0.40924499999999997,-0.21029,,-0.28171,-0.16947,,,,,,,1.0651,,,0.72841,,,,,,,,,,
1,142,2,2,,,,,,,,,,,,,,,,,,,1.5344,0.4948899999999999,,,,,,,,,,,,0.23671,,,-0.56501,-0.8458566666666667,-0.94549,-0.041854,,-0.9319,,-0.4766899999999999,,,,,,
2,841,2,1,1.2497,,1.0863866666666666,,,,,,-0.37425,,,,-0.6542399999999999,,0.066745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,84,1,1,4.5563,,,,,,,,,,,,-0.3110699999999999,1.0477,,,,,,,0.20947,,0.5238149999999999,,-0.013621,,2.393,,-0.15559,1.7846,1.23365,,-0.91273,,0.1689,0.310871,-0.4327433333333334,-1.0074,,,1.041,-0.48008,-1.102,0.11482,-0.93301,,,
0,750,1,1,,,,,,,,0.042095,,,,,,,,,,1.2803,,0.9031,,,,,,,,,,,,,,,1.9117,1.2885,,,,,,,,,,,,
2,808,2,1,,,,-0.49476,-0.66704,-0.19154000000000004,,,-1.1012,,-0.2466699999999999,-0.3845,-0.54989,-0.60502,-0.8668899999999999,,-0.41206,,,,,,-0.322474,-0.026148,,,0.42868,,-0.515435,0.13924,0.7319,,0.7319,,,,-0.04911999999999996,-0.41206,-0.80487,,-0.48098,-1.0461,-1.2115,,-1.0185,,,-0.4671899999999999
3,157,2,2,,,,,,,,,-0.28531,,,,-0.27595,-0.47239,,,,,,,,,,,-0.8746200000000001,,,,,,,0.30401,-0.15435,0.28062,0.051444,,,,,,,,,,,,,
1,194,1,1,,,,0.90208,0.536152,1.0369,,-0.24386,,,,,,,,,0.5120750000000001,,,0.96949,,,,,,,,,,1.2006,,,0.96949,-0.37867,0.2424399999999999,,,0.34355666666666657,1.7688,,0.92134,,1.0273,,,-1.2261,,
0,613,1,2,,0.54177,0.69222,0.508115,,0.45466,,,4.0734,3.0995,,,,,,,1.1832,,,,,0.5496800000000001,,,,,,,,,,1.6979,,1.9776733333333334,3.7805,2.9846500000000002,,,,,,,,0.6447099999999999,,,,
2,244,2,3,,,,,,,,,,,,,,,,-0.3551,,,,,,,,,,,,,,,,,,,,,,0.77246,,,,,,,,,,
3,91,2,1,-0.54532,,,,,,,,,,,,,,,-0.94945,,,,,,,,-0.82436,,,-0.46353,,-0.44910000000000005,,-0.13157,,,,,,0.686325,-0.47796,,0.85951,-0.35288,,,,,,,
2,1001,1,2,,,,,,,,,,,,,,,,-0.34460999999999997,,-0.27887,,-0.001307,,,,0.897135,1.9709,2.862,1.3281,1.5399500000000002,2.7792333333333334,,2.3361,,,2.8766499999999997,1.3281,1.2697,,0.21052000000000004,,,-0.13279,,,,0.254345,,,
0,353,1,1,,,,,,,,,-0.38813,0.4563899999999999,,-0.22211,-0.33038,,0.54301,,,,,0.52857,,,,,,-0.020005,0.3409,0.514135,0.52857,,-0.034441,,0.25428,0.1027,,0.5911266666666667,0.283157,-0.35204,,,-0.8284299999999999,0.308415,,,0.299996,0.7379,,
2,555,1,1,,,,,,,,,,,,,,,,,1.0207,0.61939,,,,,0.20658,,,,,,,,,,0.41298,,,1.1469,,,,,,,,,,,,
3,157,2,1,,0.2011099999999999,,,0.55657,-0.042098,,,-0.29466,0.70624,,-0.32973749999999996,0.44432,-0.36248,-0.3274,,,,-0.50045,,,,,-0.20112,,,,,,,,,,,,,,,,,,0.004673,,,,,,
1,144,1,2,,-0.2644,,,,,,,,,,,,,,-0.6469199999999999,-0.99212,,,,,,,,,0.1367799999999999,,,,0.13211699999999998,,-0.8521799999999999,0.034155,-0.1337799999999999,,,,,,,,,,,,,,
0,817,1,1,,,,,,,,,,,,,,-0.067485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
