fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98,chr7-g99,chr7-g100,chr7-g116,chr7-g117,chr7-g118,chr7-g119
3,455,2,1,,2.1802,,1.5996,1.06214,1.35165,,,-0.35339,-1.0396,0.28481,,-0.4413500000000001,-1.1068,,,,,,,,,,,,-0.67009,-0.49977,,,,-0.33899,,,,,,,,,,,,,,
2,210,2,2,-0.4763199999999999,-0.48034,,,-0.53264,,,,,,-0.5728800000000001,-0.52862,-0.45721,,,,,,,,,,,,,,,-0.4904,,-0.51454,,,,,,,,,,,,,,,
1,53,1,2,,,,,,,,-0.66233,,,,,,-0.40315,,,,,,,,,,,,,,,-0.39158,,,,,-0.41935,,,,-0.53505,,-0.3638099999999999,,,,,
1,194,1,1,,,,,,,,,,,,-0.7538600000000001,-0.58408,,,,-0.17303,-0.17303,,,-0.16409,0.60439,0.045898,-0.08813999999999995,,,,,-0.8879,-0.87003,,-0.47238,,0.6341733333333334,,1.0601,,,0.78757,0.919375,,,-0.58408,-0.1015399999999999,
2,210,2,3,,-0.09947399999999999,0.11509399999999999,,,0.45707,,,,,,,0.36856,0.36856,,,,,,,,,,,-0.2168199999999999,-0.22084,,,,,,,,-0.34556,,-0.44011,,-0.30332000000000003,-0.20374499999999995,,,,,-0.2771699999999999,
0,620,2,1,1.169,,0.816353,1.565,0.6173833333333333,-0.31642,-0.020916500000000053,,,,0.0460649999999999,,,1.3069,,,,,,-0.17852,0.39673,,0.12880766666666665,,0.18791,,,,,,,-0.21398,,,,0.010604,0.4046099999999999,,0.010604,0.4216866666666667,0.28641,,,,
1,94,1,2,,-0.13396,,-0.17092,-0.21773,-0.14628,,-0.050191,,,,,,,,,,,,,-0.43948,-0.36064,,,,,,,,,,-0.19679,,,,,,,-0.4247,,,,,,
0,26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19164,,,,,,,,,,,,,
0,55,2,2,,-0.135975,,-0.1528633333333333,-0.12552366666666662,-0.15287,0.040145,,,,-0.14,,,,,,,,,,,,,-0.1786,,,,,,,,,,-0.18664,,-0.0258009999999999,,-0.11266,,-0.2172,,,,,
3,157,2,3,,,,,,,,,,,,-0.29738,,,,,,,,,,,,,,,,-0.15353,,,,-0.090787,,,,,,,,,,,,,
