fov,cellID,rep,dbscan_ldp_nbr_allele,chr11-g340,chr11-g341,chr11-g342,chr11-g343,chr11-g344,chr11-g345,chr11-g346,chr11-g347,chr11-g348,chr11-g349,chr11-g350,chr11-g351,chr11-g352,chr11-g353,chr11-g354,chr11-g355,chr11-g356,chr11-g357,chr11-g358,chr11-g359,chr11-g360,chr11-g361,chr11-g362,chr11-g363,chr11-g364,chr11-g365,chr11-g366,chr11-g367,chr11-g368,chr11-g369,chr11-g370,chr11-g371,chr11-g372,chr11-g373,chr11-g374,chr11-g375,chr11-g376,chr11-g377,chr11-g378,chr11-g379,chr11-g380,chr11-g381,chr11-g382,chr11-g383,chr11-g384,chr11-g385,chr11-g386,chr11-g387,chr11-g388,chr11-g389,chr11-g390,chr11-g391,chr11-g392,chr11-g393,chr11-g394,chr11-g395,chr11-g396,chr11-g397,chr11-g398,chr11-g399
2,118,1,1,,,,,,,,,,,,,,0.04606999999999998,0.300627,1.6543,,,,,,,,,,,,,,,,,,-0.63974,-0.7116199999999999,,,,-1.2806,,,,,,-1.0351,-0.9531999999999999,,-1.0051,-0.75654,,,,0.031094,-0.15059133333333333,-0.15758,-0.17854,-0.442085,-0.63375,,
1,826,1,1,,,,,,,,,,,,,,,,,,,,,,,,-0.4361399999999999,,,,,,,,,,,-0.615855,,-0.56733,,,,-0.10905,,,,0.39775,,,11.3282,0.2036599999999999,,,,,0.10302,,0.56309,,,0.600835,0.63858
1,53,1,2,-0.5188550000000001,-0.59522,,,-0.584805,,,,,,,,,,,,,,-0.7248100000000001,,-0.59059,-0.68084,,,,,,,,,,,-0.58288,,,,,-0.38927,-0.45406,,,,-0.45406,,,,-0.60216,,,,,,,,-0.59059,,,,,
0,37,1,1,,-0.5628,-0.68067,,,,-0.44493,,-0.4926399999999999,,,0.051824,-0.5010549999999999,-0.49544,-0.28776,-0.4299566666666666,-0.58806,-0.32705,,,-0.4786,,,,,,,,,,,,,-0.53754,,,,,,,,,,,,,,,,,,,,,,,,,,
2,603,2,1,,-0.83654,-0.40758,,-0.581715,-0.8407899999999999,,-0.643295,-0.71125,-0.63905,,-0.70701,-0.66666,-0.55198,-0.61569,,-0.4988899999999999,-0.494644,,,-0.5675533333333332,,,-0.74735,,,,,,,,,,,-0.51376,,,,,,,,,,-0.5456099999999999,-0.59446,-0.59233,,,-0.31839,-0.43837500000000007,,-0.6974499999999999,-0.8323,-0.5774699999999999,,-0.717625,,-0.54986,
2,1001,1,3,,,,,,,,,,,,,,,,,-0.094575,,,,-0.20472,,,,,-0.52335,,-0.40141,,,,,-0.48795,,,,,,0.14931,,,,-0.21652,,,,,,,-0.3424,,,,,,,,,,
2,841,2,1,-0.0262699999999999,,,,,,,-0.20319,0.34634,,,,,,,,,0.28736,0.16405,,,0.23375,,,,,,,,,,-0.42568,,,,,,,,,,,,,0.22839,,,,0.05683,,,,,,,,0.11848,0.29541,,
3,86,2,2,,,,,,-0.39107,,,-0.29867,,-0.30023,-0.1193355,-0.19843,-0.30219,,-0.10759,-0.214875,-0.30728,,-0.25011,-0.20939,-0.1357799999999999,,,,,,,-0.36915,,,,,,,,,,,-0.24593999999999996,-0.3159,,-0.26108,,,,-0.26264,,,,,,-0.30493,-0.23236333333333326,,,,-0.16867,-0.13265,
2,711,2,2,-0.60216,-0.31113,-0.47096,,,,-0.63317,-0.027264,0.007324499999999998,-0.14892,,,,0.09041700000000001,,,,,,,,,,,-0.051118,,,,,,,,-0.11552,-0.45187,-0.36838,-0.42086,,-0.39939,,-0.34214,,,,,,,0.120636,-0.5496800000000001,,,,,-0.49481,-0.30635999999999997,-0.38747,,,,,
3,157,2,3,,,,,,,,,,-0.2025,,-0.15659,,,,,,-0.10762,,,,,,,,,,,,,,-0.27443,-0.37696,-0.18261,-0.37696,,,,,,,,,,,,,,-0.46266,,,-0.5361100000000001,,,,,,,,
