200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,MLI1_pol_ass,MLI1_spk_ass,Bergmann_pol_ass,Bergmann_spk_ass
chr1-g15,chr1,3000000,3200000,0.38839,,,,,,,,1,0,0,0,0
chr1-g16,chr1,3200000,3400000,0.3847649999999999,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0
chr1-g17,chr1,3400000,3600000,0.383925,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0
chr1-g18,chr1,3600000,3800000,0.389235,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,1,0,0,0
chr1-g19,chr1,3800000,4000000,0.386285,,,,,,,,1,0,0,0,0
chr1-g20,chr1,4000000,4200000,0.38634,,,,,,,,1,1,0,0,0
chr1-g21,chr1,4200000,4400000,0.382965,Rp1,1.0,118396,118396.0,118396.0,118396.0,118396.0,1,0,0,0,0
chr1-g22,chr1,4400000,4600000,0.415835,"Rp1, Sox17",2.0,"118396, 6427",118396.0,6427.0,62411.5,62411.5,1,0,0,0,0
chr1-g23,chr1,4600000,4800000,0.4117499999999999,Mrpl15,1.0,12527,12527.0,12527.0,12527.0,12527.0,1,0,0,0,0
chr1-g24,chr1,4800000,5000000,0.40512,"Lypla1, Tcea1, Rgs20",3.0,"38913, 39582, 160710",160710.0,38913.0,79735.0,39582.0,1,0,0,0,0
chr1-g25,chr1,5000000,5200000,0.4072749999999999,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1,0,0,0,0
chr1-g26,chr1,5200000,5400000,0.4002549999999999,,,,,,,,1,0,0,0,0
chr1-g27,chr1,5400000,5600000,0.389595,Oprk1,1.0,17641,17641.0,17641.0,17641.0,17641.0,1,0,0,0,0
chr1-g28,chr1,5600000,5800000,0.383025,Oprk1,1.0,17641,17641.0,17641.0,17641.0,17641.0,1,0,0,0,0
chr1-g29,chr1,5800000,6000000,0.390765,Npbwr1,1.0,3692,3692.0,3692.0,3692.0,3692.0,1,0,0,0,0
chr1-g30,chr1,6000000,6200000,0.40032,,,,,,,,1,0,0,0,0
chr1-g31,chr1,6200000,6400000,0.391825,"Rb1cc1, Alkal1",2.0,"61443, 35401",61443.0,35401.0,48422.0,48422.0,1,0,0,0,0
chr1-g32,chr1,6400000,6600000,0.400595,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0
chr1-g33,chr1,6600000,6800000,0.3847250000000001,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0
chr1-g34,chr1,6800000,7000000,0.39825,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0
chr1-g35,chr1,7000000,7200000,0.40099,Pcmtd1,1.0,84709,84709.0,84709.0,84709.0,84709.0,1,0,0,0,0
chr1-g36,chr1,7200000,7400000,0.4027199999999999,,,,,,,,1,0,0,0,0
chr1-g37,chr1,7400000,7600000,0.3805399999999999,,,,,,,,1,0,0,0,0
chr1-g38,chr1,7600000,7800000,0.39135,,,,,,,,1,0,0,0,0
chr1-g39,chr1,7800000,8000000,0.3836799999999999,,,,,,,,1,0,0,0,0
chr1-g40,chr1,8000000,8200000,0.387515,,,,,,,,1,0,0,0,0
chr1-g41,chr1,8200000,8400000,0.38193,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g42,chr1,8400000,8600000,0.370575,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g43,chr1,8600000,8800000,0.385165,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g44,chr1,8800000,9000000,0.38213,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g45,chr1,9000000,9200000,0.3801249999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g46,chr1,9200000,9400000,0.38951,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0
chr1-g47,chr1,9400000,9600000,0.404435,"Rrs1, Adhfe1, 2610203C22Rik",3.0,"2048, 30023, 70260",70260.0,2048.0,34110.333333333336,30023.0,1,0,0,0,0
chr1-g48,chr1,9600000,9800000,0.40861,"2610203C22Rik, Vxn, Mybl1, Vcpip1, 1700034P13Rik, Sgk3",6.0,"70260, 25876, 32799, 29761, 23609, 104439",104439.0,23609.0,47790.66666666666,31280.0,1,0,0,0,0
chr1-g49,chr1,9800000,10000000,0.415085,"Sgk3, Mcmdc2, Snhg6, Snord87, Tcf24, Ppp1r42",6.0,"104439, 32317, 2094, 74, 7648, 40515",104439.0,74.0,31181.166666666668,19982.5,1,0,0,0,0
chr1-g50,chr1,10000000,10200000,0.3967199999999999,"Ppp1r42, Cops5, Cspp1, Arfgef1",4.0,"40515, 13560, 98551, 95164",98551.0,13560.0,61947.5,67839.5,1,0,0,0,0
chr1-g51,chr1,10200000,10400000,0.4040249999999999,"Arfgef1, Cpa6",2.0,"95164, 395227",395227.0,95164.0,245195.5,245195.5,1,0,0,0,0
chr1-g52,chr1,10400000,10600000,0.396425,Cpa6,1.0,395227,395227.0,395227.0,395227.0,395227.0,1,0,0,0,0
