fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657,chrX-g658,chrX-g659,chrX-g660,chrX-g661,chrX-g662,chrX-g663,chrX-g664,chrX-g665,chrX-g666,chrX-g667,chrX-g668,chrX-g669,chrX-g670
2,947,1,1,,,,,,,,,,,,,,-1.721,-1.5591,,,,,-0.020894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,663,1,1,,,,,,,,,,,,-0.93288,-0.56921,-1.1808,-0.53615,-1.3241,,,,,,,,,-0.35983,,-0.67942,,,,,,,,,,,,,,,,,,,,,
2,210,2,2,,,,,,,,,,,,,-0.58394,-0.5199033333333333,,,,,,,,,,,,-0.6734600000000001,-0.70162,,-0.7800699999999999,,,,,,,,,,,-0.7398399999999999,,,-0.64731,-0.56081,,,,
3,28,2,1,,,,,,,,,,,,,,,,,,,-0.52122,,-0.5655399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,172,2,3,,,,-0.18969,,,,,,,,-0.2791,-0.6505,,,,,,,,,,,-0.20258199999999996,0.12325,,-0.38399,-0.095117,,,,,,,-0.22924,,,-0.17249,,,,,,,,,,
1,142,2,2,,,,,,,,,,,,,,,,,,,-0.26128,-0.46134,,,,,,,,,,,,-0.12791,,,-0.18348,-0.20406333333333335,-0.23041,-0.33908,,-0.43787,,-0.44652,,,,,,
2,841,2,1,0.1024,,-0.22999999999999998,,,,,,-0.0128669999999999,,,,-0.24072,,-0.42300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,84,1,1,0.53489,,,,,,,,,,,,0.1142799999999999,-0.68267,,,,,,,-0.091599,,-0.443585,,0.4131399999999999,,-0.042897,,-0.2067099999999999,-0.096027,0.011340500000000003,,8.179,,-0.069462,0.16408999999999996,5.7195290000000005,8.6173,,,0.1652,2.6203,7.7407,1.3363,3.4637,,,
0,750,1,1,,,,,,,,-1.5532,,,,,,,,,,-0.22985,,-0.3023575,,,,,,,,,,,,,,,0.5021733333333332,0.12236,,,,,,,,,,,,
2,808,2,1,,,,-0.54384,-0.585825,-0.595615,,,-0.43188,,-0.1715799999999999,-0.26115,-0.43468000000000007,0.120911,-0.55503,,0.074728,,,,,,-0.465465,-0.23595,,,-0.3927,,-0.706175,-0.56903,-0.49066,,-0.49066,,,,-0.30406,0.074728,-0.3647035,,-0.68938,-0.70898,-0.72297,,-0.75936,,,-0.49346
3,157,2,2,,,,,,,,,-0.24535,,,,-0.253,-0.16118,,,,,,,,,,,-0.27596,,,,,,,10.6812,12.2162,11.26585,11.6101,,,,,,,,,,,,,
1,194,1,1,,,,-1.0532,-1.05765,-1.1336,,0.61779,,,,,,,,,-0.29813,,,-0.0658,,,,,,,,,,0.30951,,,-0.052397,-1.4732,-1.51115,,,-1.4404333333333332,-0.19537,,0.868,,1.1584,,,-1.5492,,
0,613,1,2,,0.068964,-0.3014699999999999,-0.358065,,-0.26488,,,1.1002,0.96075,,,,,,,0.36394,,,,,-0.69248,,,,,,,,,,0.000366,,-0.2732653333333333,0.009512,0.044955,,,,,,,,0.389095,,,,
2,244,2,3,,,,,,,,,,,,,,,,-0.14607,,,,,,,,,,,,,,,,,,,,,,-0.83549,,,,,,,,,,
3,91,2,1,3.6841,,,,,,,,,,,,,,,-0.1197599999999999,,,,,,,,6.5476,,,5.816549999999999,,5.161,,8.4176,,,,,,3.55335,5.6741,,-0.10263,8.2837,,,,,,,
2,1001,1,2,,,,,,,,,,,,,,,,-0.19685249999999999,,0.058838,,-0.047372,,,,-0.11620950000000003,-0.043438,-0.28339,0.10604,-0.24602000000000002,-0.185052,,-0.025734,,,-0.17128500000000008,0.10604,-0.004101,,-0.30699499999999996,,,-0.40534,,,,-0.21848499999999998,,,
0,353,1,1,,,,,,,,,0.33528,0.11731,,-0.17032,0.083606,,0.1645,,,,,-0.32087,,,,,,7.4991,-0.4624399999999999,-0.023135000000000044,-0.32087,,-0.2152599999999999,,-0.062457,-0.004032,,-0.13586099999999998,0.10158499999999998,3.4363,,,6.2317,0.0847295,,,0.10158233333333333,0.099335,,
2,555,1,1,,,,,,,,,,,,,,,,,-0.18047,-0.22416,,,,,0.27202,,,,,,,,,,6.8847,,,-0.44261,,,,,,,,,,,,
3,157,2,1,,0.14488,,,0.18161,0.13417,,,0.014806,0.47391,,-0.07586799999999996,0.06275666666666667,0.04158949999999995,-0.0953775,,,,-0.070892,,,,,-0.17189,,,,,,,,,,,,,,,,,,-0.24841,,,,,,
1,144,1,2,,-0.88902,,,,,,,,,,,,,,-0.21313,0.1602299999999999,,,,,,,,,-0.48349,,,,-0.507625,,-0.7281,-0.46095499999999995,-0.30003,,,,,,,,,,,,,,
0,817,1,1,,,,,,,,,,,,,,-0.0035659999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,718,2,1,0.16782,,,,,0.13327999999999995,,0.13209,0.2917,0.144,,0.32743,,0.034413,,,-0.22524999999999995,,,,,,-0.1109,-0.077553,,,-0.082317,0.0129729999999999,,,-0.087082,-0.166885,,,,-0.1204339999999999,-0.0835085,,,,,,,,,,,
2,1001,1,1,,,,,,-0.48401,,,0.22011999999999998,0.001799999999999996,,0.227985,0.53482,,0.38796,,-0.082775,,0.066706,0.1040765,-0.43287,-0.33847,-0.1234223333333333,,-0.21652,0.003766,,,-0.14965,-0.14965,,,,0.2555199999999999,,,0.015568,,,,,0.6351249999999999,,0.26142499999999996,-0.3542,0.24962000000000004,,
0,89,2,2,,,,,,,,,,,,,,,,,,0.21485,,0.061964,-0.15136,,,-0.078477,-0.17803,,-0.011516,-0.08499699999999999,-0.078477,,,-0.28292,,,,,,,,,,0.1153,,,-0.30603,,,
1,843,2,1,,,,,,,,,,,,,0.036176,,,0.06266849999999995,-0.34453,,,0.46202,,,,,1.1155,,0.60233,1.088,0.5621,,,,,0.4659399999999999,,0.1598099999999999,3.2231,2.928755,,,,3.8344,7.1989,1.4805,2.2406086666666667,,,
2,555,1,2,,,0.3094675,0.046293333333333325,0.145635,0.053576,,,,,,,0.15656,,,,,,,,,0.084783,,,,,-0.135225,-0.19608,,,-0.15863,0.062938,-0.20856,,,-0.065008,0.12535,,,,,,,,,,,
