100kb name,n_per_dist(um),chrom,PT_0h
chr1-g30,1.783588544588086,chr1,0.6585697278366771
chr1-g31,1.5909786636468697,chr1,0.8821177771990657
chr1-g32,1.5186268027345884,chr1,0.980582191578012
chr1-g33,1.6564903274389828,chr1,0.8241030773553183
chr1-g34,1.5254879038129705,chr1,0.8342629865751329
chr1-g35,1.7375852332096282,chr1,0.6935331804832188
chr1-g36,1.6856083034374691,chr1,0.6821642268849604
chr1-g37,1.4972681454678298,chr1,1.0003124027532029
chr1-g38,1.6103416375062132,chr1,0.9251133802573289
chr1-g39,1.5779582480894092,chr1,0.7458872196078267
chr1-g40,1.535216446957186,chr1,0.6937905085975491
chr1-g41,1.6944479226381155,chr1,0.6203710380431231
chr1-g42,1.5074297801912246,chr1,0.7907431479340701
chr1-g43,1.5700565566387867,chr1,0.7106092659109858
chr1-g44,1.8425656881219643,chr1,0.22997192338467878
chr1-g45,1.9350371290585384,chr1,0.19458051933403414
chr1-g46,1.877175823022436,chr1,0.20838955339247284
chr1-g47,1.937251658002608,chr1,-0.1818243332432446
chr1-g48,2.204228939039603,chr1,-0.7242811574421473
chr1-g49,1.9658581676777669,chr1,-0.4700288803001433
chr1-g50,1.9969168077742845,chr1,-0.27035102591537435
chr1-g51,1.9159647340430268,chr1,-0.2558362486348819
chr1-g52,1.7440770001084798,chr1,0.30901606383373864
chr1-g53,1.7773399293268015,chr1,0.8109773428647502
chr1-g54,1.6636168387402188,chr1,0.8249918887141139
chr1-g55,1.552524070063428,chr1,0.7680819694608378
chr1-g56,1.7183549644591745,chr1,0.8215183827531696
chr1-g57,1.5984336839923214,chr1,0.8063800178629108
chr1-g58,1.63851039731426,chr1,0.9508653172241941
chr1-g59,1.8989415685312785,chr1,0.49264530619699193
chr1-g60,1.8146255174771464,chr1,0.6682405530106503
chr1-g61,1.762235423746172,chr1,0.5145549446317238
chr1-g62,1.858577913697947,chr1,0.26892589488164215
chr1-g63,1.7246320844818093,chr1,0.5766949798025622
chr1-g64,1.7173654598521102,chr1,0.47085300320517526
chr1-g65,1.7150375396633455,chr1,0.9281749431170324
chr1-g66,1.7237923310433514,chr1,0.9761113489336981
chr1-g67,1.5197537188450547,chr1,0.928585112441989
chr1-g68,1.7624876913484755,chr1,0.777428028010956
chr1-g69,1.7557188519881477,chr1,0.3931408409340921
chr1-g70,1.9232664423112664,chr1,-0.4658525294754846
chr1-g71,2.0178778305308165,chr1,-0.5380060238043292
chr1-g72,1.842087614025242,chr1,-0.021596781362063083
chr1-g73,1.8072076286986245,chr1,-0.152685781281109
chr1-g74,1.9115639321426423,chr1,0.41228211001504134
chr1-g75,1.8476102313035023,chr1,0.3484794213065746
chr1-g76,1.6939183514905949,chr1,0.33521222773955445
chr1-g77,1.7119943112824645,chr1,0.2990927966434565
chr1-g78,1.638334228241737,chr1,0.778826821413692
chr1-g79,1.5640020216531223,chr1,0.9841243542186892
chr1-g80,1.684898951972087,chr1,0.63444991866533
chr1-g81,1.6215451237323726,chr1,0.5432524785241121
chr1-g82,1.5283909538824698,chr1,0.7995204835811559
chr1-g83,1.6534427331258144,chr1,0.9475876778890044
chr1-g84,1.576088527876176,chr1,0.690837506539734
chr1-g85,1.7054418438916752,chr1,0.3642734435810887
chr1-g86,1.7561926919969122,chr1,0.5314330867204529
chr1-g87,1.6137204702818833,chr1,0.6445134484958961
chr1-g88,1.621725143635269,chr1,0.7348169317968384
chr1-g89,1.8411197132625745,chr1,0.30377189941266847
chr1-g90,1.7851070356176932,chr1,0.8434065022278038
chr1-g91,1.6836266578367756,chr1,0.8290232317447732
chr1-g92,1.6462575475904853,chr1,0.5959947981337047
chr1-g93,1.7727965029835175,chr1,0.3484762814100973
chr1-g94,1.7564064045828314,chr1,0.32379300991123977
chr1-g95,1.9320673553720056,chr1,-0.4163897546609241
chr1-g96,2.0529385474424933,chr1,-0.4693952130279871
chr1-g97,2.0853346381404005,chr1,-0.8630070117528618
chr1-g98,2.1594858970887154,chr1,-0.9275863466812725
chr1-g99,2.237400491724132,chr1,-0.7876565381551137
chr1-g100,2.0609065320896214,chr1,-0.8617494173123985
chr1-g101,2.029877933374536,chr1,-0.640305682809037
chr1-g102,1.8438419370762364,chr1,-0.09474284355111152
chr1-g103,1.80687524464701,chr1,0.2726107189561916
chr1-g104,1.9653295569516445,chr1,0.21450259086063928
chr1-g105,1.8440323144875417,chr1,0.43255870522839757
chr1-g106,1.822774154261244,chr1,0.23132192432476312
chr1-g107,1.8084977382459395,chr1,0.050415604254992676
chr1-g108,1.9331237412731703,chr1,-0.13406916068223523
chr1-g109,1.848380521069633,chr1,-0.10915077290566548
chr1-g110,1.8999940254090983,chr1,-0.15955671821383235
chr1-g111,1.9150679943625573,chr1,-0.05227359106541538
chr1-g112,1.8753121177839829,chr1,-0.4346507824329097
chr1-g113,2.031804400265961,chr1,-0.3420306103801063
chr1-g114,1.9912770450750807,chr1,-0.39253071670502154
chr1-g115,1.8591941443554791,chr1,-0.24791026980653058
chr1-g116,1.8519951828023733,chr1,-0.0734053963747908
chr1-g117,1.7679719193773673,chr1,0.25225933760168245
chr1-g118,1.6974115799980347,chr1,0.437351136123637
chr1-g119,1.8690746884501817,chr1,0.43350292230846
chr1-g120,1.946180248423417,chr1,0.2818555395462954
chr1-g121,1.7686518719242263,chr1,0.3670282887461345
chr1-g122,1.7688064107500798,chr1,0.184398716703852
chr1-g123,1.8406202233971287,chr1,0.16677867264407992
chr1-g124,1.7942832145705123,chr1,0.2184864805638866
chr1-g125,1.8840710474535007,chr1,-0.005965605375580774
chr1-g126,2.028984227430329,chr1,-0.39141429243463943
chr1-g127,1.972620540715315,chr1,-0.8830624651062005
