fov,cellID,rep,dbscan_ldp_nbr_allele,chr2-g150,chr2-g151,chr2-g152,chr2-g153,chr2-g154,chr2-g155,chr2-g156,chr2-g157,chr2-g158,chr2-g159,chr2-g160,chr2-g161,chr2-g162,chr2-g163,chr2-g164,chr2-g165,chr2-g166,chr2-g167,chr2-g168,chr2-g169,chr2-g170,chr2-g171,chr2-g172,chr2-g173,chr2-g174,chr2-g175,chr2-g176,chr2-g177,chr2-g178,chr2-g179,chr2-g180,chr2-g181,chr2-g182,chr2-g183,chr2-g184,chr2-g185,chr2-g186,chr2-g187,chr2-g188,chr2-g189,chr2-g190,chr2-g191,chr2-g192,chr2-g193,chr2-g194,chr2-g195,chr2-g196,chr2-g197,chr2-g198,chr2-g199,chr2-g200,chr2-g201,chr2-g202,chr2-g203,chr2-g204,chr2-g205,chr2-g206,chr2-g207,chr2-g208,chr2-g209,chr2-g210,chr2-g211,chr2-g212,chr2-g213,chr2-g214,chr2-g215
0,886,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.81838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.092904,-0.18475,,,,,,1.18693,0.6624566666666666,
1,144,1,4,,,,,,,,,,,,,,,,,,,0.0636679999999999,,,,,,,,,,,,,-0.44647500000000007,0.076543,,,,0.015390000000000015,,-0.82948,-0.7688666666666667,,-0.8713199999999999,-0.7281,-0.87454,-0.90351,-0.95179,,,-0.58648,,,,,-0.62188,-0.617055,-0.4631016666666667,-0.52855,,-0.5736100000000001,-0.554295,-0.54142,-0.66855,-0.69591,-0.6967175,,
1,713,1,1,,,,,,,,,,,,,,,,,,,-0.060757000000000005,,0.11792,0.059126,,,,-0.384216,-0.39736,,-0.26594,,,,,,,,,,,,,,,,,,0.2182,0.4360699999999999,,,,,0.68506,0.51907,,0.003794999999999993,,,,,,,,,,0.58131
1,98,1,1,-0.682015,0.07576666666666666,-0.137069,-0.45169499999999996,0.3636625,-0.10519466666666666,0.050578750000000006,0.56519,,,-0.018826,0.65156,0.34618499999999996,,,,,0.2227999999999999,-0.06681000000000005,-0.46095,0.13129,-0.70978,,-0.47946,,,,-0.6049,,0.08501999999999998,-0.5678833333333334,0.021270000000000067,-0.4266766666666666,-0.53909,-0.4822,-0.5113300000000001,-0.5709650000000001,-0.55349,-0.21213,0.083994,-0.14118150000000002,,,-0.34991,,-0.53293,-0.3677266666666667,-0.29438,-0.31906,0.48911,0.19024166666666673,-0.36584249999999996,-0.1113653333333333,0.36572,-0.23433600000000002,-0.041444999999999996,-0.14992249999999996,-0.23063,-0.0717775,-0.27588,-0.04966999999999999,0.3904,0.20943,0.2999199999999999,0.1035295,0.310195
1,189,2,4,,,,,,,,,,,,,,,,,-0.34108,-0.3169,-0.31851,-0.34108,-0.33946,,,,,,,,,,,,,,,,,,-0.4071599999999999,-0.22421,,,,,-0.27821,,,,,,,,,,,-0.25565,,,,,,,,,,
3,157,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27902,,-0.25836,,,,,,,,,-0.343295,,,,,,,,,,-0.3693099999999999,-0.59427,-0.33105,-0.37543,
2,591,2,1,-0.298,,,-0.37581,-0.307725,-0.44778,-0.37581,,,,,,,-0.41666,,,-0.50808,,,-0.57422,-0.5878399999999999,,,,-0.19684,,,,,-0.29216,-0.371915,,,,,-0.36705,-0.22991,,,-0.13265099999999996,,-0.27076,,-0.31356,,,-0.25326,,0.41201,,,,,,0.36338,,,0.26418,-0.71039,0.32059,0.31475,0.23207999999999998,,,,0.0502
1,6,1,1,,,,,,,,,,-0.90455,,,-0.173755,-0.6091433333333333,,,,0.37517,-0.35563,0.438,,-0.18036633333333338,-0.34240000000000004,,,-0.4879,,-0.12746,,,-0.048097,,,,,,,,,-0.26304,,,-0.26634,,-0.71275,,,,,0.667815,0.679385,1.6417,1.6417,0.38012575,0.71907,0.34650866666666663,0.070946,,,0.021346666666666663,0.26439050000000003,-0.62017,-0.65819,,-0.68134,-0.65654
2,181,2,3,,,,,,,,,,,,-0.184195,,,-0.14717,,,,,,,,-0.40896,-0.26773,,,-0.247065,,,-0.2011333333333333,,,,,,,,,,,-0.23328,,,-0.35959,,,,,-0.43996,,,,,,,-0.70865,,,-0.64148,,,,,-0.594975,-0.47613,
3,91,2,1,,,,,-0.5604100000000001,,-0.052805,-0.20695,,-0.18204,,,,,,,,,,,,,,0.012591,-0.17893,,,-0.50435,-0.58221,,,0.09511433333333334,,0.1138,0.11224,,-0.31283,-0.31283,,-0.4124866666666666,,-0.46387,,-0.39951,-0.37823,-0.42183,,,,,0.11069,,-0.51369,,,,-0.6553899999999999,-0.68497,,-0.597,,,-0.42494,-0.21785,0.11069,-0.09796
2,603,2,1,-0.2716699999999999,,,,,-0.1124,-0.1346995,,,-0.10815,-0.43412000000000006,,,,,,-0.06568,-0.20477499999999998,-0.48403,-0.43306,-0.5144666666666667,,-0.31626400000000005,,,,,0.20614,,,,,-0.49252,,,,,,,-0.376785,,-0.39696,,,0.0012124999999999983,0.16367,,,,,,,,,-0.12939,-0.264235,-0.2929,-0.22601,,-0.22389,-0.39059,-0.3622733333333333,-0.36617,-0.38634,-0.34599,-0.37838
