200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Purkinje_pol_ass,Purkinje_spk_ass,MLI1_pol_ass,MLI1_spk_ass,log2FC_M2P
chr1-g16,chr1,3200000,3400000,0.3847649999999999,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,3.128392150759481
chr1-g17,chr1,3400000,3600000,0.383925,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,3.128392150759481
chr1-g18,chr1,3600000,3800000,0.389235,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,3.128392150759481
chr1-g24,chr1,4800000,5000000,0.40512,"Lypla1, Tcea1, Rgs20",3.0,"38913, 39582, 160710",160710.0,38913.0,79735.0,39582.0,1,0,0,0,0,4.11059009657646
chr1-g25,chr1,5000000,5200000,0.4072749999999999,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1,0,0,0,0,4.11059009657646
chr1-g41,chr1,8200000,8400000,0.38193,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g42,chr1,8400000,8600000,0.370575,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g43,chr1,8600000,8800000,0.385165,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g44,chr1,8800000,9000000,0.38213,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g45,chr1,9000000,9200000,0.3801249999999999,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g46,chr1,9200000,9400000,0.38951,Sntg1,1.0,940139,940139.0,940139.0,940139.0,940139.0,1,0,0,0,0,2.618618184145948
chr1-g48,chr1,9600000,9800000,0.40861,"2610203C22Rik, Vxn, Mybl1, Vcpip1, 1700034P13Rik, Sgk3",6.0,"70260, 25876, 32799, 29761, 23609, 104439",104439.0,23609.0,47790.66666666666,31280.0,1,0,0,0,0,2.3474385395532824
chr1-g49,chr1,9800000,10000000,0.415085,"Sgk3, Mcmdc2, Snhg6, Snord87, Tcf24, Ppp1r42",6.0,"104439, 32317, 2094, 74, 7648, 40515",104439.0,74.0,31181.166666666668,19982.5,1,0,0,0,0,2.3474385395532824
chr1-g50,chr1,10000000,10200000,0.3967199999999999,"Ppp1r42, Cops5, Cspp1, Arfgef1",4.0,"40515, 13560, 98551, 95164",98551.0,13560.0,61947.5,67839.5,1,0,0,0,0,2.232518598191551
chr1-g51,chr1,10200000,10400000,0.4040249999999999,"Arfgef1, Cpa6",2.0,"95164, 395227",395227.0,95164.0,245195.5,245195.5,1,0,0,0,0,2.232518598191551
chr1-g57,chr1,11400000,11600000,0.386425,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0,2.620381082654052
chr1-g58,chr1,11600000,11800000,0.390115,A830018L16Rik,1.0,187717,187717.0,187717.0,187717.0,187717.0,1,0,0,0,0,2.620381082654052
chr1-g76,chr1,15200000,15400000,0.40198,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,2.62493914269322
chr1-g77,chr1,15400000,15600000,0.40193,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,2.62493914269322
chr1-g78,chr1,15600000,15800000,0.4077449999999999,Kcnb2,1.0,436826,436826.0,436826.0,436826.0,436826.0,1,0,0,0,0,2.62493914269322
chr1-g80,chr1,16000000,16200000,0.435285,"4930444P10Rik, Rdh10, Rpl7",3.0,"27347, 26669, 3138",27347.0,3138.0,19051.33333333333,26669.0,1,0,0,0,0,2.540472625846519
chr1-g84,chr1,16800000,17000000,0.407195,Jph1,1.0,102950,102950.0,102950.0,102950.0,102950.0,1,0,0,0,0,2.3265533250716284
chr1-g85,chr1,17000000,17200000,0.40005,"Jph1, Gdap1",2.0,"102950, 18898",102950.0,18898.0,60924.0,60924.0,1,0,0,0,0,2.3265533250716284
chr1-g88,chr1,17600000,17800000,0.3789749999999999,"Pi15, Gm16070, Crispld1",3.0,"29039, 51620, 38791",51620.0,29039.0,39816.66666666666,38791.0,1,0,0,0,0,2.850110430070334
chr1-g96,chr1,19200000,19400000,0.40071,Tfap2b,1.0,29932,29932.0,29932.0,29932.0,29932.0,1,0,0,0,0,8.928057212818327
chr1-g104,chr1,20800000,21000000,0.439695,"Mcm3, Paqr8, 6720483E21Rik, Efhc1",4.0,"17345, 49103, 1824, 39216",49103.0,1824.0,26872.0,28280.5,1,0,0,0,0,2.820873568203739
chr1-g106,chr1,21200000,21400000,0.431165,"Tmem14a, Gsta3, Gm4956, Khdc1a, Khdc1c, Khdc1b, Kcnq5",7.0,"11593, 24991, 13067, 2523, 1413, 2829, 564252",564252.0,1413.0,88666.85714285714,11593.0,1,0,0,0,0,3.780853238453401
chr1-g107,chr1,21400000,21600000,0.398215,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,4.169937105168985
chr1-g108,chr1,21600000,21800000,0.37926,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,4.169937105168985
chr1-g109,chr1,21800000,22000000,0.3846449999999999,Kcnq5,1.0,564252,564252.0,564252.0,564252.0,564252.0,1,0,0,0,0,4.169937105168985
chr1-g111,chr1,22200000,22400000,0.39374,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,4.234669158133894
chr1-g112,chr1,22400000,22600000,0.313335,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,4.234669158133894
chr1-g113,chr1,22600000,22800000,0.391615,Rims1,1.0,520031,520031.0,520031.0,520031.0,520031.0,1,0,0,0,0,4.234669158133894
chr1-g114,chr1,22800000,23000000,0.39441,"Rims1, Gm7759",2.0,"520031, 6695",520031.0,6695.0,263363.0,263363.0,1,0,0,0,0,4.234669158133894
chr1-g118,chr1,23600000,23800000,0.4204800000000001,B3gat2,1.0,85933,85933.0,85933.0,85933.0,85933.0,1,0,0,0,0,2.735851349382372
chr1-g119,chr1,23800000,24000000,0.415275,"B3gat2, Smap1, Sdhaf4",3.0,"85933, 76757, 9702",85933.0,9702.0,57464.0,76757.0,1,0,0,0,0,2.229292880208017
chr1-g121,chr1,24200000,24400000,0.404475,"Col9a1, Col19a1",2.0,"75129, 329755",329755.0,75129.0,202442.0,202442.0,1,0,0,0,0,-3.7731317946966594
chr1-g122,chr1,24400000,24600000,0.3896,Col19a1,1.0,329755,329755.0,329755.0,329755.0,329755.0,1,0,0,0,0,-3.7731317946966594
chr1-g123,chr1,24600000,24800000,0.40515,Lmbrd1,1.0,87758,87758.0,87758.0,87758.0,87758.0,1,0,0,0,0,2.5921895698108486
chr1-g169,chr1,33800000,34000000,0.430625,"Zfp451, Gm15455, Bend6, Dst",4.0,"12636, 3016, 55716, 400438",400438.0,3016.0,117951.5,34176.0,1,0,0,0,0,2.095853595818548
