fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g210,chr7-g211,chr7-g212,chr7-g213,chr7-g214,chr7-g215,chr7-g216,chr7-g217,chr7-g218,chr7-g219,chr7-g220,chr7-g221,chr7-g222,chr7-g223,chr7-g224,chr7-g225,chr7-g226,chr7-g227,chr7-g228,chr7-g229,chr7-g230,chr7-g231,chr7-g232,chr7-g233,chr7-g234,chr7-g235,chr7-g236,chr7-g237,chr7-g238,chr7-g239,chr7-g240,chr7-g241,chr7-g242,chr7-g243,chr7-g244,chr7-g245,chr7-g246,chr7-g247,chr7-g248,chr7-g249,chr7-g250,chr7-g251,chr7-g252,chr7-g253,chr7-g254,chr7-g255,chr7-g256,chr7-g257,chr7-g258,chr7-g259,chr7-g260,chr7-g261,chr7-g262,chr7-g263,chr7-g264,chr7-g265,chr7-g266,chr7-g267
3,455,2,1,,,,,,,,-0.13202,,,,,,,,,,,,,,,,,,,,,-0.514,,,,,,,,-0.4594263333333333,,-0.022883,,,,,,,,-0.4266899999999999,,,,,,,-0.14293,,,,
1,612,2,1,,-0.98289,,,,,,,,,,,,,,,,,,,-0.8265299999999999,-0.5919949999999999,-0.51381,-0.80916,-0.58331,,,-0.5311899999999999,,,-0.77441,,,-1.0003,,-1.1045,,,,,,-0.27059,,,,,,-0.8091550000000001,-0.22715849999999999,,,,-0.68755,,,,0.37221,
2,10,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4307,,,,,,,,,0.32358,1.2475,0.949675,,,,,0.096963,1.3637,0.61992,0.855245,1.8769333333333333,1.4004666666666665,,,2.0522,,2.7524
0,620,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699100000000001,1.0181,,,,,0.7711100000000001,,,,,,,0.92637,,,,,,,,,,,,,,,,,
2,591,2,1,-0.10122,-0.47248,,,,,,,,,,,,,-1.3194,-0.6001,-0.704495,,,,,0.40926,0.51368,,,-0.35646,,,,,,,,,,0.6413,0.28937399999999996,0.22363,,1.36062,,,,1.3316,0.5890925,0.22363,0.53688,,1.4882,,,,,-0.22884,-0.8437399999999999,,,
0,406,1,1,-0.64026,-0.43431,-0.97681,-1.0823,,,,,,,,,,,-0.71309,,-0.66035,,,-0.17814,1.1329,-0.728165,-0.8939299999999999,0.3342199999999999,,,,,,-0.28362,,,,0.76369,-0.69049,,,,,,1.2006999999999999,,1.35515,,0.10818,,,,-0.26855,-0.50213,-0.5398,,-0.637745,-0.42678,,-0.85061,,0.14208500000000002
2,18,1,1,,2.9249,,0.10307,1.4258,0.0854299999999999,2.6604,,0.482255,,,,,,0.57926,,,,,,,0.30589,-0.483355,,,,,4.38,3.1718,1.1172,0.56162,-0.38634999999999997,-0.099755,-0.30258,-0.46131,,,,,,,,,-0.22321,-0.421625,,,,,,,,0.37643,,,,-0.27612,-0.39076
2,210,2,3,-0.81165,-0.79487,,,,-0.42577,-0.45932,,,,,,,,,,,-1.28145,,-1.164,,-1.4101,,,,-1.0298,,-1.1975,,,,-0.95147,,,-1.1248399999999998,-0.59354,,-1.3877,,-0.49288,,-0.30273,,-0.22444,,-0.30273,,-1.0074,-1.1248225,-0.47051,,,,,0.1111099999999999,,,
2,636,2,2,-0.30074,-0.20451566666666662,,-0.2422513333333333,-0.47621499999999994,,-0.15073999999999999,-0.13659,,0.10115,0.82002,1.1992666666666667,0.27662,,0.37285,,,,,2.23515,,,,3.2596499999999997,1.9351,1.7086999999999999,,,,,,,3.8596,,,,,1.6181,1.9012,,1.6861,0.61058,,0.797385,0.48039,,,,1.6747,2.32,0.21435,,1.9351,,,4.6408,3.8427,3.120975
3,157,2,3,-0.69689,-0.29466,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5846399999999999,,,,,,,,,,,,,,,,,,0.33207,,,,0.4349699999999999,,,,,,
