name,genes,overlap_pct,gene,chrom_id,25kb bin
chr1-9,['Xkr4'],[0.42076],Xkr4,1,9
chr1-10,['Xkr4'],[1.0],Xkr4,1,10
chr1-11,['Xkr4'],[1.0],Xkr4,1,11
chr1-12,['Xkr4'],[1.0],Xkr4,1,12
chr1-13,['Xkr4'],[1.0],Xkr4,1,13
chr1-14,['Xkr4'],[1.0],Xkr4,1,14
chr1-15,['Xkr4'],[1.0],Xkr4,1,15
chr1-16,['Xkr4'],[1.0],Xkr4,1,16
chr1-17,['Xkr4'],[1.0],Xkr4,1,17
chr1-18,['Xkr4'],[1.0],Xkr4,1,18
chr1-19,['Xkr4'],[1.0],Xkr4,1,19
chr1-20,['Xkr4'],[1.0],Xkr4,1,20
chr1-21,['Xkr4'],[1.0],Xkr4,1,21
chr1-22,['Xkr4'],[1.0],Xkr4,1,22
chr1-23,['Xkr4'],[1.0],Xkr4,1,23
chr1-24,['Xkr4'],[1.0],Xkr4,1,24
chr1-25,['Xkr4'],[1.0],Xkr4,1,25
chr1-26,['Xkr4'],[1.0],Xkr4,1,26
chr1-27,['Xkr4'],[0.85992],Xkr4,1,27
chr1-140,['St18'],[0.5108],St18,1,140
chr1-141,['St18'],[1.0],St18,1,141
chr1-142,['St18'],[1.0],St18,1,142
chr1-143,['St18'],[1.0],St18,1,143
chr1-144,['St18'],[1.0],St18,1,144
chr1-145,['St18'],[1.0],St18,1,145
chr1-146,['St18'],[1.0],St18,1,146
chr1-147,['St18'],[1.0],St18,1,147
chr1-148,['St18'],[1.0],St18,1,148
chr1-149,['St18'],[1.0],St18,1,149
chr1-150,['St18'],[1.0],St18,1,150
chr1-151,['St18'],[1.0],St18,1,151
chr1-152,['St18'],[1.0],St18,1,152
chr1-153,['St18'],[1.0],St18,1,153
chr1-154,['St18'],[1.0],St18,1,154
chr1-155,['St18'],[0.4376],St18,1,155
chr1-215,['Sntg1'],[0.61048],Sntg1,1,215
chr1-216,['Sntg1'],[1.0],Sntg1,1,216
chr1-217,['Sntg1'],[1.0],Sntg1,1,217
chr1-218,['Sntg1'],[1.0],Sntg1,1,218
chr1-219,['Sntg1'],[1.0],Sntg1,1,219
chr1-220,['Sntg1'],[1.0],Sntg1,1,220
chr1-221,['Sntg1'],[1.0],Sntg1,1,221
chr1-222,['Sntg1'],[1.0],Sntg1,1,222
chr1-223,['Sntg1'],[1.0],Sntg1,1,223
chr1-224,['Sntg1'],[1.0],Sntg1,1,224
chr1-225,['Sntg1'],[1.0],Sntg1,1,225
chr1-226,['Sntg1'],[1.0],Sntg1,1,226
chr1-227,['Sntg1'],[1.0],Sntg1,1,227
chr1-228,['Sntg1'],[1.0],Sntg1,1,228
chr1-229,['Sntg1'],[1.0],Sntg1,1,229
chr1-230,['Sntg1'],[1.0],Sntg1,1,230
chr1-231,['Sntg1'],[1.0],Sntg1,1,231
chr1-232,['Sntg1'],[1.0],Sntg1,1,232
chr1-233,['Sntg1'],[1.0],Sntg1,1,233
chr1-234,['Sntg1'],[1.0],Sntg1,1,234
chr1-235,['Sntg1'],[1.0],Sntg1,1,235
chr1-236,['Sntg1'],[1.0],Sntg1,1,236
chr1-237,['Sntg1'],[1.0],Sntg1,1,237
chr1-238,['Sntg1'],[1.0],Sntg1,1,238
chr1-239,['Sntg1'],[1.0],Sntg1,1,239
chr1-240,['Sntg1'],[1.0],Sntg1,1,240
chr1-241,['Sntg1'],[1.0],Sntg1,1,241
chr1-242,['Sntg1'],[1.0],Sntg1,1,242
chr1-243,['Sntg1'],[1.0],Sntg1,1,243
chr1-244,['Sntg1'],[1.0],Sntg1,1,244
chr1-245,['Sntg1'],[1.0],Sntg1,1,245
chr1-246,['Sntg1'],[1.0],Sntg1,1,246
chr1-247,['Sntg1'],[1.0],Sntg1,1,247
chr1-248,['Sntg1'],[1.0],Sntg1,1,248
chr1-249,['Sntg1'],[1.0],Sntg1,1,249
chr1-250,['Sntg1'],[1.0],Sntg1,1,250
chr1-251,['Sntg1'],[1.0],Sntg1,1,251
chr1-252,['Sntg1'],[0.99508],Sntg1,1,252
chr1-293,['Cpa6'],[0.01128],Cpa6,1,293
chr1-294,['Cpa6'],[1.0],Cpa6,1,294
chr1-295,['Cpa6'],[1.0],Cpa6,1,295
chr1-296,['Cpa6'],[1.0],Cpa6,1,296
chr1-297,['Cpa6'],[1.0],Cpa6,1,297
chr1-298,['Cpa6'],[1.0],Cpa6,1,298
chr1-299,['Cpa6'],[1.0],Cpa6,1,299
chr1-300,['Cpa6'],[1.0],Cpa6,1,300
chr1-301,['Cpa6'],[1.0],Cpa6,1,301
chr1-302,['Cpa6'],[1.0],Cpa6,1,302
