fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g605,chrX-g606,chrX-g607,chrX-g608,chrX-g609,chrX-g610,chrX-g611,chrX-g612,chrX-g613,chrX-g614,chrX-g615,chrX-g630,chrX-g631,chrX-g632,chrX-g633,chrX-g634,chrX-g635,chrX-g636,chrX-g637,chrX-g638,chrX-g639,chrX-g640,chrX-g641,chrX-g642,chrX-g643,chrX-g644,chrX-g645,chrX-g646,chrX-g647,chrX-g648,chrX-g649,chrX-g650,chrX-g651,chrX-g652,chrX-g653,chrX-g654,chrX-g655,chrX-g656,chrX-g657
0,750,1,1,,,,,,,,,,,,0.042095,,,,,,,,,,1.2803,,0.9031,,,,,,,,,,,,,,,1.9117
2,584,2,2,,-0.074128,,,-0.022796,,,,,,,0.4391899999999999,,,,0.72794,0.96535,,,,1.9792,,,1.11936,,1.761,,0.52903,1.915,,0.14403,,,1.607,,,,,
2,808,2,1,,,1.7656,,,,,-0.49476,-0.66704,-0.19154000000000004,,,-1.1012,,-0.2466699999999999,-0.3845,-0.54989,-0.60502,-0.8668899999999999,,-0.41206,,,,,,-0.322474,-0.026148,,,0.42868,,-0.515435,0.13924,0.7319,,0.7319,,
0,190,1,1,,,-0.0693039999999999,,,,1.7945,,-0.40583,2.3381,,,,-0.29365,,1.0524,,0.3103599999999999,0.77632,,-0.3109099999999999,,0.051499,-0.25051,0.030790000000000022,0.48294000000000004,-0.48349,,0.1723,0.6929066666666667,0.836735,2.1742,0.34488,,1.4062,,,-0.190109,
1,942,2,1,,,0.27092,,,,,,,0.2284199999999999,,,0.79515,2.7646,,,,,,0.79515,,1.9428,1.206,1.8436,1.5602,-0.0549529999999999,1.9853,,,1.6594,,0.97934,1.50355,,,0.11507,,,
2,591,2,1,,0.31645,,,,0.5601133333333334,,-0.7045100000000001,-0.7045100000000001,,,0.014799,,,0.52528,,,0.74571,,1.0474,,-0.6233,,,,-0.31005,0.9951699999999999,1.1866,0.4527675,3.1125,0.56008,1.6893333333333331,0.188825,,2.0915,1.7899,1.7899,0.5600849999999999,0.896515
3,157,2,2,,,,,,,,,,,,,-0.28531,,,,-0.27595,-0.47239,,,,,,,,,,,-0.8746200000000001,,,,,,,0.30401,-0.15435,0.28062,0.051444
0,544,1,1,-0.42399,,,,,,,,,,,1.8909,0.57589,,,0.532415,0.097685,,,,,,,,-0.8261200000000001,,,,,,1.1628,,,1.2715,,,1.043225,-0.18489,-0.168585
0,885,1,1,,,,,,,,0.6847,0.6847,,,1.0834,1.0834,0.516025,,-0.21228,,,0.8380299999999999,0.017712500000000003,,,1.4054,,0.9837,,,,,,,,,2.5707,1.6507,0.6847,,,
2,841,2,1,,0.15774,,0.71773,1.2497,,1.0863866666666666,,,,,,-0.37425,,,,-0.6542399999999999,,0.066745,,,,,,,,,,,,,,,,,,,,
2,578,2,2,,,,,,,,-1.122,,,,,0.61803,,,0.32803,,,,,,,,,-1.020495,,,,,,,,,,,,,,
2,30,1,1,,,,,,,,,,,,,0.49577,,,,,,,,,,,,,,,,,,,,,,,,,,
1,137,1,2,1.8439999999999999,1.4232,1.210815,1.6628766666666668,1.9216,,,,2.0932,,,,,-0.5212,0.2712699999999999,0.39382,1.4436499999999999,1.7092,1.5185333333333333,0.76964,,,,,,,,0.3448,,,,3.1634,1.6275,,1.48039,1.141355,0.98614,1.93385,1.8481
1,144,1,1,,,0.49131500000000006,0.052815,,,,0.35603250000000003,0.24874,,,1.7882,,,0.22075,1.769495,1.6482,1.7882,2.8051,,,,2.5299,1.3776,2.8470500000000003,,,-0.46965,,,,,,0.90183,,1.8255,-0.6096,,-0.726225
2,1001,1,1,,,,,,,,,,0.55383,,,0.33469499999999996,-0.015914999999999957,,0.15573674999999998,0.40774,,-0.24965666666666667,,0.20322,,0.21783,0.137475,-0.49801,-0.19122,-0.34217999999999993,,0.027911,1.0213,,,0.4953899999999999,0.4953899999999999,,,,0.24704,
3,718,2,1,,,,,0.4287399999999999,,,,,0.22142000000000003,,0.21427,-0.80089,-0.45774,,-0.97247,,-1.1583,,,-0.464885,,,,,,-0.34335,-1.044,,,-0.8437899999999999,-1.2012,,,-0.81519,-0.5864199999999999,,,
2,852,2,1,,0.8680899999999999,,,,,,,,,,,4.1917,6.4637,,,,5.3183,0.5301,,,1.1122,,2.8209,2.2388,1.8257500000000002,,,,0.6427633333333334,1.168505,1.3375,0.48316,,-0.0801545,-0.23976,-0.20221,0.30477,-0.1834299999999999
0,353,1,1,,,,,,,,,,,,,-0.38813,0.4563899999999999,,-0.22211,-0.33038,,0.54301,,,,,0.52857,,,,,,-0.020005,0.3409,0.514135,0.52857,,-0.034441,,0.25428,0.1027,
0,99,2,1,,0.284,,-0.3218625,0.333625,0.8436766666666667,,0.45767500000000005,0.11857499999999999,-0.55966,-0.25363,,0.29227,,,,-0.18746,,0.68101,-0.82434,-0.741625,,-0.99803,,-0.90705,,-0.88223,,,,-0.1502385,-0.497625,-0.079932,-0.53071,-0.34461,-0.3694199999999999,-0.762295,-0.5679333333333333,-0.19573
2,569,2,1,2.4912,1.22542,2.0531,,5.1202,,,,,,,1.1646,,-0.0403829999999999,,0.5730516,1.2011,1.012435,0.9860733333333332,1.7123,0.86029,1.6636,,1.5865033333333336,1.541885,1.590545,0.7426333333333334,1.0915,1.7853,1.907,,0.22738,,0.23956,1.62097,0.586435,1.146335,0.87246,0.655814
3,157,2,1,0.098215,,,,,0.2011099999999999,,,0.55657,-0.042098,,,-0.29466,0.70624,,-0.32973749999999996,0.44432,-0.36248,-0.3274,,,,-0.50045,,,,,-0.20112,,,,,,,,,,,
1,142,2,1,0.5390550000000001,0.44507,0.73269,0.54245,0.7259,0.5288675,0.82102,0.97049,0.67155,0.768032,0.6171899999999999,,0.10762,,0.1551796666666667,0.128004,0.057793333333333335,,-0.075825,0.11441,,,,0.450735,-0.053503428571428584,0.0532659999999999,1.2626,,0.25709,0.087238,0.26389,-0.011280000000000012,1.2287,,-0.36118,0.28596875,0.1472566666666667,-0.242285,0.4065636
2,578,2,1,,,0.22653,,,0.42953,1.4735,,,,0.6905199999999999,,0.27003,,,,0.07185666666666668,1.0965,-0.14322849999999998,0.45852649999999995,,0.48753,1.1255,,,,,-0.46948,,,,0.31353,2.3146,,2.7641,,,,
1,233,1,1,-0.33384,,-1.2098,-0.15373,,-0.38295,,,0.014091999999999952,0.28834,,,-0.26016,,,-0.16192,-0.1701,,,-0.06368,,0.8614,,,,-0.69404,,,,,,,,-0.70223,-0.36658,-0.45663,,,
2,648,2,1,,1.674925,1.7227666666666668,1.7663,0.83317,1.9751,2.1447,1.7532,1.9402666666666664,2.13165,,1.949,1.7662499999999999,1.7575666666666667,,2.67325,4.3893,,3.5802,,2.15125,2.4971,,,2.9277,,,1.8750133333333334,,1.44,,1.3486666666666665,1.3226,2.484,,0.5047433333333333,,1.34215,
2,119,1,1,,,3.2541,,,,1.3767,2.7065333333333332,2.1478,2.9272,2.1981,3.5558,,,,3.4273333333333333,3.6899,3.5349000000000004,3.2248,,0.47152,,1.1253,1.0498,1.6784,,,,0.49667,,1.0079,1.0079,0.49667,,,,0.63915,,
0,310,1,1,,,,,,,,,,,,,0.75785,1.0885500000000001,,2.39775,,2.09745,,,,,,,0.74435,,2.3978,,0.73085,,,,,,,,,1.1898,0.37992
0,620,2,2,,,,,,,,,,,,-0.80269,,,,,,,,,,,,,,,,,-1.2826,,,,,,,-1.0638,,-0.88738,
1,81,1,2,,,-0.55508,,,,-0.71843,,,,,,-0.7300949999999999,,,-1.1696,,,,,,,,,,,,,-0.37616,,,,,,,,,,
2,199,2,1,,,,,0.4976,0.38733,1.4222,2.228,,1.8209,,,-0.3336699999999999,,,0.82842,,,,,0.62484,,,,0.42125999999999997,,,-3.2686,,,1.4391500000000002,2.0032,1.876,1.740275,-0.7026500000000001,1.2610125,1.42216,-0.7662840000000001,-1.7559000000000002
2,230,2,1,,,,-0.55769,,,-0.36732,-0.52352,,,,0.49176,0.111025,,,0.0622159999999999,-0.045170000000000016,0.07197666666666665,0.19238,-0.035406,,-0.3429245,,,-0.37709000000000004,0.12079,,0.6414433333333333,-0.08421500000000001,0.12079,0.09394499999999999,0.481995,-0.20787333333333338,-0.3087496666666667,-0.425895,,,,
1,826,1,1,,,1.30063,1.7421,1.6182,,,,0.91313,,,,1.5611,1.3324,,,,,,,,,,,1.0275,0.641585,1.6182,,,,,,,,,0.5986966666666667,0.8940799999999999,,
0,18,2,2,,2.1008999999999998,4.2389,1.3585333333333331,4.6155,1.1118133333333333,-0.63038,0.20960499999999999,,-0.1765945,,1.8349,,0.38983,,,0.8371799999999999,,1.14615,,1.9443000000000001,,0.021871333333333336,,,,,0.692355,0.7491966666666666,-0.2420333333333333,0.68269,0.328705,-0.266704,,-0.2828,0.2965,,0.563615,0.3994866666666666
1,194,1,1,,,,,,,,0.90208,0.536152,1.0369,,-0.24386,,,,,,,,,0.5120750000000001,,,0.96949,,,,,,,,,,1.2006,,,0.96949,-0.37867,0.2424399999999999
1,339,2,1,,,-0.72109,-1.0659,-1.2063,-1.2042166666666667,-1.2957,-1.4107,,-1.2191,,-1.5767,-1.5064,-1.6277,-1.5383,-1.5639,-1.0307475,-1.6405,-1.5894,-0.972212,-1.4276666666666664,,,-1.64685,-1.656475,,,,,,,,-1.5575,,,,-0.433755,-1.49045,
