fov,cellID,rep,dbscan_ldp_nbr_allele,chr1-g377,chr1-g378,chr1-g379,chr1-g380,chr1-g381,chr1-g382,chr1-g383,chr1-g384,chr1-g385,chr1-g386,chr1-g387,chr1-g388,chr1-g389,chr1-g390,chr1-g391,chr1-g392,chr1-g393,chr1-g394,chr1-g395,chr1-g396,chr1-g397,chr1-g398,chr1-g399,chr1-g400,chr1-g401,chr1-g402,chr1-g403,chr1-g404,chr1-g405,chr1-g406,chr1-g407,chr1-g408,chr1-g409,chr1-g410,chr1-g411,chr1-g412,chr1-g413,chr1-g414,chr1-g415,chr1-g416,chr1-g417,chr1-g418,chr1-g419,chr1-g420,chr1-g421,chr1-g422,chr1-g423,chr1-g424,chr1-g428,chr1-g429,chr1-g430,chr1-g431,chr1-g432,chr1-g433,chr1-g434,chr1-g435,chr1-g436,chr1-g437,chr1-g438,chr1-g439,chr1-g440,chr1-g441,chr1-g442,chr1-g443,chr1-g444,chr1-g445,chr1-g446,chr1-g447,chr1-g448,chr1-g449,chr1-g450,chr1-g451,chr1-g452,chr1-g453,chr1-g454,chr1-g455,chr1-g456,chr1-g457
2,181,2,1,,,0.5111,,,2.8586,,,2.1783,1.4693,,,,,-0.68661,-0.66745,,,,,,,,,,,,,,,,,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94531,,,,,,,,,,,,,,,,,,,
0,89,2,2,,,,,,-0.12262,,,,,,-0.12262,,,,,,-0.13848,,,,,,,,,,,,,,0.02017,-0.09088366666666665,,0.13651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,2,2,,,,,,,-0.02617,0.39152,0.52386,,0.20129,,,,-0.071659,,,,,,,,,-0.22054,,,,,-0.24535499999999993,,0.068948,,-0.22054,-0.10475,-0.1709099999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,750,1,2,,,,,,,-0.023506,-0.10960799999999996,-0.2531089999999999,0.12409,,,,,,,,,,,,,,,,,,1.8051,0.2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29411,,,,,,,,,,,,,-0.16291,,,,0.12409,0.8375,
0,215,1,3,,,,,,-0.55453,-0.2592705,-0.34209,-0.23046850000000002,,,-0.09004299999999996,,0.025179999999999994,,,0.1295984999999999,0.1224,,-0.57613,,,-0.15125,,,,,-0.12605,-0.12245,,,,,,,-0.33128,,,,,,-1.2026,,,,,,,,,,,,,,,-0.54732,-0.84978,,,,-0.52572,-0.021628,,,,,,,,,,,,,-0.057635,,
2,30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13502,,0.014770500000000002,,,,,,,,,,,,,,,,,,,,,0.2607400000000001,,,,-0.971855,-0.91444,-0.88165,1.5015100000000001,-0.531825,-0.11094800000000002,-0.67394,,,,-0.90351,,-0.56462,,,,,,,,0.2334099999999999
0,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.94932,-0.89341,-1.0099,,,,-0.7489600000000001,,,,,,,-0.3249599999999999,-0.4437749999999999,-0.73033,0.287763,,-0.44299666666666665,-0.017432,-0.4414399999999999,-0.28768,-0.19915,-0.51599,-0.5113300000000001,0.29940666666666665
1,612,2,2,,,,,,,,,,,,0.35484,,0.28535,,,-0.4617,,,,,,,,,-0.5311899999999999,-0.70492,,-0.63543,,,-0.37483,,-0.34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77441,,,,,-1.0003,,,-0.72229,,,,,,
0,353,1,2,,,,0.68015,1.0988,,0.60797,-0.11384,,-0.26902899999999996,0.019695000000000074,0.18209999999999998,,,,,,0.14601,,,,,-0.26542,,-0.72738,-1.0594,,-0.5782066666666666,-0.6588075,,0.0738299999999999,,,0.052176,,,,0.4997,,,,,0.46361,,,,,,1.3009,,,,,1.9144,,,,,,1.5391,1.79175,3.6684,,2.4197,,,,,1.7917,,,0.24706,0.402255,,,,,
2,244,2,4,,,,,,,,,,-1.2679,,,,,,,,,,,-0.32289,-0.8204466666666667,-1.2679,-0.8060999999999999,-0.11885,-1.1175,,,,,,,,,,,,,,,-1.4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18,2,1,-0.40509,,,,,,-0.477184,,-0.60677,-0.12188133333333333,-0.45015000000000005,-0.12832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8910549999999999,-0.93933,-0.35789333333333334,-0.24418,0.98522,,,,,0.6827,1.114,0.2450099999999999,1.6353,,,,-0.84278,-0.46087666666666666,0.7148800000000001,-0.49521,-0.5467,,-0.77842,,,
0,26,1,2,,,,,,,,,,,,,,,,,,,,,,,-0.57929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18587,2.5881,-0.85214,-0.7839099999999999,,,,,,,,,,,,,,,,-1.2318,-1.1249666666666667,-1.0479,,,,-1.1546
2,1001,1,2,,,,,,-0.45418,-0.42496,-0.5491349999999999,-0.42496,-0.42496,,-0.5856600000000001,,,,,,,,,,,,,,,,,,,0.18861,0.20322,,,,,0.11556,1.8978,,,,-0.088959,,,,,,0.3347,,3.1396,,,3.1396,,2.7013,,,,,0.20322,,,0.11556,0.14478,-0.015915,,0.3785199999999999,-0.088959,,,,,,,,0.846,,0.4953899999999999
1,84,1,3,,,,,,,,,,,-0.2772699999999999,,-0.4158549999999999,,,,,,,,-0.1691099999999999,,,,,,,,,0.35143,,-0.054182,,,-1.1561,,,,,,,,,,,,,,-0.4733199999999999,-0.4733199999999999,,,,,-0.8451299999999999,,,,-0.42599,,,,-0.8992100000000001,-0.060943,,,,,,,,-1.0344,-1.0277,,,,,
2,119,1,2,,,,,,,0.17818,-0.42527499999999996,,,,-0.46718,-0.46718,-0.56217,-0.6879,-0.66833,0.1698,-0.21574333333333331,,-0.63481,1.955,,-1.13765,-1.14185,,,,-1.2969,-1.2689666666666666,-0.96586,-0.6515746666666667,-0.38058033333333335,-0.45042,-0.9093074999999999,-1.1083500000000002,,,,,,,,,,,,,,-0.85272,-0.83596,3.2541,,-0.7521399999999999,-0.83596,-0.83177,-0.7772899999999999,-0.970035,-0.94491,,-0.78567,,,,,,,,,,,,,,,,,,
2,244,2,2,,-0.64504,,,,,-0.15107,,-0.2853,-0.15107,,,,-0.43027,,,,-0.027572999999999997,,-0.065158,,,,,,,,,-0.37121000000000004,-0.67726,,-0.27635000000000004,-0.167175,0.05654799999999999,-0.4947033333333333,,,,,,0.31069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,81,1,1,,,,,,,,,,,-0.446175,-0.72621,-0.51618,,-1.0062266666666666,-0.9829025,-0.380055,1.48038,0.5572866666666667,,0.27141000000000004,,,-0.08446600000000004,,0.38355333333333336,,,0.04388499999999999,0.22279,,0.584495,-0.26726,,-0.31394,,,,,0.4406,-0.11363499999999996,-1.2629,,,,-1.045145,,,,-0.25171,,-0.97512,,-0.772864,-0.57063,-1.1851500000000001,-1.10345,2.1286,2.2608,,0.42504,2.2491499999999998,,-0.55508,-0.18169799999999994,1.1173,0.09054333333333335,-0.67953,0.73619,0.22279,,-0.21281333333333333,0.051664,-1.06071,,,-0.947905,-0.8000975
0,648,2,1,,,,,0.37776,1.9285,1.9285,,,0.41967,,1.5513199999999998,0.6501899999999999,,,,,0.80736,,2.1381,1.7469,,,,,,,,,,,,,,,,2.6131,0.9855,,1.705,0.0145169999999999,1.0344056666666666,0.995952,,1.1531,1.5583,,,0.96454,1.0204133333333332,,,1.2789,,,-0.15313,,0.6012949999999999,0.6956,0.32886,,,,,0.81086,,0.26599,,,,,0.23805,,,,,,
0,55,2,1,,-0.61903,,-0.63947,-0.946,,,0.50785,0.39398999999999995,,0.7764300000000001,,,,,,,,,,-0.6832600000000001,-0.7358100000000001,,-0.57524,,-0.64628,-0.63655,,-0.3271,,,,-0.8525799999999999,,,,,,,,,,-0.80587,,,,,,,,,,,,-0.74749,,,,,,,-0.99855,,-1.0511,,,,,,,,,,,,,-1.162,
3,455,2,2,,,,,,,,,,,,-1.2343,,,-1.22885,,,-1.0488,,-1.2452,-1.4307,,,,,,,,,,,,,,-0.7759199999999999,,,,,,,-0.40486,,,,,,,,,,,,-0.15385,,,-0.6449600000000001,,,,,-0.6449600000000001,,,,,,,,,,,,,,,,
1,142,2,1,-0.51066,,0.14159,,0.0532659999999999,-0.40874499999999997,0.14159000000000002,-0.32381499999999996,,,0.10762,0.28427,-0.069031,2.6759,1.6567,1.85035,,,1.6771,1.73145,,,,,1.0113,1.4053,0.657935,0.50848,1.3646,,0.15518,0.27748,0.31824,0.15178500000000003,-0.16415,-0.269465,,,,0.0125,2.1255,,1.0181,0.933105,,,0.90935,0.9025433333333334,,,,,,,,,-0.5989800000000001,,-0.56501,,-0.3974166666666666,-0.4268633333333334,,-0.4563,-0.5582166666666667,,0.29107,-0.5038600000000001,-0.15736,-0.30230166666666664,,-0.61257,,-0.186801,-0.52085,,-0.30004,-0.25248
2,43,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3386099999999999,,,,,,,,,,,0.55291,0.23146,0.5752366666666666,,,-0.7128,0.28503666666666666,,-0.32103,-0.11677499999999999,,0.057344,,,,,,,,,,,,,,,,,,,,,,
0,613,1,1,,,0.08249,,,,-0.66185,-0.78063,-0.66185,-0.539115,-0.43221666666666664,,-0.66977,,-0.75688,-0.92317,-0.51932,-0.2421699999999999,,,,,,,-0.2105,-0.75688,,,,,,0.52593,0.17751,,-0.0442069999999999,,,,,,,,,,,,,,,,,,,,,-0.48765,,,,,0.066653,-0.36887,,0.28045,-0.44805,,,0.14584,,,,,,,-0.89149,,,
2,172,2,3,,0.35599499999999995,,,,-0.2511,,,,,,,,,,,,,,,,,,,,-0.016424,,,1.5141,0.24886,0.34068999999999994,,-0.23749466666666666,,,,,,,,-0.29191,0.66719,,,,,,,2.4936,,,0.12642,0.28967,-0.2755868,-0.332727,0.28967,-0.1388599999999999,,,,,,,-0.43986000000000003,,,,,-0.6354233333333333,,-0.5776,,,0.13662,,,-0.2511,-0.10825
0,406,1,1,-0.42678,,,,-0.012376,-0.94667,,-0.91653,,,,,,,,,,,,,,,-0.69803,,,-0.28362,,,-1.0597,,-0.72063,-0.26855,,,-0.85625,,,,,,,,,,,,,,,0.2212,-0.26102,-0.25348,0.2212,-0.30999,-0.4041745,-0.03498,-0.5398,,,,,,-0.03498,,,,,,,,,-0.22334,,,,,,-0.88639
2,808,2,1,,,,,,,,,,,,,,,,-1.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1080999999999999,,,-1.1977,,,,-0.81176,,,,,,,0.45624,,,-0.08817,0.0703299999999999,0.63542,,0.80081,1.9516499999999999,,,0.084113,,,0.084113
1,98,1,2,,,,,,-0.8363299999999999,-1.1203,,,-1.2646666666666666,-1.2978,,-1.3262,,,,,,,-1.1629,-1.2907,,,,,,,,,,,,,-1.17,-1.06705,,-1.1061,,,-0.8292299999999999,,-1.0422,-0.7085400000000001,,,,,-0.55235,,,-0.7156399999999999,,,,,,,,,,,,,,,,,,,,,-1.3546,,,,,,
1,468,1,2,,-0.20823,,,,-0.67145,-0.7743800000000001,-0.38322,-0.79497,-0.5582199999999999,,-0.88761,-0.8121266666666668,,,,,-0.67145,,,-0.59939,-0.5582199999999999,-0.218523,,0.19322,-0.002360000000000001,,,,,,,,,,,,,,-0.49645,,,5.69,-0.5788,,,,,,,,,,,,-0.17735,-0.64057,,,-0.012651,-0.6611750000000001,-1.0214,-0.21852449999999998,-1.0008,-0.42234,,,-0.10528666666666668,,-0.68174,-0.88761,,-0.59939,,,,,
