fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g152,chr9-g153,chr9-g154,chr9-g155,chr9-g156,chr9-g157,chr9-g158,chr9-g159,chr9-g160,chr9-g161,chr9-g162,chr9-g163,chr9-g164,chr9-g165,chr9-g166,chr9-g167,chr9-g168,chr9-g169,chr9-g170,chr9-g171,chr9-g172,chr9-g173,chr9-g174,chr9-g175,chr9-g176,chr9-g177,chr9-g178,chr9-g179,chr9-g180,chr9-g181,chr9-g182,chr9-g183,chr9-g184,chr9-g185,chr9-g186,chr9-g187,chr9-g188,chr9-g189,chr9-g190,chr9-g191,chr9-g192,chr9-g193,chr9-g194,chr9-g195,chr9-g196,chr9-g197,chr9-g198,chr9-g199,chr9-g200,chr9-g201,chr9-g202,chr9-g203,chr9-g204,chr9-g205,chr9-g206,chr9-g207,chr9-g208,chr9-g209,chr9-g210,chr9-g211,chr9-g212,chr9-g213,chr9-g214,chr9-g215,chr9-g216,chr9-g217,chr9-g218,chr9-g219,chr9-g220,chr9-g221,chr9-g222,chr9-g223,chr9-g224,chr9-g225
1,612,2,1,,,,,,,,,-0.98289,-0.513815,,,,0.076871,,,,,,,,,0.7891699999999999,0.46775500000000003,,-0.42695,,,,,,,,-0.47907,-0.40958,,,,,0.82391,,,,,,0.26798,0.49383,,-0.26190349999999996,,,,,,-0.8612799999999999,,,-0.6701699999999999,,,,,-0.4964399999999999,,,-0.61805,,,,,,-0.8612799999999999,,-0.54856
0,89,2,3,,,,,,,,,,,,,-1.0692,-0.75722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0798,,,,,,,,,,,-0.45578,,-0.74135,,,,,,,,,-1.1856,-1.15385,-0.99168,-0.9616933333333334,-1.1221,-0.7215275,-0.8484475,-0.9952,-0.6020933333333334,-0.75193
1,53,1,3,,,,,,,,,,,-1.3774,,,,,-0.24931,,-1.0356,,,-0.92619,-0.24247,,,,,-1.2339,,,,,,,,,,,,-1.1245,,,,,,,,,-1.19965,,,,,-0.92619,,,,,,-1.3091,-1.0424,-0.5706600000000001,-1.2749,-0.96721,-1.2749,-1.1108,-1.1655,,,,,,,,
2,569,2,1,-0.77066,-0.667195,-0.30815,-1.20275,-1.4218,-0.98973,,,-0.28381,-0.064726,,,,,-0.5272300000000001,-0.17427,-0.6246,-0.42986,,,,,-0.50289,-0.78283,,,,,,,,,-0.6732899999999999,-0.8558600000000001,,,-0.74632,,,,,,,,-0.3000366666666667,0.008300000000000002,-0.6611199999999999,-0.460295,-0.5515800000000001,-0.56375,,,0.33693,,1.15239,,,,,-0.795,-0.44204,-0.795,,-1.0384,-1.2819,-1.4766,-1.1358,,,,-1.1358,-1.0871,-1.0546666666666666,-1.079
2,711,2,2,,,-0.33682,-0.33682,,,-1.0682,,,,,,,,,,,,,,,1.3919,,0.35468,-0.15065,-0.19054,0.048824,0.5009600000000001,,,,,0.99298,0.58075,,,,,,,,,,,,,,,,,,,,,,,-1.148,-1.1613,,,-0.91529,-0.85544,,,,,-0.77566,,-1.24775,,-1.1657333333333333,-1.281,,
0,610,2,1,-0.7013199999999999,-0.36208,-1.1236,-0.7013199999999999,,-1.0752,,-0.62516,,-1.0336,,,,,,-0.32054333333333324,,-0.37938999999999995,-0.434774,,,,,,,,,,-1.2067,,,,,,,-0.80516,,,,,,,,,0.40639,,,,,,,,0.6487,-0.26516,-0.55593,,-0.52824,-0.071308,,,,,,,,,,,,,-0.8882399999999999,,,
1,189,2,3,,,,,,,,,,,,,,,,,,,,-0.8326399999999999,,,,,,,,,,,,,,,-0.20898,,,-0.8245399999999999,,2.4719,2.0427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97843,,,
3,27,2,1,-0.18261,-0.27818,0.11773,,,,0.049468,,,,,0.47268,,,-2.7219,,-2.7219,-1.220175,-2.7219,-2.7219,,-2.7219,,,,,,,,,,,,,,,,,,,,,,,-2.7219,,,-2.7219,,,,,,0.46926500000000004,,-0.29183,-0.6604300000000001,,0.38394,0.6433300000000001,,,,,,,,,,,,,,
2,181,2,2,-1.2807,,,,-1.3477,-1.3477,-1.2711,,,,,,,-1.2903,,,,-1.2903,-1.3382,-1.2903,,-0.93573,,,,,,,,,,,-0.00631,,-0.082963,,,,,,,,,,,,,,,,,-0.5333,,,,,,,,,,,,-1.2711,,,,-1.1178,-1.0315,-1.0795,,,-1.3222,-0.8638699999999999
1,98,1,5,,,,,-1.1203,-1.3333,,,,,,,,,,,-1.3617,,,,,,,,-1.2836,-1.2551999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
