,paint,chrom,prefix,gene,Atp,BC,Ccdc,Cd,Cyp,Eif,Fam,Gm,Gpr,Il,Krt,Krtap,Lrrc,Mir,Olfr,Ppp,Rab,Rnf,Rpl,Slc,Snord,Tmem,Trim,Usp,Vmn,Wdr,Zfp,Rhox,Skint,Dnah
0,1,chr1,"Rp,Sox,Xkr","Rp1,Sox17,Xkr4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,chr1,"Atp,Lypla,Mrpl,Npbwr,Oprk,Rgs,Tcea","Atp6v1h,Lypla1,Mrpl15,Npbwr1,Oprk1,Rgs20,Tcea1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,chr1,"Alkal,Pcmtd,Rb,St","Alkal1,Pcmtd1,Rb1cc1,St18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,chr1,Sntg,Sntg1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,chr1,",Adhfe,Arfgef,Cops,Cpa,Cspp,Mcmdc,Mybl,Ppp,Rrs,Sgk,Snhg,Snord,Sntg,Tcf,Vcpip,Vxn","1700034P13Rik,2610203C22Rik,Adhfe1,Arfgef1,Cops5,Cpa6,Cspp1,Mcmdc2,Mybl1,Ppp1r42,Rrs1,Sgk3,Snhg6,Snord87,Sntg1,Tcf24,Vcpip1,Vxn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,6,chr1,"A,Cpa,Mir,Prex","A830018L16Rik,Cpa6,Mir467e,Prex2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,chr1,"Gm,Mir,Ncoa,Prdm,Slco,Sulf","Gm17644,Mir6341,Ncoa2,Prdm14,Slco5a1,Sulf1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,chr1,"Eya,Gm,Lactb,Msc,Tram,Trpa,Xkr","Eya1,Gm5523,Lactb2,Msc,Tram1,Trpa1,Xkr9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,chr1,",Kcnb,Rdh,Rpl,Sbspon,Stau,Terf","4930444P10Rik,Kcnb2,Rdh10,Rpl7,Sbspon,Stau2,Terf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,10,chr1,"Crispld,D,Eloc,Gdap,Gm,Jph,Ly,Pi,Stau,Tmem,Ube","Crispld1,D030040B21Rik,Eloc,Gdap1,Gm16070,Jph1,Ly96,Pi15,Stau2,Tmem70,Ube2w",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,11,chr1,"Crisp,Defb,Gm,Tfap","Crisp4,Defb18,Defb41,Defb44-ps,Gm15825,Tfap2b,Tfap2d",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,chr1,",Efhc,Il,Lincmd,Mcm,Mir,Paqr,Pkhd","4930486I03Rik,6720483E21Rik,Efhc1,Il17a,Il17f,Lincmd1,Mcm3,Mir133b,Mir206,Paqr8,Pkhd1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,chr1,"Gm,Gsta,Kcnq,Khdc,Rims,Tmem,Tram","Gm4956,Gsta3,Kcnq5,Khdc1a,Khdc1b,Khdc1c,Rims1,Tmem14a,Tram2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,14,chr1,"B,Gm,Mir,Ogfrl,Ppp,Rims,Sdhaf,Smap","B3gat2,Gm28822,Gm7759,Mir30a,Mir30c-2,Ogfrl1,Ppp1r14bl,Rims1,Sdhaf4,Smap1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,chr1,"Adgrb,Col,Fam,Gm,Lmbrd,Sdhaf","Adgrb3,Col19a1,Col9a1,Fam135a,Gm20172,Lmbrd1,Sdhaf4",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,chr1,",Adgrb","4931408C20Rik,Adgrb3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,chr1,Gm,Gm5524,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,chr1,"Gm,Mir","Gm597,Mir6342",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,chr1,",Gm,LOC,Lgsn,Phf,Pih,Ptp","4931428L18Rik,Gm13363,Gm29669,Gm31465,Gm4850,LOC115487084,Lgsn,Phf3,Pih1d3,Ptp4a1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,chr1,"Gm,Khdrbs","Gm5415,Gm9839,Khdrbs2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,chr1,",Bag,Bend,Ccdc,Dst,Gm,Imp,Mir,Prim,Prss,Ptpn,Rab,Zfp","1700001G17Rik,Bag2,Bend6,Ccdc115,Dst,Gm15455,Gm32229,Imp4,Mir5103,Mir6896,Prim2,Prss39,Ptpn18,Rab23,Zfp451",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
