200kb name,category,Granule_mean,MLI1_mean,gene,chrom,chrom_id,group,log2FC_G2M
chr1-g17,MLI1,1.6137224468187426,7.424073072604774,Gm1992,chr1,1,17,-2.201818447753059
chr1-g32,Granule,10.961785337793136,0.44976977848703703,St18,chr1,1,32,4.607152252933711
chr1-g33,Granule,10.961785337793136,0.44976977848703703,St18,chr1,1,33,4.607152252933711
chr1-g34,Granule,10.961785337793136,0.44976977848703703,St18,chr1,1,34,4.607152252933711
chr1-g41,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,41,-5.031301129690382
chr1-g42,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,42,-5.031301129690382
chr1-g43,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,43,-5.031301129690382
chr1-g44,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,44,-5.031301129690382
chr1-g45,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,45,-5.031301129690382
chr1-g46,MLI1,0.6961594168750793,22.76571315132746,Sntg1,chr1,1,46,-5.031301129690382
chr1-g64,MLI1,0.012436266295139163,0.2530379992032165,Slco5a1,chr1,1,64,-4.346728734120278
chr1-g76,Granule,13.831339440830025,0.9553715623503564,Kcnb2,chr1,1,76,3.8557351309705243
chr1-g77,Granule,13.831339440830025,0.9553715623503564,Kcnb2,chr1,1,77,3.8557351309705243
chr1-g78,Granule,13.831339440830025,0.9553715623503564,Kcnb2,chr1,1,78,3.8557351309705243
chr1-g96,MLI1,0.04317403923707904,10.089521642974782,Tfap2b,chr1,1,96,-7.868477987274799
chr1-g106,"MLI1,MLI1",0.7644192712620987,5.399346278804003,"Tmem14a,Kcnq5",chr1,1,106,-2.8203486900865338
chr1-g107,MLI1,0.6283762043006111,4.785519961424259,Kcnq5,chr1,1,107,-2.92897523246828
chr1-g108,MLI1,0.6283762043006111,4.785519961424259,Kcnq5,chr1,1,108,-2.92897523246828
chr1-g109,MLI1,0.6283762043006111,4.785519961424259,Kcnq5,chr1,1,109,-2.92897523246828
chr1-g111,Granule,107.98170375366333,15.8454448433091,Rims1,chr1,1,111,2.768646817700539
chr1-g112,Granule,107.98170375366333,15.8454448433091,Rims1,chr1,1,112,2.768646817700539
chr1-g113,Granule,107.98170375366333,15.8454448433091,Rims1,chr1,1,113,2.768646817700539
chr1-g114,Granule,107.98170375366333,15.8454448433091,Rims1,chr1,1,114,2.768646817700539
chr1-g121,Granule,3.5168552003453213,0.06169871594408475,Col19a1,chr1,1,121,5.832901661072599
chr1-g122,Granule,3.5168552003453213,0.06169871594408475,Col19a1,chr1,1,122,5.832901661072599
chr1-g187,Granule,2.4975871165007653,0.5107254143559897,Mgat4a,chr1,1,187,2.2899152441637916
