200kb name,chrom,start,end,pct_gc,gene,density,gene_len,longest gene,shortest gene,mean len,median len,chrom_id,Bergmann_pol_ass,Bergmann_spk_ass,Granule_pol_ass,Granule_spk_ass,log2FC_G2B
chr1-g16,chr1,3200000,3400000,0.3847649999999999,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,4.405040905238597
chr1-g17,chr1,3400000,3600000,0.383925,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,4.405040905238597
chr1-g18,chr1,3600000,3800000,0.389235,Xkr4,1.0,457017,457017.0,457017.0,457017.0,457017.0,1,0,0,0,0,4.405040905238597
chr1-g24,chr1,4800000,5000000,0.40512,"Lypla1, Tcea1, Rgs20",3.0,"38913, 39582, 160710",160710.0,38913.0,79735.0,39582.0,1,0,0,0,0,-2.79868397383307
chr1-g25,chr1,5000000,5200000,0.4072749999999999,"Rgs20, Atp6v1h",2.0,"160710, 79464",160710.0,79464.0,120087.0,120087.0,1,0,0,0,0,-2.79868397383307
chr1-g32,chr1,6400000,6600000,0.400595,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,5.582869615993812
chr1-g33,chr1,6600000,6800000,0.3847250000000001,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,5.582869615993812
chr1-g34,chr1,6800000,7000000,0.39825,St18,1.0,373710,373710.0,373710.0,373710.0,373710.0,1,0,0,0,0,5.582869615993812
chr1-g54,chr1,10800000,11000000,0.40343,"Mir467e, Prex2",2.0,"157488, 310218",310218.0,157488.0,233853.0,233853.0,1,1,0,0,0,-8.342464120445666
chr1-g55,chr1,11000000,11200000,0.39033,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,1,0,0,0,-8.342464120445666
chr1-g56,chr1,11200000,11400000,0.3876349999999999,Prex2,1.0,310218,310218.0,310218.0,310218.0,310218.0,1,1,0,0,0,-8.342464120445666
