fov,cellID,rep,dbscan_ldp_nbr_allele,chrX-g93,chrX-g94,chrX-g95,chrX-g96,chrX-g97,chrX-g98,chrX-g99,chrX-g100,chrX-g101,chrX-g102,chrX-g103,chrX-g104,chrX-g105,chrX-g106,chrX-g107,chrX-g108,chrX-g109,chrX-g110,chrX-g111,chrX-g112,chrX-g113,chrX-g114,chrX-g115,chrX-g116,chrX-g117,chrX-g118,chrX-g119,chrX-g120,chrX-g121
2,636,2,1,,1.4359,0.4786,,9.6533,,5.876256,1.10283,,6.448303333333333,,,3.35922,,,,,1.3148,0.83263,1.8086,1.5173999999999999,0.075646,,,,-0.66969,,,
1,208,2,1,1.3256,,1.135705,,0.706295,0.67766,1.4815,1.3512,1.2969,1.5772,2.6895462500000002,0.54356,3.342093333333333,0.27687,0.36124399999999995,0.2844,0.4848,-0.24598,-0.042566,-0.032018,-0.263305,-0.23894400000000002,-0.1967533333333333,-0.086263,,-0.47802,,-0.2218699999999999,
0,55,2,2,,,,,,,,,,,,,,,,,,-0.54371,-0.5051100000000001,-0.40861,-0.4970699999999999,-0.3426599999999999,,-0.3426599999999999,-0.39413,,0.043362,,
2,792,2,1,,,,,9.27915,,9.2105,,,0.81329,,,,,,,,,,,,,4.5667,,4.5667,,0.060404,,
0,18,2,1,,,,,,,,,,,,,,,,,,-0.28785666666666665,,,-0.37079999999999996,,,0.5473,-0.26355,-0.012569,0.23679874999999997,,
0,55,2,1,,,-0.04349549999999999,2.776619666666667,,4.467355,2.1857875,-0.4883862,2.1721132499999998,-0.033845000000000014,,4.587185,0.574145,6.570906666666666,,0.48407,8.7562,5.101084999999999,-0.013740000000000002,0.28355333333333327,0.4326,1.4454581428571431,0.35754333333333327,,0.002345,0.12217,,,
0,116,1,2,,,,0.05,,5.2621,2.9431,,,0.71586,,,6.4589,7.0358,,,10.09535,,9.1712,9.2802,,5.5089,,6.8579,6.81335,,0.22221,,
3,86,2,1,0.13204499999999997,0.356795,-0.08057050000000003,0.12813,0.1665,-0.023013,0.2260199999999999,0.007267000000000047,-0.12246649999999999,-0.0034350000000000006,-0.10289,,,,,0.24794,,0.22132,,,,0.0412019999999999,0.33565,,0.33565,-0.11072,0.165715,0.8838299999999999,
1,53,1,1,,-0.10001,2.1477666666666666,2.9268,2.0752,2.2835,,0.57802,2.6237,,0.42298,,,0.6543800000000001,0.48546,0.49471000000000004,-0.03173999999999999,,0.74232,0.34776999999999997,,0.45074500000000006,0.52595,,,,1.2375,-0.34761,
1,84,1,1,3.2983666666666664,,6.4766,2.5909125,1.2333500000000002,1.2898,6.755533333333333,7.4849499999999995,1.1437,1.157,5.704,,0.4397,0.78505,0.12978,3.42055,,4.0858,8.18455,8.5,3.4026000000000005,4.2961,,3.6607,2.0048,1.5665,0.087715,0.087715,
