fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g404,chr7-g405,chr7-g406,chr7-g407,chr7-g408,chr7-g409,chr7-g410,chr7-g411,chr7-g412,chr7-g413,chr7-g414,chr7-g415,chr7-g416,chr7-g417,chr7-g418,chr7-g419,chr7-g420,chr7-g421,chr7-g422,chr7-g423,chr7-g424,chr7-g425,chr7-g426,chr7-g427,chr7-g428,chr7-g429,chr7-g430,chr7-g431,chr7-g432,chr7-g433,chr7-g434,chr7-g435,chr7-g436,chr7-g437,chr7-g438,chr7-g439,chr7-g440,chr7-g441,chr7-g442,chr7-g443,chr7-g444,chr7-g445,chr7-g446,chr7-g447,chr7-g448,chr7-g449,chr7-g450,chr7-g451,chr7-g452,chr7-g453,chr7-g454,chr7-g455,chr7-g456,chr7-g457,chr7-g458,chr7-g459,chr7-g460,chr7-g461,chr7-g462,chr7-g463,chr7-g464,chr7-g465,chr7-g466
3,455,2,1,0.3136,0.011289999999999953,0.2320199999999999,,0.32558999999999994,,,,,,,,,,,,,,,,-1.4187,-1.8745,,,-2.3448,-1.95845,-2.1912,-2.1288,,,,,-0.11347,-0.11347,,,,-0.44456,,,,,,,,1.3693,,,,0.79824,-0.47815,0.2560199999999999,,0.72147,,0.078473,,,,,,,
1,612,2,1,,,,,,,,,,,,-0.31181,,-0.5867100000000001,,,,,,,,,0.99398,,,,,,,-0.91316,,,,,,,,,,,0.68472,,,-0.62108,-0.36336,,-0.32899,,,,,-0.34617,-0.09417666666666664,,,,,,,1.0799,,,
2,181,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6277,,,,,,,,,,,,,,,,,,,,,,,,,-0.40896,,
1,144,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52855,,-0.464175,,,,,,,,,,,,,-0.17342999999999997,-0.52855,,,-0.226,-0.43199,-0.2775,,,,,,
0,5,2,1,,,,,0.036768,,,,,,,0.32727,,,0.0554429999999999,,,,,,,,,,,,,,-0.372,,,,,,-0.5878,-0.42803,,-0.39068,-0.50273,,-0.20808,,,,,,,,,,,,,,,,,,,,,,
3,937,2,1,,,,,,-0.1991099999999999,,-0.2045,-0.25087333333333334,-0.2678575,,,,,-0.4611699999999999,,-0.44823,-0.48058,,-0.30911,-0.228225,,-0.250875,-0.2444,-0.31558,-0.48705,-0.29293,,,,-0.48866999999999994,,,,,,,,-0.4094,-0.5496,,-0.438525,-0.588965,-0.33176,-0.23793,,-0.2897,,-0.26705,-0.448225,-0.23793,-0.25411,,-0.098813,,,,,,,,-0.4902899999999999,-0.5118533333333334
1,94,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38774,,,,,,,,,,,,,,,,,,-0.49122,-0.43209,,,,,,,,,,,-0.53803,,,,,
0,55,2,1,,,,,,,,,,,,,,,,,,,,,-0.25581,,,-0.33462,,,,-0.5051100000000001,,-0.2107699999999999,-0.35070499999999993,,,,,,,,,,,,,,,,-0.32497,,,,-0.43723799999999996,-0.5380849999999999,,,,-0.6514800000000001,,,,,,,
1,94,1,3,,-0.32614,-0.38035,-0.26455,,-0.42716,,-0.53557,-0.37246199999999996,-0.4653549999999999,-0.44686999999999993,-0.39759500000000003,,-0.391435,,,,,-0.6353599999999999,,-0.659995,,-0.6218,-0.54789,,,-0.63782,-0.1586,-0.20049,-0.34093,-0.34093,,-0.35325,-0.32121666666666665,-0.2399099999999999,,,,,,,,,,,,,,,,,,-0.43455,-0.4518,-0.65137,,-0.5676,-0.28426,-0.37049,,-0.28426,-0.37296,
0,99,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33085,-0.27471,,,,,,,,,,-0.26161,,-0.26535,-0.19424,,,,,,,,-0.3065199999999999,-0.20546,-0.38325,,,-0.13996,,
2,230,2,3,,,,,,,,-0.14173,-0.10965,,,-0.23618250000000002,,,,,,,,,,-0.25044,-0.354695,-0.25578666666666666,,-0.26885599999999993,-0.086483,,,,-0.2041,-0.24331,-0.2709349999999999,-0.46252,-0.4643,,,,-0.1649,,-0.17381,,,,,,,,,-0.32529,,,,,,,,,,,,-0.1441043333333333,
2,210,2,3,,,,-0.22084,,,,,,-0.17659,,-0.60305,,,,,,,,,-0.86255,,,0.07084,-0.013647,-0.54974,,,,,-0.33752,-0.18865599999999993,-0.0910955,,-0.07533666666666664,-0.5909800000000001,-0.21581499999999998,-0.23694,,,,,,,,,,,,,,,,,,,,,-0.6292,,,,
1,142,2,2,,,,,-0.4848,,,,,-0.34773,,,,,,,,,,,,,,,,-0.34649,-0.43417,,,,-0.019234,-0.29339,,-0.1983,-0.1983,,,,,,,,,,,0.2265199999999999,0.17712,0.0807955,0.15077333333333334,0.14748,0.007934,,0.25368,0.14378,-0.14273,0.007934,,,,,,,
