200kb name,category,Bergmann_mean,Purkinje_mean,gene,chrom,chrom_id,group,log2FC_B2P
chr1-g24,Bergmann,12.453579094094493,0.10803409889382165,Rgs20,chr1,1,24,6.848929871418119
chr1-g25,Bergmann,12.453579094094493,0.10803409889382165,Rgs20,chr1,1,25,6.848929871418119
chr1-g54,Bergmann,61.932191639680624,0.06220853238956811,Prex2,chr1,1,54,9.959361314422733
chr1-g55,Bergmann,61.932191639680624,0.06220853238956811,Prex2,chr1,1,55,9.959361314422733
chr1-g56,Bergmann,61.932191639680624,0.06220853238956811,Prex2,chr1,1,56,9.959361314422733
chr1-g63,Bergmann,7.883448510031052,0.05057330696367024,Sulf1,chr1,1,63,7.284306926676501
chr1-g64,Bergmann,7.883448510031052,0.05057330696367024,Sulf1,chr1,1,64,7.284306926676501
chr1-g70,Bergmann,1.042835972658409,0.047636372058933577,Eya1,chr1,1,70,4.452304901333037
chr1-g71,Bergmann,1.042835972658409,0.047636372058933577,Eya1,chr1,1,71,4.452304901333037
chr1-g104,Bergmann,29.155254643557093,0.22958496756790814,Paqr8,chr1,1,104,6.988583930757655
chr1-g160,Purkinje,0.12967572093708374,13.36884667914596,Khdrbs2,chr1,1,160,-6.68782280986214
chr1-g161,Purkinje,0.12967572093708374,13.36884667914596,Khdrbs2,chr1,1,161,-6.68782280986214
chr1-g162,Purkinje,0.12967572093708374,13.36884667914596,Khdrbs2,chr1,1,162,-6.68782280986214
chr1-g163,Purkinje,0.12967572093708374,13.36884667914596,Khdrbs2,chr1,1,163,-6.68782280986214
chr1-g173,Bergmann,2.3202268394650423,0.08079684377094164,Arhgef4,chr1,1,173,4.843823111675299
chr1-g174,Bergmann,2.3202268394650423,0.08079684377094164,Arhgef4,chr1,1,174,4.843823111675299
chr1-g194,Bergmann,2.350898256222026,0.023655309273195403,Chst10,chr1,1,194,6.634904269184478
chr1-g213,"Bergmann,Bergmann",3.821289501551351,0.07136357424636072,"Pantr1,Pou3f3",chr1,1,213,5.742727875951419
chr1-g258,Purkinje,0.020938939657552374,1.7745721734411002,Myo1b,chr1,1,258,-6.405139054649859
chr1-g259,Purkinje,0.020938939657552374,1.7745721734411002,Myo1b,chr1,1,259,-6.405139054649859
chr1-g269,Purkinje,0.10379671607541338,8.396021206438908,Hecw2,chr1,1,269,-6.337873105066032
chr1-g270,Purkinje,0.10379671607541338,8.396021206438908,Hecw2,chr1,1,270,-6.337873105066032
chr1-g275,Bergmann,3.2954649308363253,0.0045500018343722,Rftn2,chr1,1,275,9.500399175633193
