200kb name,category,Granule_mean,Purkinje_mean,gene,chrom,chrom_id,group,log2FC_G2P
chr1-g24,Granule,1.7898076451953302,0.10803409889382165,Rgs20,chr1,1,24,4.050245897585049
chr1-g25,Granule,1.7898076451953302,0.10803409889382165,Rgs20,chr1,1,25,4.050245897585049
chr1-g31,Granule,6.6568796278454325,1.2717219429026485,Rb1cc1,chr1,1,31,2.388062815751337
chr1-g32,Granule,10.961785337793136,0.1266353705867146,St18,chr1,1,32,6.435658556971023
chr1-g33,Granule,10.961785337793136,0.1266353705867146,St18,chr1,1,33,6.435658556971023
chr1-g34,Granule,10.961785337793136,0.1266353705867146,St18,chr1,1,34,6.435658556971023
chr1-g41,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,41,-2.4126829455444336
chr1-g42,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,42,-2.4126829455444336
chr1-g43,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,43,-2.4126829455444336
chr1-g44,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,44,-2.4126829455444336
chr1-g45,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,45,-2.4126829455444336
chr1-g46,Purkinje,0.6961594168750793,3.7067955997273065,Sntg1,chr1,1,46,-2.4126829455444336
chr1-g57,Granule,0.8060310201619287,0.10454673920892492,A830018L16Rik,chr1,1,57,2.946687296773712
chr1-g58,Granule,0.8060310201619287,0.10454673920892492,A830018L16Rik,chr1,1,58,2.946687296773712
chr1-g67,Granule,1.226284255414228,0.29856000396854715,Tram1,chr1,1,67,2.0382006221176447
chr1-g76,Granule,13.831339440830025,0.15487698697966923,Kcnb2,chr1,1,76,6.480674273663745
chr1-g77,Granule,13.831339440830025,0.15487698697966923,Kcnb2,chr1,1,77,6.480674273663745
chr1-g78,Granule,13.831339440830025,0.15487698697966923,Kcnb2,chr1,1,78,6.480674273663745
chr1-g79,Granule,2.8904095920962214,0.5334964130568817,Terf1,chr1,1,79,2.437723471321227
chr1-g84,Granule,8.19792829069494,0.6038392573925566,Jph1,chr1,1,84,3.7630229114935596
chr1-g85,Granule,8.19792829069494,0.6038392573925566,Jph1,chr1,1,85,3.7630229114935596
chr1-g104,Granule,3.3420179384976887,0.22958496756790814,Paqr8,chr1,1,104,3.863619389657303
chr1-g111,Granule,107.98170375366333,0.8416702907271809,Rims1,chr1,1,111,7.0033159758344325
chr1-g112,Granule,107.98170375366333,0.8416702907271809,Rims1,chr1,1,112,7.0033159758344325
chr1-g113,Granule,107.98170375366333,0.8416702907271809,Rims1,chr1,1,113,7.0033159758344325
chr1-g114,Granule,107.98170375366333,0.8416702907271809,Rims1,chr1,1,114,7.0033159758344325
chr1-g118,Granule,1.1391507101738458,0.312871870926524,B3gat2,chr1,1,118,1.8643147663924033
chr1-g119,Granule,1.1391507101738458,0.312871870926524,B3gat2,chr1,1,119,1.8643147663924033
chr1-g121,Granule,3.5168552003453213,0.8435327982835078,Col19a1,chr1,1,121,2.059769866375939
chr1-g122,Granule,3.5168552003453213,0.8435327982835078,Col19a1,chr1,1,122,2.059769866375939
chr1-g123,Granule,5.0081750175842386,0.6439139252813559,Lmbrd1,chr1,1,123,2.959345224973381
chr1-g160,Purkinje,1.8805033280327086,13.36884667914596,Khdrbs2,chr1,1,160,-2.829684245816975
chr1-g161,Purkinje,1.8805033280327086,13.36884667914596,Khdrbs2,chr1,1,161,-2.829684245816975
chr1-g162,Purkinje,1.8805033280327086,13.36884667914596,Khdrbs2,chr1,1,162,-2.829684245816975
chr1-g163,Purkinje,1.8805033280327086,13.36884667914596,Khdrbs2,chr1,1,163,-2.829684245816975
chr1-g167,Granule,1.559290228735645,0.3138081204377892,Prim2,chr1,1,167,2.3129348894121295
chr1-g168,Granule,1.559290228735645,0.3138081204377892,Prim2,chr1,1,168,2.3129348894121295
chr1-g169,"Granule,Granule",33.479981902278396,5.861516801241519,"Bend6,Dst",chr1,1,169,2.5139527996958053
chr1-g170,Granule,22.537019542221124,4.312175973457377,Dst,chr1,1,170,2.3858087771091787
chr1-g171,Granule,22.537019542221124,4.312175973457377,Dst,chr1,1,171,2.3858087771091787
chr1-g172,Granule,0.4246919367531887,0.046945287650671214,Imp4,chr1,1,172,3.1773644646776997
chr1-g173,Granule,1.57183216442217,0.08079684377094164,Arhgef4,chr1,1,173,4.282004431921048
chr1-g174,Granule,1.57183216442217,0.08079684377094164,Arhgef4,chr1,1,174,4.282004431921048
chr1-g180,Granule,0.7401722935418129,0.11682064917833777,Hs6st1,chr1,1,180,2.6635658260024226
