fov,cellID,rep,dbscan_ldp_nbr_allele,chr7-g60,chr7-g61,chr7-g62,chr7-g63,chr7-g64,chr7-g65,chr7-g66,chr7-g67,chr7-g68,chr7-g69,chr7-g70,chr7-g71,chr7-g72,chr7-g73,chr7-g74,chr7-g75,chr7-g76,chr7-g77,chr7-g78,chr7-g79,chr7-g80,chr7-g81,chr7-g82,chr7-g83,chr7-g84,chr7-g85,chr7-g86,chr7-g87,chr7-g88,chr7-g89,chr7-g90,chr7-g91,chr7-g92,chr7-g93,chr7-g94,chr7-g95,chr7-g96,chr7-g97,chr7-g98,chr7-g99,chr7-g100,chr7-g116,chr7-g117,chr7-g118,chr7-g119
3,455,2,1,,-0.60131,,-0.08836500000000001,-0.14293049999999996,-0.2666326666666667,,,0.020771,-0.535825,0.053512,,-0.40121333333333337,-0.65587,,,,,,,,,,,,-0.15385,-0.38303,,,,-0.04471,,,,,,,,,,,,,,
2,210,2,2,-1.5443,-1.589,,,-1.3877,,,,,,-1.5778,-1.4772,-1.287,,,,,,,,,,,,,,,-1.4995,,-1.7456,,,,,,,,,,,,,,,
1,53,1,2,,,,,,,,-1.1108,,,,,,-0.68689,,,,,,,,,,,,,,,-1.0151,,,,,-1.2133,,,,-1.2339,,-1.1518,,,,,
1,194,1,1,,,,,,,,,,,,-0.91794,-0.86016,,,,-1.2068,-1.2068,,,1.2776,-0.5616399999999999,1.6051,0.04503500000000005,,,,,-1.2646,-1.2165,,-0.86016,,-0.44928999999999997,,-0.54238,,,-0.2631199999999999,-0.54238,,,1.2776,1.3643,
2,210,2,3,,-1.0111266666666667,-0.65506,,,-0.8508,,,,,,,-0.8396100000000001,-0.8396100000000001,,,,,,,,,,,-0.24681,-0.91791,,,,,,,,-1.1416,,-1.3429,,-1.0633,-1.0745200000000001,,,,,-1.2758,
0,620,2,1,-0.7674,,0.4359050000000001,1.97795,0.8581533333333334,0.27709,0.044197,,,,-0.026376,,,0.54527,,,,,,-0.47451999999999994,-0.13224,,-0.45687666666666665,,-0.20281,,,,,,,-0.66154,,,,0.6087899999999999,0.27003,,0.6087899999999999,-0.04989900000000003,-0.62625,,,,
1,94,1,2,,-0.6179,,-0.35966,-0.42422,0.00619,,0.23574,,,,,,,,,,,,,0.34334,-0.022504,,,,,,,,,,0.41508,,,,,,,-0.48161,,,,,,
0,26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13248,,,,,,,,,,,,,
0,55,2,2,,-0.855505,,-0.8428533333333333,-0.7630533333333333,-0.61903,-0.72413,,,,-0.92265,,,,,,,,,,,,,-0.93433,,,,,,,,,,0.84649,,0.7122,,0.37939,,-0.93433,,,,,
3,157,2,3,,,,,,,,,,,,-0.17306,,,,,,,,,,,,,,,,-0.83721,,,,-0.63141,,,,,,,,,,,,,
2,181,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.88782,,,,,,,,,,,,,,
3,28,2,1,,-0.01524,,,,,,,,,,-0.15415,-0.160465,,,,,,,0.20575,,,,,,,,,,,,-2.5661,,,,,,,,,,,,,
3,157,2,2,,,-0.3975599999999999,,,,,,,,-0.8652700000000001,,,,,,,,,,-0.76237,-0.15435000000000001,,-0.22918,-0.72496,-1.1272,,,,-0.81382,-1.1272,-1.1833,,-0.91204,,,,,,-0.8185,,,,,
0,89,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5192399999999999,,,,,,,,,,,
2,18,1,1,,,,,,,1.1965,,0.6674399999999999,,,,-0.046845,,,,,,,,,,0.27943,,,2.5898,1.7168,-1.3696,,,,,,1.1083433333333332,0.31031,0.20007,-0.76554,-0.32462350000000006,,,,,1.611,,
1,142,2,2,,,,-0.92511,,-0.91152,,,,,,,,,,,,,,,,,,,,,,,-0.96588,,-0.99305,-1.0746,,,,,,,,,,,,,
2,792,2,1,,,,,,,,,,,,,,,,,,-0.41702,,,,,,,,0.044717,,,-0.056289,,-0.43145,,,-0.070715,,,,,,,,,,,-0.46031
2,1001,1,2,,-0.8194,,,,,,,,,,,,,,,2.6137,2.10235,1.5472,,,,,,,,,,,-0.388437,0.3785199999999999,,,,,,,,,-0.89974,,,,,
2,80,2,2,,-0.54832,-0.59353,,-0.51064,,-0.52571,-0.3071924999999999,,-0.48804,,,,,,,-0.40515,,,,-0.40891999999999995,-0.1866319999999999,-0.44659499999999996,-0.5144099999999999,-0.56904,,-0.7065600000000001,,,,0.34079999999999994,,,,,,,,,,,,,-0.26198,-0.54078
0,648,2,1,,-0.78183,,,,,-0.5163800000000001,,,,,,,,,,,,,,,,,,0.81785,,,-0.76786,,,,,,,,,,,,,,,-0.18108,,
1,98,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.93573,,,,,,,,,,,,,,,,
0,37,1,1,,,,,,,,,,,,,,,,,,0.6311399999999999,,-0.98434,,,,,,0.86872,,-1.2083,-0.2682335,,-0.51599,,,,,,-0.94362,-0.84859,-0.95719,,,,,,-0.72641
2,80,2,1,0.17505,-0.59353,0.39357,0.69121,0.43878,-0.60106,,,,,,,,,-0.6161300000000001,-0.71409,,-0.71409,-0.563385,-0.40138299999999993,-0.670386,-0.7894399999999999,,,-0.8723299999999999,,-0.8723299999999999,,,-0.8874,-0.81958,,-0.66888,-0.766836,-0.480505,,-0.3109615,,,-0.63874,0.17505,,,,
2,30,1,1,-1.36265,-1.4064,-1.3954,,,-0.80512,-0.47717,-0.9253866666666667,-0.833554,-0.36785,-0.02349000000000001,-1.08935,-0.8415633333333333,-1.2315,,-1.308,,-1.3736,,-0.34598000000000007,-0.95817,,,-0.9527125,-1.0456,-0.2148,0.34273,-1.2096133333333332,,-1.1913733333333334,-0.700166,-1.472,-0.36238000000000004,-1.5157,-1.2315,-1.1549,-1.1877,,,,,,,,
2,808,2,1,,1.0489,,-0.06060500000000002,,-0.715278,-0.8324550000000001,-0.5292144999999999,-0.3845,-1.1195666666666668,-0.39141000000000004,-0.9702575,-0.9358,-0.26044999999999996,,,,,,,,-0.94958,,-1.21145,,-1.307925,,-1.2804,,,,-1.432,,,,,,,,,,,,,
2,569,2,1,,0.36734,,-1.41575,1.0915,,-0.56375,-0.4582633333333333,,-0.50289,-0.8376000000000001,-0.7219866666666667,-0.8802,-0.6611199999999999,,,,,,-0.95323,-0.60026,,,-0.81934,-1.1480000000000001,-1.08711,-0.965395,-1.0414625,-1.1885333333333332,-0.892366,-1.096235,-1.01407,-1.0627499999999999,-0.57592,-0.6185149999999999,-0.9654,,-1.3427,,,-1.294,,,,
2,636,2,1,-0.8611200000000001,-0.617725,,-1.002655,,,-0.436593,-0.6535666666666667,-0.40829,-0.5233849999999999,-0.7535725,-0.8800033333333332,-0.6233850000000001,-0.45640025,,,,,-0.28376,-0.5101749999999999,-0.6611166666666667,-0.66867,-0.6347,-0.70263,,-0.9215,-0.87244,-1.019595,-0.87244,-0.81584,-0.77055,-0.97433,,,-0.91772,-0.81018,-0.91772,,,,,,-0.940365,,
0,610,2,1,,,,,,-1.2621,,-0.56285,,,,,-0.064385,,,,,,,-0.5767,,,,,,,,,-1.1236,,,,,,,,,,,,,,,,
