fov,cellID,rep,dbscan_ldp_nbr_allele,chr9-g152,chr9-g153,chr9-g154,chr9-g155,chr9-g156,chr9-g157,chr9-g158,chr9-g159,chr9-g160,chr9-g161,chr9-g162,chr9-g163,chr9-g164,chr9-g165,chr9-g166,chr9-g167,chr9-g168,chr9-g169,chr9-g170,chr9-g171,chr9-g172,chr9-g173,chr9-g174,chr9-g175,chr9-g176,chr9-g177,chr9-g178,chr9-g179,chr9-g180,chr9-g181,chr9-g182,chr9-g183,chr9-g184,chr9-g185,chr9-g186,chr9-g187,chr9-g188,chr9-g189,chr9-g190,chr9-g191,chr9-g192,chr9-g193,chr9-g194,chr9-g195,chr9-g196,chr9-g197,chr9-g198,chr9-g199,chr9-g200,chr9-g201,chr9-g202,chr9-g203,chr9-g204,chr9-g205,chr9-g206,chr9-g207,chr9-g208,chr9-g209,chr9-g210,chr9-g211,chr9-g212,chr9-g213,chr9-g214,chr9-g215,chr9-g216,chr9-g217,chr9-g218,chr9-g219,chr9-g220,chr9-g221,chr9-g222,chr9-g223,chr9-g224,chr9-g225
1,612,2,1,,,,,,,,,-1.8066,-0.7499199999999999,,,,-0.6039,,,,,,,,,0.10055,-0.200129,,-1.3083,,,,,,,,-0.94753,-0.51799,,,,,-0.74135,,,,,,-1.2224,-0.8788,,-0.913155,,,,,,-0.77571,,,-0.93035,,,,,-1.7379,,,-0.2259,,,,,,-0.31181,,-0.8959799999999999
0,89,2,3,,,,,,,,,,,,,-0.51758,-0.7006899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7078,,,,,,,,,,,0.12419,,0.031743,,,,,,,,,-0.62247,-0.710465,-0.57032,-0.4109153333333333,-0.60647,-0.16069875,-0.22513875,-0.0251449999999999,0.08922433333333336,-0.35047
1,53,1,3,,,,,,,,,,,-0.58134,,,,,-0.89374,,-0.17869,,,-0.45869,-0.822,,,,,-0.44018,,,,,,,,,,,,-0.6253,,,,,,,,,-0.7039850000000001,,,,,-0.64382,,,,,,-0.53737,-0.28513,-0.32679,-0.38001,-0.27588,-0.38001,-0.4424899999999999,-0.27819,,,,,,,,
2,569,2,1,-0.25849,-0.2545775,-0.19004,-0.5401,-0.5430349999999999,-0.39049500000000004,,,-0.22133,-0.53228,,,,,-0.38854,-0.43058,-0.36996,-0.38365,,,,,-0.34063,-0.62224,,,,,,,,,-0.6985100000000001,-0.49903,,,-0.42276,,,,,,,,-0.4762166666666667,-0.5117400000000001,-0.63397,-0.415915,-0.7239300000000001,-0.54206,,,-0.53032,,-0.499035,,,,,-0.22133,-0.15875,-0.22133,,-0.32302,-0.4853399999999999,-0.56161,-0.50685,,,,-0.48339,-0.42374,-0.33867,-0.3556166666666667
2,711,2,2,,,-0.3946199999999999,-0.3946199999999999,,,-0.49481,,,,,,,,,,,,,,,-0.3326,,-0.4327899999999999,-0.50912,-0.60931,-0.6117,-0.35168,,,,,-0.53298,-0.4924199999999999,,,,,,,,,,,,,,,,,,,,,,,-0.63555,-0.66179,,,0.149255,0.27807,,,,,-0.64986,,-0.3445299999999999,,-0.7587999999999999,-0.80253,,
0,610,2,1,-0.003192,-0.057364,0.62225,-0.003192,,0.7601399999999999,,0.36124,,1.2181,,,,,,0.9275833333333333,,1.0507149999999998,0.713353,,,,,,,,,,0.42526,,,,,,,0.18887,,,,,,,,,-2.1504,,,,,,,,1.228,-0.91919,1.0113,,-0.015504999999999991,-1.062,,,,,,,,,,,,,1.2329,,,
1,189,2,3,,,,,,,,,,,,,,,,,,,,0.14249,,,,,,,,,,,,,,,-0.26693,,,-0.79401,,-0.47003,-0.50226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.41845,,,
3,27,2,1,0.38447,0.29983,0.4078199999999999,,,,0.17725,,,,,0.7901600000000001,,,0.65882,,0.79891,0.645685,0.39323,0.4837,,0.661735,,,,,,,,,,,,,,,,,,,,,,,-0.5290600000000001,,,-0.43858,,,,,,-0.06791449999999999,,-0.12045,-0.35102,,0.0546669999999999,0.41949,,,,,,,,,,,,,,
2,181,2,2,-0.26945,,,,-0.3349,-0.23156,-0.17128,,,,,,,-0.20573,,,,-0.10239,-0.11617,-0.13856,,-0.11789,,,,,,,,,,,-0.47441,,-0.39863,,,,,,,,,,,,,,,,,-0.3504,,,,,,,,,,,,-0.13856,,,,-0.35901,-0.12305,-0.15578,,,-0.31078999999999996,-0.276345
1,98,1,5,,,,,-0.27382,-0.28204,,,,,,,,,,,-0.31495,,,,,,,,-0.48768,-0.42394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,407,1,1,,0.2402966666666667,0.82403,0.316523,,,,,,-0.20427,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2337699999999999,,,,,,,,,-0.38721,,,-0.5967,-0.49343,,,,,,,,-0.44327,,-0.48163,-0.5052300000000001,,,,,-0.08329,,,,0.13801,,,-0.039031
2,117,1,1,0.1330548,,-0.011867666666666665,-0.10941,0.24593,0.0570575,,0.0204815,-0.01983,,0.1264855,-0.411,0.11753,0.34447,-0.9141425,-0.49013500000000004,-1.14107,,-1.3416266666666667,-0.63794,,,,-0.51253,-0.49163,-0.35427,,,,,,,,,-0.46774,-0.3483,0.15037666666666666,0.11573759999999997,,-0.022816,-1.7935,-0.458021,,0.4012,,,,,,,,,0.0189879999999999,-0.037747,,,-0.20795,,,,,,,,,,,,,,,,,-0.37517
2,584,2,1,,,,,,0.026521,,,,,-0.49295,,-0.4598399999999999,,-0.2968699999999999,-0.2968699999999999,-0.17337349999999999,,-0.34016,,-0.21539,,-0.0065829999999999,-0.35417,-0.34271,-0.47258,-0.40764500000000004,-0.15088,-0.1160799999999999,,-0.257405,,,-0.44711,,0.018881,-0.34016,,-0.3809099999999999,-0.253585,-0.25613,-0.346107,,,,-0.29178,-0.25104,-0.17209999999999995,-0.22557499999999994,-0.11607724999999999,,,,,-0.093161,,-0.011676,,-0.30833,,,,,,,,,,,,-0.2026599999999999,0.10037,,-0.10589
2,31,1,1,,,,,,,,,,,,0.4257,,,-0.3084199999999999,-1.680925,,,,,,,,,,,,,,,,,-0.26693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14245,0.093747,0.288445,,-0.61803,-0.42333,-0.531855,,-1.3330199999999999,,-0.12968
2,603,2,1,,,-0.082669,-0.33113,-0.39059,,,,,,,,,,0.20401999999999998,-0.027456,0.084388,,0.20507999999999993,0.054938999999999995,,0.041561,,,,,-0.0943485,,,,,,,,,0.065982,,,,-0.55198,-0.25256,-0.39554400000000006,-0.50739,,,,-0.055062,,,,,,,,,0.042623,,,,,,,,,-0.37997,,,,-0.3311266666666666,,-0.32264,,-0.08904,
0,215,1,3,,,,-0.236735,,,,,-0.30103,,,,,,,,,,,,,,-0.2355699999999999,0.17124,,,,-0.37818,,,,,,,,,-0.56522,-0.31272,-0.5231399999999999,-0.008785000000000001,,,,0.29749,,,,,,,,-0.115161,0.052002,,,,,,,,,,,,,,,,,,,,,
1,826,1,2,,-0.27439,,-0.27618600000000004,,,,0.16772,,,,-0.34628,,,-0.54037,,-0.47567,-0.24923,,,,,-0.50443,-0.40379,,,,,,,,,-0.238445,-0.19172,,-0.13062,-0.1396,,0.013159,,,-0.24563,,-0.28158,,,,,-0.1953099999999999,-0.2779849999999999,,,,,,,,,,,,,,,,,,,,,,,,
3,718,2,1,,,,,,,,,,,0.070147,,,-0.33484,-0.069214,0.11382233333333334,0.344105,0.5847100000000001,-0.11487566666666667,-0.00012949999999999767,0.115409,0.194025,,,,-0.02037999999999998,,0.35125,,-0.133139,-0.24192666666666662,,,,-0.31578,,-0.1061405,-0.25860333333333335,-0.23875333333333335,-0.137904,,,,-0.40869,-0.20262000000000002,,,-0.29196,-0.24431,-0.20381,-0.29196,,,,-0.082317,,-0.0191875,-0.23478,-0.160931,0.009797333333333332,-0.2991,-0.016805,-0.0811265,-0.082317,-0.003703,-0.18237,,-0.183565,-0.12996,,,,,0.024884
1,142,2,1,,,,,-0.16125,,,,,,,0.043129499999999946,,,,,,,-0.17153999999999994,-0.15013666666666667,,,-0.08530299999999999,,,-0.26375,,,-0.1995299999999999,,,,,,,,-0.272395,-0.10444,,,-0.009355,,-0.27116,,-0.17051,,-0.07665849999999999,-0.10815,,,-0.043933,-0.1192599999999999,-0.20324,-0.24523,0.005464,-0.23658,-0.24893,-0.0822165,-0.1699,,-0.2254699999999999,,,-0.23226000000000002,,,,-0.206325,-0.2094099999999999,-0.35513,-0.22711333333333336,-0.23534525,-0.27857,-0.42676000000000003
2,591,2,1,0.2375866666666667,0.15913,0.20533174999999998,0.25153,,,0.1747,,-0.085966,-0.31628,,,,-0.25455,0.062847,,-0.41276,,-0.29994,,-0.242555,-0.20592333333333332,,-0.10639,-0.05970275,0.05895425,,0.029774999999999996,,0.006433000000000053,,-0.3155,-0.18582199999999996,0.18637,0.11115366666666666,,,,-0.240287,-0.28308,-0.2873,-0.1093099999999999,-0.398175,,,,-0.2746549999999999,-0.32134,,,,-0.286325,-0.14627,-0.18517,-0.171555,,0.09105,-0.1885775,-0.2085199999999999,,-0.275625,-0.16183,-0.43091999999999997,-0.23478,-0.010102,-0.21241,,-0.32815,,,,-0.18517,-0.36219,
3,853,2,1,,,,,,,,,,,,,,,0.6592399999999999,0.61331,0.634745,0.5459499999999999,,,,,0.15403,,,,0.1601535,0.33774333333333334,0.7357899999999999,,0.31937,-0.33587,-0.10317,-0.28076,0.19995449999999998,-0.5787833333333333,,-0.7278,-0.91762,-0.04499499999999999,-0.30525,-0.8992600000000001,0.34387,0.098914,-0.427728,,-0.96662,0.16015,0.37448,,0.031553,,0.22751300000000008,,-0.011314,,,0.78478,0.36224,,,0.34692499999999993,1.2318,0.44797,,0.469402,,,,,0.7419100000000001,,,
2,10,2,2,-0.017385,,,,,-0.61333,-0.17284499999999994,-0.1021799999999999,,,,0.31631,0.24878525,,-0.1434,,0.048568999999999966,,,0.38776,,,,,0.4984699999999999,0.34536,,,,-0.11395849999999995,,,,,,,,,,,,0.39483,,,-0.097472,-0.68399,-0.69577,,,,-0.92896,,,-0.0150289999999999,,-0.08805,-0.23174,,,0.087434,0.46196,0.40542950000000005,0.38305,0.4843399999999999,,0.10588666666666664,2.1026,,,0.6315744999999999,,,0.5243800000000001,1.2946
0,89,2,4,,,,,,,,,,,,,,-0.32736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092699,-0.2207,-0.15314,-0.067811,-0.24559,-0.20647,-0.12292,,,,-0.096255,,-0.037589,,,,,,-0.2224699999999999,,,-0.17803,-0.13714,,,,-0.14959,-0.15492,-0.089144
