fov,cellID,rep,dbscan_ldp_nbr_allele,chr4-g692,chr4-g693,chr4-g694,chr4-g695,chr4-g696,chr4-g697,chr4-g698,chr4-g699,chr4-g700,chr4-g701,chr4-g702,chr4-g703,chr4-g704,chr4-g705,chr4-g706,chr4-g707,chr4-g708,chr4-g709,chr4-g710,chr4-g711,chr4-g712,chr4-g713,chr4-g714,chr4-g715,chr4-g716,chr4-g717,chr4-g718,chr4-g719,chr4-g720,chr4-g721,chr4-g722,chr4-g723,chr4-g724,chr4-g725,chr4-g726,chr4-g727,chr4-g728,chr4-g729,chr4-g730,chr4-g735,chr4-g736,chr4-g737,chr4-g738,chr4-g739,chr4-g740,chr4-g741,chr4-g742,chr4-g743,chr4-g744,chr4-g745,chr4-g746,chr4-g747,chr4-g748,chr4-g749,chr4-g750,chr4-g751,chr4-g752,chr4-g753,chr4-g754
1,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.97486,,,,,,,,,,,,,,,,,,,,,,,
1,53,1,1,-0.44249,,,,,,-0.40778,,,,,,-0.3291,,,,,,,,,,,,,,,,,,,-0.62068,,-0.37075,,,,,,,,,,,,,,,-0.62762,,-0.6901,-0.6091,,-0.42398,,,,-0.61373,-0.54894
0,646,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38853,,,,,,,,,,,,,,,,,,,,,,,,,-0.75139,
1,53,1,2,-0.20414,,-0.41379600000000005,-0.4980266666666667,-0.45521999999999996,-0.1665375,-0.2862875,-0.35224,-0.033475000000000005,-0.2292088333333333,-0.49571,0.018011,-0.4170399999999999,-0.21879666666666667,-0.32331750000000004,0.002972499999999982,,,-0.44943500000000003,-0.30827,,,-0.27202,-0.51423,,-0.22612,,,-0.34299,0.024953,-0.4910899999999999,,,,,,,,,,,-0.8011750000000001,,-0.8821700000000001,,,,,-0.63456,,,-0.47951999999999995,-0.3626535,,-0.80812,0.001813,,,
2,244,2,2,,,,,,,,,,,,,,-0.63248,,,,,,,,,,,,-0.26466,,,-0.28476,,-0.17622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,455,2,1,,0.50074,,,,,0.030490000000000017,,,,,,,0.4815399999999999,,,,,,,,,0.1168599999999999,0.60151,,,,,,,,,,,,,,-0.16625,,,,0.6303,,0.6111,0.47195,,,1.0429975,1.1353225,0.923,,0.39357,1.5732,,1.7515333333333334,1.5948,,1.016595,1.1389
3,921,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.087975,,,,,,,,,,,,,,,,,,-0.075644,-0.064547,,,,,,
2,181,2,2,,,,,,,,,,-0.081719,,-0.26773,,,0.20419,,,,,0.02937050000000005,0.0250659999999999,,,,0.28686,,,,,-0.045549,,,,,,,,,,,,0.31442,,0.24725,,0.07156899999999995,,0.25586,,,,,,,,,,,
2,244,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16748,-0.2264699999999999,-0.057635,,,,,,,,,0.12125,,,,,,,,,,,,,,,,
1,94,1,4,,,-0.10686,-0.020625,,0.008941,-0.17338,,,,,,,,,-0.03171500000000004,-0.07483,,,,-0.08632666666666666,-0.089613,0.040971499999999945,-0.047729,0.033574999999999994,-0.19802,-0.109323,,0.022902666666666665,0.004013,0.18387499999999996,0.2183699999999999,,,,,,,,,,,,,,,,-0.03663999999999995,,,,,,,,-0.025553,,,
1,142,2,2,0.72049,,,,-0.19583,,-0.14272499999999994,,,0.1129,,-0.09086,,,,,,,,,,,,,,,,,,0.053627,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0877725,,
1,81,1,2,,,,,-0.13575,-0.21333,,,,,-0.2073699999999999,,,-0.28047,-0.26108,0.74151,,,,,,,,,,,,0.15667,0.061185,,,-0.0701059999999999,,,0.070137,,,,,,0.29691,0.49385,,,,,,,,,,,,-0.3356699999999999,,,-0.52963,,
2,210,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,98,1,1,-0.000318,,,,,-0.076405,-0.08463,-0.08771499999999996,,,,,-0.072292,,,,,,,0.9045,,0.0325839999999999,,,,,,,,,,,,,0.179615,0.0305279999999999,,,,,,4.418900000000001,3.1994,4.03945,0.3801199999999999,,,1.1348,,,0.13746,0.10045,0.12512,,,0.022302,,0.75438,
2,172,2,1,,,0.13701,,0.4619899999999999,0.32443,0.164521,0.41384,,,,,,,,,0.23674,,,,,0.3038,,,,,,,0.24878,,,,,,,,,,,0.3124,0.31583,,,,0.34678,,0.069951,,,,,,0.023526,,,,,0.5514,
2,18,1,1,,,-0.3914,-0.3391699999999999,-0.6802,,,-0.47128,-0.58189,,,,-0.491255,,,,,0.7807,1.6394,,,,0.75456,1.0126,-0.46207,0.6954199999999999,,,0.1401045,,,,,,,,,,,,,,,,,,,,-0.35453999999999997,-0.655004,-1.3852849999999999,-0.19171,-0.018125000000000002,-0.153302,-0.40369,-0.6594575,,,
2,792,2,1,-0.32978,,-0.37924,-0.35084333333333334,-0.45343,-0.31879,,,,,,,,,,,,,,0.69514,0.65667,,,0.27198,,0.071395,,,1.8574,,0.074143,,-0.096219,,,,,,,1.8574,,,,-0.25834,0.6291899999999999,,-0.47266,-0.31054,-0.44519,-0.34901,,,,,,,,,-0.39298
1,144,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4853,,,,,,,,,,,,,,,,,-0.20669,,,,,,,,,,,,0.2085,
2,80,2,1,-0.63447,-0.14994000000000002,-0.295555,-0.11986999999999998,-0.5288,-0.106769,-0.115146,-0.3058599999999999,-0.21952,,-0.2221,-0.28525,-0.26076,-0.33486,-0.39091,-0.097103,,-0.06488633333333334,-0.22016999999999992,,,-0.348648,-0.283315,-0.41411,0.607145,0.55882,0.60263,,0.27532,0.80624,0.80624,0.72505,,,0.12326,,,,,,2.8256,,-0.080351,,,-0.094526,-0.0835735,,,-0.25818,,-0.4360199999999999,-0.55457,-0.42700000000000005,,-0.54813,-0.45148,-0.54813,-0.2135083333333333
1,942,2,1,,,,,,,,,,,,0.16933,0.1237,,,,0.1784555,0.38837,,,,,,,,,,,,,,,0.60741,,,,,,,,,,,,,,1.4836,,,,,,0.78082,,,,0.5617800000000001,,
3,718,2,1,0.4965699999999999,,,,,,0.0677649999999999,-0.017996,,,,0.004635,,,,,,,,,,,,,,0.70145,,,0.5871,0.65142,0.5108600000000001,0.65142,,,,,,,,,,,,,,,,,,0.66333,0.25358,,,,,,,,
2,730,2,1,,,,-0.22932299999999994,-0.094959,,-0.32366,,-0.25505,-0.28745333333333334,,-0.32366,,,-0.5152,0.1023,0.2195099999999999,0.37102666666666667,0.35102,0.0980115,-0.60669,0.30241500000000004,,0.69407,0.97568,0.3796,0.1108799999999999,1.5489,,1.2892839999999999,0.22523,,0.9713766666666667,0.2223699999999999,0.23285333333333327,0.50539,1.616055,,,,,,,,,,,,,,-0.080665,0.24523966666666666,0.260963,,,0.25667,0.1023,0.0236815,
1,77,2,2,,,,,,,,,,,,,,,,,,,,0.97228,,1.2961,1.24615,1.6441,,,,,,,,0.71204,,,,,,,,,1.1145,,,0.58495,,,,,,0.097748,0.11893,,,,,,,,
0,164,1,1,,,,-0.014443,,-0.5277,-0.53598,,,,,,,,,-0.34972,,-0.1137799999999999,-0.22899333333333335,,-0.27107,,,,1.128,1.6061,,,,1.0928,-0.041348,1.1756,,,,,,-0.0754965,,,,,,0.30635,,0.6250600000000001,,-0.4345699999999999,,,,,,,1.306,1.1694,,,
1,663,1,1,,,,,1.1885,,0.93504,,,1.114125,,1.1609,,,,,,,,,,,,,0.086485,,,-0.0659583333333333,,,1.6018,,,,,,,,,,,,,,,,,,,,0.84136,0.97361,,,,,0.97912,,
0,620,2,1,0.91027,0.52676,,,0.71982,0.7368799999999999,0.71982,,,0.97593,,0.6449600000000001,,0.83277,0.94835,0.7237600000000001,0.34945,0.34945,0.5911266666666667,0.4518899999999999,1.0455400000000001,0.91289,0.75922,0.96408,,1.2636,,,0.05197499999999995,-0.099718,1.6477499999999998,0.8143866666666666,0.8656,1.3069,,,,,,,,1.237546,,1.019275,,0.7671,,,,,0.78483,,0.968045,,0.7868,0.5543399999999999,,0.25489,0.93653
