fov,cellID,rep,dbscan_ldp_nbr_allele,chr12-g85,chr12-g86,chr12-g87,chr12-g88,chr12-g89,chr12-g90,chr12-g103,chr12-g104,chr12-g105,chr12-g106,chr12-g107,chr12-g108,chr12-g109,chr12-g110,chr12-g111,chr12-g121,chr12-g122,chr12-g123,chr12-g124,chr12-g125,chr12-g126,chr12-g127,chr12-g128,chr12-g129,chr12-g130,chr12-g131,chr12-g132,chr12-g133,chr12-g134,chr12-g135
2,117,1,1,0.514652,,0.3235699999999999,0.15037499999999998,0.036905,,2.9244,0.59231,3.0838799999999997,2.1212,3.843375,2.5481765,,0.45197,,,2.0574666666666666,3.2379499999999997,,1.8047,1.90915,2.1421,,,1.6733,,0.59231,0.8819633333333333,0.8468625,
0,18,2,1,0.05678999999999997,-0.14557,,-0.0426,,,,,-0.09516,0.36926,,1.3431,1.25945,0.55374,,,-0.20992,0.33708,1.24985,0.84547,0.965595,,,1.056745,,1.8751,0.766115,0.931265,,
0,27,2,1,0.20828866666666668,,,,,,0.28917,2.3087,,1.4531174999999998,0.8413433333333332,2.4474,2.9801,0.60022,,,,5.6455,5.2879,,2.9619,,4.692566666666667,1.4695,2.2348399999999997,,1.4695,0.75621,0.32201,0.002745
3,741,2,1,0.088646,-0.110005,-0.1222095,-0.040088,,,,,,0.17077,,,5.551,0.8899,,,2.3401500000000004,0.3827335,0.31282,0.439776,1.2095,0.29173499999999997,,,0.0553525,,,,,
0,250,1,1,-0.016557,-0.029177500000000002,,,,,1.4979,1.9673500000000002,,,2.6354333333333333,,,1.1672,,,3.1612999999999998,1.5319675,0.8921199999999999,0.28129,0.20304,0.62961,-0.00646,,1.1521,,1.036,0.85931,,
2,244,2,1,0.0579375,0.7329486666666667,0.30717499999999986,,,,,,,0.51118,,,1.9965,1.681,,,0.048893,,-0.101855,,0.62575,-0.29883,,0.353401,,0.081052,,,,0.5018033333333333
0,55,2,1,,,-0.13357,,1.0245,,,,,,,,,1.6872,,,0.0707049999999999,-0.29602,,,,0.32001,,-0.17217,,0.051404,,0.81219,,
2,172,2,1,0.25737,0.2436199999999999,0.17484,0.438775,,2.5253,1.9149,1.59,0.904755,1.2202825000000002,-0.65222,,1.6673499999999999,1.8616,,,1.041445,,,0.9847,,,,,0.46886600000000006,0.451675,0.94947,,,1.3595
2,584,2,1,,,-0.098254,,,,,,,,,,,1.8752,,,,,,,-0.36053,-0.17974,,0.40594,,,,,,
1,339,2,2,,-0.22221,,,,,,,,2.3484,,,,2.1081,,,0.72143,,0.13072,,,,,1.02429,,0.5211899999999999,,1.6175,,0.39937533333333325
2,603,2,1,,,,,,,,,,,,,,2.3234,,,0.16791,,,,0.18278,,,,,0.27834000000000003,0.50238,,0.606435,0.1488
3,91,2,1,-0.096403,,,,,,,,,,,1.4856,1.7472,2.3357,,,-0.30038,,-0.132995,0.13923199999999994,-0.03100550000000005,,-0.10937733333333333,0.4158695,0.42884700000000003,-0.033342,0.06086,0.7086,0.552897,0.028162
0,116,1,1,-0.60151,-0.574245,0.01096560000000002,-0.51756,-0.61012,,,,,,,,,2.8311,,,-0.63021,2.4293,,0.35423,,,,1.6343,3.7811,,4.20875,2.9201,,1.0746
2,260,1,1,-0.047123,,,,,,,,1.1879,2.9008,,,,3.2699,,0.26518,,0.12322,-0.19144,,0.13189933333333334,0.18947,0.013207500000000025,-0.1015399999999999,-0.006903,,-0.16305,0.14215,-0.10864,-0.058953
0,620,2,1,,,,2.8672,,,1.0823,1.17213,,0.27656000000000003,1.035,2.2446,,3.2809,,,,1.957,,,0.849845,1.3345,1.16505,0.5950533333333333,0.7066866666666667,,0.61738,,,
2,230,2,1,0.58717,,0.06678133333333333,1.2572400000000001,,,,,,2.0093,2.40855,2.986,3.2265,3.36465,4.1782,,,1.0381,0.82776,,,,,0.05490433333333333,-0.18628,-0.119747,,,,0.14163
2,584,2,2,0.54599,0.571455,,0.041799,,,,,2.0255,,,,,3.6526,,,,,,,1.1749450000000001,,1.1342,,,0.45432,0.38047,0.72678,0.54599,
1,98,1,1,1.7353,,,,,,3.5244,,-0.54115,3.453925,2.5054,,1.7071800000000001,3.6642,,,0.7297,0.8195133333333334,,,-0.016769,0.449005,-0.0887429999999999,0.55765,0.376,0.39245,0.21663500000000002,0.390395,0.31534,0.061374
2,516,2,1,,,1.4141,,-0.33892,,3.5083,,,0.6349766666666666,0.56658,,0.6268,4.1551,,0.3926199999999999,0.0201569999999999,-0.09024150000000006,0.0011995000000000512,0.11383,0.24653499999999995,,0.22534,,,0.38592,,,1.3405,
2,210,2,1,0.1332,,2.6739,1.4609,,,3.31255,,3.2270333333333334,4.0049,4.7116,,4.8706,4.6794,,,1.5081200000000001,3.0212,3.10735,,0.31223,1.28987,0.44098,3.6938,3.0983,,2.2407,,1.6117,1.42865
2,648,2,1,0.0876649999999999,0.12218,1.5324,,1.1158,,,,,1.1084,0.76323,4.2913,,5.0778,,,,0.5709,,,-0.20819,0.2232699999999999,-0.14779,,,,,0.2923,0.362565,0.49200666666666665
0,352,1,1,1.1717,1.3585,1.17801,1.2982,,,5.17225,,,1.2332,2.5462000000000002,,,6.5696,,,,0.91162,,0.57114,0.581795,0.48602,0.7449250000000001,,0.9991,0.57114,,0.98018,1.109,
